source_row,input_group_sha256,partition
79,7e62c282a65d140810270461ea8c3805cad6da08a0de586464fd5851228ebe06,train
80,f9e91c5c1c4dcf0c51ae89faded6d0efc5c7ebba98959ebe2b54da656ad035a9,train
81,3865be03ec044e664e392a73599cc6fadcbb7d454ad541e1202eb1c5cc732de9,train
82,05d10f0e4254cf78f6e8db056ea0bfdb72d7ad1b9dede37f6d1df454a15b40e4,train
83,d780706190088dd23640676ee8d7c8adf901596d8f93b593d48a967fbca7a3b9,train
84,d32b9b7f1f82eda7e2d4d8933fdd3caeed1a49fd31d3c8f60390829b4d90eda1,final
85,4828cb61a96bd0e9ba44a34bfdb280c765bff908df802ed324a08ac6f39883a3,train
86,c9cdb008842794b0b83b129e4b6c1abae58b918c7d9dc840acf48d7617439963,final
87,104f0b6cd10813b418c122da3c2fe755484e4d1c759979963148b32fea6fafe5,selection
88,ebe3e436b25a9c7ca975920413e20764fa008afc88bbe6f9eb82cdf878726e4c,train
89,34ed1aab22b2da787ee2158357405a6e50fe23865274b4c36a168863233b7c18,train
90,e513d3a8311150f6785d16521bec21b5d70411b6c149d7a53f1dfa8be0f027c4,final
91,c9cdb008842794b0b83b129e4b6c1abae58b918c7d9dc840acf48d7617439963,final
92,061f66e90f8586bac736e3facc9ed209361460d07a2566f292602bd77bca5054,train
93,104f0b6cd10813b418c122da3c2fe755484e4d1c759979963148b32fea6fafe5,selection
94,d8c81009184322f139b2b4376864679b37602dbc52f93cdc2576902883099aa1,selection
95,b12ad77262483b0644ac4e57355c6faae8acb8bc6537f9cf8b275a517bc60c67,final
96,bcd047b915f2ed42ae53e88b5326bd3033c737343bc8e99608fa573b5070ecbb,train
97,079d16146d8a67b54a7ac02952b311185a437bf557d09b6688f47b4d3fb99f99,train
98,4c4ef14860ba57de38c467aebe966b24fe4f061504ad3675b13a516bb2b58667,selection
99,030388c7f7a0fdb0b69079da4e65396903c8db1ce087a7efc2a5adcf649fd1ee,train
100,7a40159527113e562354cf237d9c48a4d59dd7ee67b87bbd2f75aa3dec8c7b8d,train
101,af12345b8028eae95d4d9b16fdcbcf200d5f64a862de91d1173a9a8b95863603,train
102,030388c7f7a0fdb0b69079da4e65396903c8db1ce087a7efc2a5adcf649fd1ee,train
103,2b4a7aa2b8e30f11915245c1b04d65b7b7baa9d272ccfa054a75421909fbf106,train
104,76a3f74da0a010a22462209dcc5741a99932b0b1f13041786a2c73157937ce8e,selection
105,2b4a7aa2b8e30f11915245c1b04d65b7b7baa9d272ccfa054a75421909fbf106,train
106,0411e99b089367f397fa5a5257515d43f07adeaebc8eba090095ac970d7b2944,selection
107,6efa2830ec9f684ee504366479523ebdb4cf5686ce6a4e762daa5853343b82b7,selection
108,eb4acaa3603c4bc6784788474e9dfddff5e627d8675ee006e7c8ba71c8e0a507,train
109,2be4ada38d883a491ff6bcc53ed179f54d2d8ddb52d5719f7348fed92a98056b,selection
110,e9b994b1381c29ce382cd6d1110aef9f502e15b88fc6985fc089ba1803890027,train
111,311c4871f16497975e5df8ed0a5a2a6717f367d87e4c4579bfffa7351aea8e2c,train
112,aa4914ee068d8dc398adf7af51fbadbbb7d51bdc8341fe9c77486b23b6cbc240,train
113,838170b51c92c40f6f1dd3a95ea9e19e93ee2897b4295dc45db24066ad49ada8,selection
114,e9b994b1381c29ce382cd6d1110aef9f502e15b88fc6985fc089ba1803890027,train
115,ae2071f657698369de5baabd277d5c464dd00c584a0e734cd2e74ab80cb96161,train
116,18115ef42b5aed95d45ab7a78b540c257b6a7c7e81dcf8c73ebadd313fbf0f28,selection
117,0828734ce8f4f602871acfbd7f6f8c4adaf2a0f3262f213e22b986d8d086dd8f,train
118,6e6772ead34965e00a91205d971e4ca4230872fd23c7b4a10c7bfbf7be722c25,train
119,f42078e7a183c499ca9708f09a9746721f8d89555fcb6ed6b4ed5ab9a0fcb7ed,train
120,9be827123d3010fecf9a2fa454cd1483abadf2a9d9a9f112f02e6e6e81bf2240,train
121,6e6772ead34965e00a91205d971e4ca4230872fd23c7b4a10c7bfbf7be722c25,train
122,d227e48988fdd004a900b45428ced5b3b2a87ea492bcf33be0fa7b15589153ea,train
123,20f65fc1c672a2808d0a4db6f7ad98b37e054625f087c035fb3f0810a7ecaeac,train
124,ff44bb07444fb9644ff01ff75c1b9a353df108af12e6b32e432c27631f4c558b,train
125,0c6a70540359abeaebf21ca7bfae66e143ca32f13ed4924601d16e9a1342db8c,train
126,a98ae94e0fddd010bd59b947669e19e083e34e7b2c3064ac40dc1f3e2b80ab9d,train
127,602544df48e52229ca71a921b4f62b8ad05ca0ab3a8bfad337d5dde6c0b9fe8a,train
128,97ac82b364d4996d13993102490038387915ee8a85d35e7a2f29c9447728282b,train
129,fdc8a9364a5175aa4a29b1a04ebb397fc063d110299096a3fcbceae0ca054099,final
130,94b543a0a363605358a3c4d2f77204eb5c806ab791e1d25f75a54789da3a632c,final
131,1e794721e468cd1707a15edef791afe61edf0b7175c75da10d1d2e121bcb8652,train
132,1e794721e468cd1707a15edef791afe61edf0b7175c75da10d1d2e121bcb8652,train
133,f8c0db74ec57c5f88f623939681085c52c809345628e2fa78660ac8f531769cf,train
134,ad50d3e5866d23c5b72cf3b769bde3b6048f2bb497f6012c3595a35ac0a7fb44,selection
135,bc28582470b26358a49b27a53b4a4856b97be27d141fe6b0bd0243fd7261ef51,train
136,7a09d942a87057548010bf82dd3c1fe2e37029690a07fa6185df7c83b2df6ed4,selection
137,44f84c9b2a3a4411c3efcad9ea8b12d46df32c395c2b65b2e696eb1a22d7f9a4,final
138,983a1f234eecb61a63596fb3e6581b6c597ceea967c50ac7ddefdc690b93485f,selection
139,ba8fc2e844e9a986ea926f9857ea51d8282a777281e73d5f6ac4acf6f5686b55,final
140,bc28582470b26358a49b27a53b4a4856b97be27d141fe6b0bd0243fd7261ef51,train
141,7a09d942a87057548010bf82dd3c1fe2e37029690a07fa6185df7c83b2df6ed4,selection
142,3510319a76e3279da99b5b953d600dc29313e7a3557935d91d7ae3d446334a0b,train
143,4360d58750cef4eb7ccec0c5698ce9287105ce70c3c923b755a3ad530cd89196,train
144,3510319a76e3279da99b5b953d600dc29313e7a3557935d91d7ae3d446334a0b,train
145,689cd8c725d76a3bfd3190dea3e02c401acdf85e3ae4c9bb7f4f811f516a5114,selection
146,a032273d9cb1700c0ce60a51291205793771c86f29fe5ad0d307ced31e2795ba,train
147,45c150d437f5e2eff29fb464d452b4c860d1ca04970645a84f830039d6278205,selection
148,975fcc333eb87dc4759f5a52e32d8851c573ceec01b01f0399b6d3500605148f,train
149,ead723a80b22150efde91dc80b2b73904b567c98f2a66d99144542a7241bada1,train
150,db210600e31619851e00b2fc1680ca0ee752cade11fc0759d54bf59972ff9c0d,selection
151,cbe55fda4b0e78a9121537b8d7c3f320dd24402e0dd967f515c6cf0ae3e45a73,train
152,24907a0d8d8ebd4d24fa7514997612aa8803d70e5ea82f63d950bcb5e3b562d7,train
153,24907a0d8d8ebd4d24fa7514997612aa8803d70e5ea82f63d950bcb5e3b562d7,train
154,844d15b9e0d8d8a85674e5a5a655258427c568b89960873f004feade55715dac,train
155,d385570cba026b791e0bd758ad3d275bc7e66bf9713c00b0d7ac7d7e0edae636,train
156,844d15b9e0d8d8a85674e5a5a655258427c568b89960873f004feade55715dac,train
157,d385570cba026b791e0bd758ad3d275bc7e66bf9713c00b0d7ac7d7e0edae636,train
158,14e8f51df62586f694c10a4960300b8b19ab6c55bb1d9c4044fdae796adecc1f,train
159,c355231d850264cb10d00cf018bd6f383aa34aae9bfa740d4bf6d63c7ef49298,train
160,e8d4de8b94ef7e1573e18aafcc24911e7504b7e1a974cd1ef0759c04fb8672b8,train
161,6cc516af725254deb6ac01ab8eadf5a0fa80987a6f526fd880cd1c042fd971dd,selection
162,08ea8c9fab80e4c0fa7fc92b3451c77110e3fe176a5714159863d67ec7370b57,train
163,0ba3de6346995a998a7558e008fa72af3691131b1b98b16cc15e42319d16d34e,train
164,6696034e973f38b99e4c8f89661a613e773c5da8d4908b30fb3e7295fb379c52,train
165,30c6a8a7eaa0ad36b5b4179ba34531ac9374008b933bb29f87bd89c0d782a4f9,train
166,bfb1ba531f44ae6a10f11da2b345ed2b3a1cf1a3db9404b268b79aaa27ea4528,train
167,f2b5e2ef6a41729de4207cdbb38f92e4cffa47eefab9357ed1f66c0195cf3e72,train
168,6f0d5138a9dc3df14c44f7621f687deb5c876353d574f592383c9996428380b5,selection
169,08f31656a074bf1fa73f7fcfc643502c101eaa7fa2601c0ccbc368be70a85389,train
170,b6defb71ec2e6cd36af85fc2fa6a98019d93941dd4c35b10fc041cf99e18f0b9,final
171,1b8d23817ed7e318aac2d9053b5f151d315f3607a115460c410753102adf877b,final
172,1b8d23817ed7e318aac2d9053b5f151d315f3607a115460c410753102adf877b,final
173,9fa95235fb119fe88c6bd8962017e4422905e53c66ab3fd13614e7eeb2c392c7,train
174,950b495d231bbb737944be19a5d3e4df245d97e0f1a59d43468ec76ccff0c7a6,final
175,c15d8cabf30b7baf5c95f6af29e23b5273bb7fee90e734728218541b340c3899,train
176,950b495d231bbb737944be19a5d3e4df245d97e0f1a59d43468ec76ccff0c7a6,final
177,e1490238a36bced24b6443d6f253a6307cf4ea7307fab263537cb8cf2dd9faea,final
178,26a2a9388f0740bf740d6ff5f84e4d5743035ae9be4c3c1a3776b0f95bf2215b,train
179,9788310c29552a1cfdcc4c324f0bc4b7c48982550d483b152bf607b8227339d4,final
180,9788310c29552a1cfdcc4c324f0bc4b7c48982550d483b152bf607b8227339d4,final
181,eceb16aefa166ce57a0d3e1f93532a0c732e1fb2cc296dc89f2d4ac3272aba99,train
182,8a8cdd6f6ab6b6642cebea51a63aaaea9231ebbe8eae5517aa303bfa85aa30b6,train
183,1d1aee512bcbc327ba7fc81ec4e44da82c62d21248d89b03c3e9cd0b881aedda,train
184,de379bd2b523c257f2accfaca767f1254265e5f5bf491b615f4367a7886d68b2,train
185,75f90382edee1a6e417f6d64c06a16af16a14b53d0271d871af7d66dedf32820,train
186,23523114e9b9fd8752c16019b8021030060f8c263f54263cb534c112784616c5,train
187,0a2ba9c9c6fff16c054af4d6d9f5b992b7665aabf7ee7f7151437308393f1fba,selection
188,408f678da841997d98c0c7c15cd838d7c8a3e3429396c6fb1ab9898dfee98026,train
189,99bff29b513e5361981c2e279878bd182c80f71eb096198797c1f33c760de9e0,train
190,7188c8d16cf6d6972d0a5643bc948c771fd74d1bd874cd92ccee488a1c0c4269,train
191,e23d5b8e0fb93c407d4fefe3b928920415564f160333975106884a9c678225fb,final
192,2afe4a24b6416e2a80d803a4d373831e12d57c21cee0abf50ed726f5a56b3fe1,train
193,378ae488d812b5640f14f2861f4c193fcbde5254c3206659dd58221d9a31541e,train
194,378ae488d812b5640f14f2861f4c193fcbde5254c3206659dd58221d9a31541e,train
195,3d6d7aabe95a6f15e646e715f46ed963e17c1f9ac4b78792d13e5443eebdaec8,train
196,0681e00aff81290fa85eb408800d327ae8e6d78be362f5b5b801925ff1dde8da,selection
197,36d3fadf3e41d19406395beb1447c04a40446eb9b792f3447b0a037a5acac5f3,train
198,891e3d0e1e12161dd23ef2f02adc46418563158e11f4cd6af1a64ca1e9c8a7c3,train
199,deec7d54382ed2dbab3a4c4726c4594a7028c2e382cb68d2490cbc8dcee6a328,train
200,c47a0636a1b9cf76f173af8c86ea2463aaa746cdfae53def1a3142cb72da5538,train
201,451b62015049fa11cab4489bde014cfc532369db628cc1cc4163ca8693a22dc2,train
202,a9e47f589e313caa0771cdc1ca02486cab8bd2c081a8a1681211246bf019a407,train
203,313995b8a9ae2fd9e081493fc9a6e6ed22bfc1f9f8c30c97eeb192deca844127,train
204,6f8dc7b1c4d1df43025160c2946c2a2a6991ccc90bdbed5c01833753a67cd0e5,train
205,b8db8d554998496aae76e08d2b5690a2dceecb4fa6981b470cb344987e09defc,train
206,b8db8d554998496aae76e08d2b5690a2dceecb4fa6981b470cb344987e09defc,train
207,7e9fd7f65989282767e63107215c4fe9ef89080da94fee79ca0244729f2a424c,selection
208,122705b5dca36129c66b17de297b826cfaa6f5a0fa5873979bf203d58d73d7ad,selection
209,295a1b745c65aea4baa5e56d6e02d96e415533f04a093b4308a1128f7d68594b,train
210,1dde05adab8c2514df43b409db0b3dbf78257a3abe0bf2954d17136ec8f145dd,train
211,a4d75fa8671d4f6778cb0ca2c42478951af5ac7fe2977b18da5171416cc934a4,selection
212,5bb728624a61915bf134bde1b614ce08917997b1fcd4ee02222501776d033327,final
213,f251b8ab9a8b8c27984cd2756d72a87b02c20d0f2546f03df8e8f2cc4c99ec5e,final
214,3dff80c03a42acfb67c395cf4a4066389eabf55b0f59a64d43c60a817c6f9104,train
215,a610bda11a2a1dd839a2a17353c2b05fcfb1f239be6fa77e845148380209ab46,train
216,9f7a72c5ec57a6a27562e4cddb16eefd62194c52cae4cf399d3f4134cfab8b4a,train
217,4116d6c6f6963c379da2c07c044ace9a81c73c152b54d6ba909b3b608596b2ef,selection
218,d3df54762f578e3c9550bb6356feed52a36b3c0e6c3c79d39f2d36459dbcda7d,final
219,bd36425b81d656b5565875da0009ad6e4a999b9e2fe0e15a0e874b603cfef7ae,train
220,7d6123ede6d494288b85f1e5dfe17dcc1c46bb9c138f706aceb32f9affe85f01,final
221,d4614f47d7633616d23a39381445a5fae55acabdb06994bd819083e05cd8244e,train
222,709308624e4dd17754d3d98b9499635358f72440c8b953f597c5fe2c5e3aaa04,train
223,9fbcfba0d265f8db343e84c13452419b9da6bb85c352b0bfffd678ec0a15642e,train
224,ffbd96db9fec60aa906882d32650fbe4d315e4bdcd99126bfe535ebf4ecfc747,train
225,81f3dca9db1a222f84ac8885da98d827a8def3321c87734c8c23a019603b672a,selection
226,cd7a4521887fa37c7532f1886790bde3d7b9849e1c214ba3d5796f0cd9bda436,selection
227,0e8c076c2a211fefd8b6038d48f0592ff47f90f07af2ece3b9a1abd31d5ddf53,train
228,81f3dca9db1a222f84ac8885da98d827a8def3321c87734c8c23a019603b672a,selection
229,fda4e5d36ff9db76d0bd1a14d83646fc8c4f59434d18ebb2c846dfd225c14d65,selection
230,38adcd11ca84461b3f2f60643ff847455d30cad5036e39343ba25ad1fb80bbe6,selection
231,e207f2e420ea6fe8fac51b4281dbaf7641566eafadd3f728f3809c7009eeef59,train
232,5dbbe9f80e60b4d2ace4031b7d5e4fdd00ea8c6c09e7e7e23d51bafbb4558ff5,train
233,fda4e5d36ff9db76d0bd1a14d83646fc8c4f59434d18ebb2c846dfd225c14d65,selection
234,f881bb694650701ce2b015c015d633365f0ab133f487d972e97d305138156d6d,selection
235,9c3c13d843426736f8acfc0e4e08f5aff46221ffe438506d4640bfc8f30f68b2,train
236,9c3c13d843426736f8acfc0e4e08f5aff46221ffe438506d4640bfc8f30f68b2,train
237,cac6f14d310f4de15fdec9ea8efa937f939c6ab25af38e2a1ebd318bcb513b51,train
238,9c3c13d843426736f8acfc0e4e08f5aff46221ffe438506d4640bfc8f30f68b2,train
239,f881bb694650701ce2b015c015d633365f0ab133f487d972e97d305138156d6d,selection
240,f0fc56d880333a1a8a9f0e8bac89107a5992eb15afdd1cce85ccbea679a574ea,train
241,7845b9f2b30f3d239a2dcc2215fa3329ab544fe33c471fa06f3b3296f591ae5b,final
242,ede8e7cee519a61f2097e46c326a5d23b4b86dbdf88cd5d4002217d4722cb04e,final
243,b736be47e7a81da3a30709423049c834d23d9efd9014a2660f80032af56dd748,train
244,b736be47e7a81da3a30709423049c834d23d9efd9014a2660f80032af56dd748,train
245,9ab419dc67fa1570602e27f63cd5aa55386c86caa104e775b8cc3e98cb874785,train
246,1d92ff4cbea690d2357002c0accc749875c964c7fdb93aad2f8722659fba6bc5,train
247,dd2a43b1ebd7361f8bb84a9b846e6b2635f944b2a1acf8ea93e2f05f4563475e,final
248,9766619cc4f3139c200fea689f179293affa9a888d5a59bb181fe50fd1b8bf2a,train
249,9ab419dc67fa1570602e27f63cd5aa55386c86caa104e775b8cc3e98cb874785,train
250,928b52dbea69f5733fa88cd75e7e6ec972373c5231ea346c5ee6043f7273ad20,selection
251,aa0fde904412fbf9d90cecea25e5cd5df3a8c2098a5f2b5ae3a6b484f3db0b2b,train
252,daa7159bf25f0508ec0b75bb5a4e3e23ed966a4772624cf372be773a4602105f,train
253,9091aca97c03d9c66c42b095a38b1c4da6b3b38aef33269c3cfb5f7a800f8f8d,train
254,aa0fde904412fbf9d90cecea25e5cd5df3a8c2098a5f2b5ae3a6b484f3db0b2b,train
255,84019eaefbd63785e5f8f127ffa6e653cd6a57c180bdac93401347a9f5b7d2cf,train
256,3aa797d21e787d3af3ac5e7f43c36bfb015ffa314c55553f8dc5ed290303b28a,train
257,81eac025fa1c72bc0f7442c2ab27040d77e8c356d78fb644250e0f4623491c54,train
258,47ebb2f92ca1006d29bc4f98f0fa3e17a3f00c9327b8d45b7a596108b9807ead,train
259,d1ba4ac70b8320aeb4e13879e87855018e4fb2734e1fafd6cb044c7b1d23e8d6,train
260,7299d2a5d1cc619cb2cee6751e57c3f9543359addeebd95229b4bb3496894cf7,final
261,c3ce4d25880c3eece47d3d7e9ae61ad2b0a62e1511c383ce4dd08fdb09f41e61,train
262,0dd3bd6f1dc5f225100df2bab02bd56ea180292d7adc2dd92b99f608a9ab9246,final
263,7ef048bd75c88418d7aaae6c3b706fcf394b7c1e137e97d18d635596a54ebf79,final
264,eece880b181dc9599b9c01853f6b46cc684af6ceced62a8e6c8f5004f33401e2,train
265,101a40886dd33ec5cae3f79d092897b2c6f433d6be7b71b60f5e7b48d66feff4,final
266,27496be4721e9299b107c6b363924421a11fa9b4be3f260f2807af81a3635921,train
267,eb16d252f81723bef6d1d75c97f804e5c73298d61bc7005cefb218d33fcd7fbc,train
268,a53595b4b11e70b2f41576f11b46f5cff0b039634e0d13eae24d939fd1e02af3,selection
269,a8e45263e7546036d468c33b6b61a90abe318e99d0bc5d14579e86942955384a,train
270,49f9769f2ebd2dc7d2b580abdc6b228867dd8111e966e61fd841da6d88a88430,selection
271,a8e45263e7546036d468c33b6b61a90abe318e99d0bc5d14579e86942955384a,train
272,1ac5f5f5f0feb6b3923664d4f1721416cebeeca1382e39e0aed353fb2fa90b37,selection
273,441e4a870d4369b59d5d0b432fb2ef2e738191f2374dbe47e43dffe3e11370a2,final
274,069c19e86e3c781d93f36b6df0f9d3b0be4024e99db37ef8bd1c407964f6ceed,selection
275,49f9769f2ebd2dc7d2b580abdc6b228867dd8111e966e61fd841da6d88a88430,selection
276,a53595b4b11e70b2f41576f11b46f5cff0b039634e0d13eae24d939fd1e02af3,selection
277,a8e45263e7546036d468c33b6b61a90abe318e99d0bc5d14579e86942955384a,train
278,af514b583cefcaaf22c5be698233f5821f70341771935498562b7c69b7bcf833,final
279,46aff4b2ec9066751583fe182828b1ac54b140b43724ed9ac4e86169fb3d509e,train
280,59ec70e5ef97ed934c4ce2c2633405e0fbea7d7a830e02c96d1447f8802256bd,selection
281,bd204e47081d49381cb78297bd6bb8a72ab6ba97ce5f0527c347d998102184f1,selection
282,867a1267d4d7ba6714067877a61835856844f7054c09f169151776bc3c296408,selection
283,46aff4b2ec9066751583fe182828b1ac54b140b43724ed9ac4e86169fb3d509e,train
284,21c64fc6b6ba4463a4f4acc03f9c3dd4b84f64c100aaec96324e179dfcbfdc99,final
285,21c64fc6b6ba4463a4f4acc03f9c3dd4b84f64c100aaec96324e179dfcbfdc99,final
286,9b1ff8fbf61c24f88bf233759d4404cc091b6327029fb4cb07815e4f51c367fc,selection
287,1754a9564d403c830cc687ad445fa25dc2be2768f7fbeefe47e3c4a2276b8842,selection
288,82eb8b762621822d31f7c20c59dbe34607506c1bc1a5acdcdfc15067de80e378,train
289,3e7a2b92799765e5adfcad533c725cc50c833fde1065319e2fdbffc016fd814a,train
290,82eb8b762621822d31f7c20c59dbe34607506c1bc1a5acdcdfc15067de80e378,train
291,a2cb3455529d811d24489c4cebfb27c836a5018ded0cdd2c4f56941fb848f370,train
292,c382513b9bde4f46b756a2e1348f2e5afe31065991d68a66aad4f2e8d220ab0f,selection
293,64bf933b0ff8ef72a2b380d200459ec53a4b75369d3c4420f6253867efeead6c,selection
294,77d44de5a7fff7c82eeccfea0ded9c54ef946fb5ff6d699f4b935fa1a01a3851,selection
295,75f287feea2406daaf0d68875296d17cb3a90c3b0e4db903942eb2a6927b1493,train
