task,kind,arm,step,round,template,factor,parent_step,reason,skill_sha256,candidate_sha256,status,exit_code,worker_seconds,train_loss,selection_loss,selection_score
23,classification,updater,7,2,two:unscaled-c100,1.0,3,checked experience supplies a different template,02fd36c9a2ef40b4966e7c41f300ce1fa189e70f9b3d6b4ce9b5c043e89035b7,be461f279e1b9ec611172daaca5c6c07b9f9c0de300838234832aba4ff1372eb,success,0,1.9090073000115808,0.4121940666947782,0.4115112650164594,0.5884887349835406
23,classification,fixed,3,0,base:rbf-1,1.0,0,common broad probe,3cb706fa7df7a4e53c9df1208b3e8316b8679be1304874efc158f74e6ee90640,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157,success,0,1.8425087000068743,0.341830504603275,0.458053952374845,0.541946047625155
31,classification,memory,1,0,base:linear,1.0,0,common broad probe,3cb706fa7df7a4e53c9df1208b3e8316b8679be1304874efc158f74e6ee90640,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8,success,0,1.8845036000129767,0.2218815513626835,0.2848792394655703,0.7151207605344296
31,classification,parent,6,1,base:linear,3.0,1,higher-capacity local branch,587824fb9d8807fa6350ec541f265e85354423519c617e86baa84e410ef5d8f2,1f07f88b1c76491b929a8d3df7c549f08a5c4ec5b50c9ba86b7a8c6c28b10cf6,success,0,1.749649999983376,0.2246593291404612,0.2759506680369989,0.724049331963001
31,classification,harness,5,1,one:rbf-wide,0.3,1,lower-capacity branch; revised harness may change representation,5acae2b1bbad35372ae89c1d0a095269152c5a98e3ffbf2ed565ea5dd08f8d1b,e59beb1b6c1814048919b62634797ed4fd027c3cc833a8db0268761294b294d3,success,0,1.78112770000007,0.1977201257861635,0.2562307297019528,0.7437692702980472
31,classification,updater,6,1,base:linear,3.0,1,representation or local-capacity question,4e0865fddabe58f379ef6929b8e558d87c6e33c94c749a0fc212633d3118c04b,1f07f88b1c76491b929a8d3df7c549f08a5c4ec5b50c9ba86b7a8c6c28b10cf6,success,0,1.761018299992429,0.2246593291404612,0.2759506680369989,0.724049331963001
31,classification,fixed,1,0,base:linear,1.0,0,common broad probe,3cb706fa7df7a4e53c9df1208b3e8316b8679be1304874efc158f74e6ee90640,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8,success,0,1.7937359000206925,0.2218815513626835,0.2848792394655703,0.7151207605344296
31,classification,random,1,0,base:linear,1.0,0,common broad probe,3cb706fa7df7a4e53c9df1208b3e8316b8679be1304874efc158f74e6ee90640,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8,success,0,1.8074211000057403,0.2218815513626835,0.2848792394655703,0.7151207605344296
361235,regression,parent,3,0,base:random-forest,1.0,0,common broad probe,605ee1a2cbb876f6cd07b7a3ff824d2e36229ec46e79f684bf555ac2f21b391a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722,success,0,2.017805399984354,0.1021447895909034,0.2704718225726596,1.4616042015050166
361235,regression,harness,3,0,base:random-forest,1.0,0,common broad probe,605ee1a2cbb876f6cd07b7a3ff824d2e36229ec46e79f684bf555ac2f21b391a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722,success,0,1.9906605999858584,0.1021447895909034,0.2704718225726596,1.4616042015050166
361235,regression,updater,3,0,base:random-forest,1.0,0,common broad probe,605ee1a2cbb876f6cd07b7a3ff824d2e36229ec46e79f684bf555ac2f21b391a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722,success,0,1.977584999985993,0.1021447895909034,0.2704718225726596,1.4616042015050166
361235,regression,fixed,5,1,base:extra-trees,1.0,0,fixed conventional portfolio,efd17edec5938834eaaa32fb580a9bb4a89e727090df543c726a506db4d1fd90,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7,success,0,1.9205329999967944,1.1050808161815445e-15,0.2185274285975099,1.1809015990802674
361235,regression,random,3,0,base:random-forest,1.0,0,common broad probe,605ee1a2cbb876f6cd07b7a3ff824d2e36229ec46e79f684bf555ac2f21b391a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722,success,0,2.0268495999916922,0.1021447895909034,0.2704718225726596,1.4616042015050166
361235,regression,memory,3,0,base:random-forest,1.0,0,common broad probe,605ee1a2cbb876f6cd07b7a3ff824d2e36229ec46e79f684bf555ac2f21b391a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722,success,0,1.9720893999910913,0.1021447895909034,0.2704718225726596,1.4616042015050166
361237,regression,harness,3,0,base:random-forest,1.0,0,common broad probe,605ee1a2cbb876f6cd07b7a3ff824d2e36229ec46e79f684bf555ac2f21b391a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722,success,0,2.0449092000199016,0.1022397490314973,0.3517086385190371,4.515937168416889
361237,regression,updater,5,1,one:absolute-boost,1.0,3,checked experience supplies a different template,8bf0e7d20ed597e7d7495f9ed1777476b7117aefb2bce98049d0e6584a1c3caf,48a23bad7a6c3af0b7ade8cb62c5d2d5f8c7afcbb382167fe68544838b7becc3,success,0,2.1529274999920744,0.1474339706273753,0.3081981353097606,3.9572625237261296
361237,regression,fixed,6,1,base:hist-boost,1.0,0,fixed conventional portfolio,60b109c6c0f244bf18aa3672eb8ed41395564486307a85ddf15f840fcc0f03cc,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad,success,0,1.9099711999879219,0.0781624269160682,0.2657502196457857,3.412231497829408
361237,regression,random,3,0,base:random-forest,1.0,0,common broad probe,605ee1a2cbb876f6cd07b7a3ff824d2e36229ec46e79f684bf555ac2f21b391a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722,success,0,2.0387422000057995,0.1022397490314973,0.3517086385190371,4.515937168416889
361237,regression,memory,5,1,one:absolute-boost,1.0,0,frozen global-rank experience,bc57bb8e9c3d5195ca249a484af7993e706a93df4e204b11c5bf44b52273b929,48a23bad7a6c3af0b7ade8cb62c5d2d5f8c7afcbb382167fe68544838b7becc3,success,0,2.0699480999901425,0.1474339706273753,0.3081981353097606,3.9572625237261296
361237,regression,parent,3,0,base:random-forest,1.0,0,common broad probe,605ee1a2cbb876f6cd07b7a3ff824d2e36229ec46e79f684bf555ac2f21b391a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722,success,0,2.078601399989566,0.1022397490314973,0.3517086385190371,4.515937168416889
361247,regression,updater,8,2,base:random-forest,3.3,3,representation or local-capacity question,ff36cdcf8481cbc609ddeac289e17ff848023b9a04cd26033dee15e163f5bcc9,98f0bf037cf4232cfd1e4bb913b450d8fd08960d2474522b5ee3378b6d11e4af,success,0,3.9731841000029817,0.0318772231867061,0.0873054871000491,0.0011227121868203
361247,regression,fixed,5,1,base:extra-trees,1.0,0,fixed conventional portfolio,cf7c81568a02a88b4e01555b93726883fc6c9632e79379c172353c31d50410a7,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7,success,0,2.415035500016529,3.4173990648799463e-16,0.0591500137705344,0.00076064453125
361247,regression,random,3,0,base:random-forest,1.0,0,common broad probe,605ee1a2cbb876f6cd07b7a3ff824d2e36229ec46e79f684bf555ac2f21b391a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722,success,0,4.696507999993628,0.0319185290639276,0.0875198457700158,0.00112546875
361247,regression,memory,3,0,base:random-forest,1.0,0,common broad probe,605ee1a2cbb876f6cd07b7a3ff824d2e36229ec46e79f684bf555ac2f21b391a,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722,success,0,4.6807325000118,0.0319185290639276,0.0875198457700158,0.00112546875
361247,regression,parent,8,2,base:random-forest,3.3,3,higher-capacity local branch,51453f3d99b5c9b8d19ee673709b5d38482435cd6ccc06dcce2156ecea897054,98f0bf037cf4232cfd1e4bb913b450d8fd08960d2474522b5ee3378b6d11e4af,success,0,5.036171599989757,0.0318772231867061,0.0873054871000491,0.0011227121868203
361247,regression,harness,8,2,base:random-forest,3.3,3,higher-capacity local branch,b3c37671177d59e60ef5a34a6f29a331a84fcab06f3e5991a64065efc8ea0058,98f0bf037cf4232cfd1e4bb913b450d8fd08960d2474522b5ee3378b6d11e4af,success,0,3.9846037000243086,0.0318772231867061,0.0873054871000491,0.0011227121868203
