"path","type","sha","size"
"docs/concepts/recovery-model.md","blob","c99c808450cf4ab20eabf5201811e6837afaba94","3318"
"docs/concepts/selective-recovery.md","blob","06a565f40ed928390568bd9a5d36e11c3c862d81","2139"
"docs/crash-consistency.md","blob","346075e810213c1a3c503ad78bae20093a41bac5","2936"
"docs/drivers","tree","0cc93dfb2242aa31ac996549b08bdd49be0e69ea",
"docs/drivers/README.md","blob","4dd6980611d087b2b4373f6cf4550f014bdba6e8","290"
"docs/drivers/mongodb.md","blob","f4fd1e44015f490f83c27983b7e273d8ee4b5a24","1259"
"docs/drivers/postgres.md","blob","732a0e203f319826b8326fba6a849ab4a1a3d3e4","1423"
"docs/drivers/redis.md","blob","a2a8d40f9ba548241a5388bdc6d15da63cabee54","1419"
"docs/drivers/sqlite.md","blob","34d7506c3c29da30f12f7abbb772ea852c20a269","1582"
"docs/getting-started.md","blob","428885f6ad9904c9e885c01b4a33cdcd39084b5e","5282"
"docs/integrations","tree","23119fafdbb1194a324607d79a508601ddfe9301",
"docs/integrations/README.md","blob","72849600dcdfd30ed41f5a473e4a48fb043bf4b7","772"
"docs/integrations/crewai.md","blob","b1b37fc24a3ef3f390a86acf46881b51677ae9fd","1515"
"docs/integrations/langgraph.md","blob","cfd75a1daa5cd7c62aca6aabe4a102bbc4fde683","1768"
"docs/integrations/mcp.md","blob","4765daa3bc8a0ce648598cd810438a581cc39601","1470"
"docs/integrations/omnigent.md","blob","f8368a32477c922e1ae0771ee11cbc446eada942","2542"
"docs/integrations/openai.md","blob","d1bb2fbf09813e99e00f47ac9c18f1e5e5484dc7","2030"
"docs/reference","tree","e95e3655a8bb42eba1a6da84a8fb65357055716e",
"docs/reference/api.md","blob","8ced721cae6b6129ef98bc2995f7dcd9fe9051fe","3436"
"docs/reference/cli.md","blob","4d617ccbac5fb4c98dc40b1c41516cbdd586751e","1609"
"docs/reference/studio.md","blob","b4132b773501a54ecdf9769a0ccf503f295f93c5","1417"
"docs/security.md","blob","a044bd3d2b0d7bf205071419e661e001fe9896a2","2329"
"evoundo","tree","eb746d5c7c29bd36b79a76b1399f209b3e147f97",
"evoundo/__init__.py","blob","912b835c21eb85ad957f769b44e047ca24e1dd16","5173"
"evoundo/__version__.py","blob","03aca6a07bf913cd75e2539d243a7c05a2501ccc","62"
"evoundo/actions","tree","ee03fa7dca1885141137ff7d58e0d11d81701127",
"evoundo/actions/__init__.py","blob","d1986926696204b82efe34651c5784039d9f47dc","699"
"evoundo/actions/broadcast.py","blob","7cf409f7b7ec39534ef45171d702fcc1c079e048","4771"
"evoundo/actions/classifier.py","blob","d2af45f5c9227a22bea144d1e4f2e82fc5ff2ee8","2973"
"evoundo/actions/compensation.py","blob","93e8b042af3f4dbe55018b48ec6228586d81a50c","8451"
"evoundo/actions/connectors.py","blob","fa01a530f135415902ea0a8e16b1ed421e93a6b9","318"
"evoundo/adapters","tree","c5bddeaa45b76ed91fe962e85cb7e1b1bed65f1d",
"evoundo/adapters/__init__.py","blob","432c187ccb21c2124c8f3e5d0f639af85551d64e","622"
"evoundo/adapters/base.py","blob","0e6f93a3c0698b18d9300f2db3f7c131dc1e68db","1815"
"evoundo/adapters/crewai_adapter.py","blob","cff18ac9812d5f88b044ce1cd1f4def2afd5229c","1485"
"evoundo/adapters/custom_python.py","blob","04ae1f7f4bbdf6036626ff0824fc1f524a5404f1","1454"
"evoundo/adapters/in_memory.py","blob","6ec59b71cfff4435bc71e48947de4b122ec531c7","3378"
"evoundo/adapters/langgraph_adapter.py","blob","bf4799d214369f495f53a36000bd8d0f69e95887","1106"
"evoundo/adapters/openai_agent.py","blob","3396333b70ca792d478d3a4bd8054dd73c9c44e9","1637"
"evoundo/admission","tree","5f72e5088e096e1bdcccb1332c53dca2af31eaa1",
"evoundo/admission/__init__.py","blob","fe95ae63ba9e091cc500b8f0409cb6860c35ee88","374"
"evoundo/admission/gate.py","blob","26390a15add592d4435eee09cff546faca9b5ffc","4467"
"evoundo/admission/policies.py","blob","f770308105a4b7522e5425b2a4210925479a77cb","2278"
"evoundo/agent","tree","a0441220a79c3ed3b90bfc5f7aa0cf2c74e389ab",
"evoundo/agent/__init__.py","blob","70fca887e64888ae48707f8a72ca02884246f23f","107"
"evoundo/agent/agent.py","blob","f3ff81c1dedd6c18bb4a766e73efcf4f00d2b214","2516"
"evoundo/cli","tree","90024b9eca87c1514d415c4dc7e375a62ea5b086",
"evoundo/cli/__init__.py","blob","db2019f62ea04bef748c9857addd66f273b8bc72","82"
"evoundo/cli/main.py","blob","7755c06b3224509677fee9fe8864a09836bc03de","28129"
"evoundo/compiler","tree","3990e69d628996ee46959857524300b25d0e08ff",
"evoundo/compiler/__init__.py","blob","2c14c5ceed43cbfb53a425ec29560206a2ce43ca","285"
"evoundo/compiler/candidate_compiler.py","blob","bf8aec1f330baca1d18a6ff8be8e5cb2376e30d2","12888"
"evoundo/compiler/schemas.py","blob","59522b1fe70586fe4d8d1e60811095de8f322946","2405"
"evoundo/context.py","blob","88b96360e4c6e6a68a36950e42e04a8631d67ea4","4195"
"evoundo/core","tree","033a072c45f272b92bd33998f1f514b2ce9fc8ef",
"evoundo/core/__init__.py","blob","79a79da65a8a3059915ce31fe2058a329ea45ee5","739"
"evoundo/core/artifact.py","blob","a9c64f017e7acdb4f118b02cb4a4d5f69a062cf1","4800"
"evoundo/core/causal_tree.py","blob","ffc3513cff26172557367d616174ee172c58fbc6","5206"
"evoundo/core/harness.py","blob","8137e59d541ce32598afc46b26cebcef9d95476e","37104"
"evoundo/core/mutation.py","blob","25d90e9ee67eff77de31db06adfa1057b66e0015","6870"
"evoundo/core/schedule.py","blob","adb035cffee6d3f477346972984b8ff7f25640cb","4297"
"evoundo/core/state.py","blob","f02496a2fe330412ea2393e6fc39968e5a9f6702","17013"
"evoundo/core/versioning.py","blob","92cb76f92a927b1285379b9ff16327e7a2544e7b","2884"
"evoundo/decorator.py","blob","5f01fd96f5f49e3e5d45ce665bc67b6182267908","14971"
"evoundo/devops","tree","507c8c2c9fc7edff1791e46ff6a3dac8c878667b",
"evoundo/devops/__init__.py","blob","d3ac6cf3ebad04eae158a8a237b2d7e3dc433d9b","818"
"evoundo/devops/flagship_sre_agent.py","blob","623368111be81d092458c753dc09ad2a7f9d8e3c","5618"
"evoundo/devops/helm_argo.py","blob","5b0fe3172db2792e3ca9982a7e497bf73b30309d","3272"
"evoundo/devops/kubernetes.py","blob","7bb5d11e1387baf59a1b866b33038b465678515e","7250"
"evoundo/devops/terraform.py","blob","d4b0f1b0c885f6a99291daea97260021ee023274","4570"
"evoundo/diagnosis","tree","70c23cba8d571de205583b4d7f7b52d57b2c3458",
"evoundo/diagnosis/__init__.py","blob","e6ba01b032fde5ae8e08b52acdabc04050f8e0fb","366"
"evoundo/diagnosis/engine.py","blob","e29ff1eaa0b2aadf8eca38b9d8e4ac576b8ae8c6","10267"
"evoundo/diagnosis/synthesizer.py","blob","50fdd269d3e3e48c0e95e2da6268037c0eee2502","2881"
"evoundo/drivers","tree","1fef78a994a011069879fe5468dc086c47ec3584",
"evoundo/drivers/__init__.py","blob","d56715fb119c633b72407b68ff3252796e4b2ec0","778"
"evoundo/drivers/file.py","blob","9bd75296022ad54cf93b01340f570ec2d4e64572","2440"
"evoundo/drivers/json_config.py","blob","307fbbda8b7c3ffaef3e01e02978df4bed298b52","3220"
"evoundo/drivers/k8s.py","blob","3a4652f9ad2b12fc3515b2e9d1e89a0462bd186f","2589"
"evoundo/drivers/orm.py","blob","953658ca3eeadd127ec1f47a586a31805de25912","17562"
"evoundo/drivers/redis.py","blob","183e45a4b710c4e79e9a92a84e49c17c98ef4fa1","27830"
"evoundo/drivers/sqlite.py","blob","703a42aaf6d091a410061ed611b48b8d628852c0","10328"
"evoundo/effects","tree","124b230bc76f992cd71ecc6c4a104d0f1d1a7bc3",
"evoundo/effects/__init__.py","blob","88541dba809d51eaa51d972b46da50e24991d646","398"
"evoundo/effects/address.py","blob","9d96e71055d9f719b422dbb96e3809f34feb3217","6059"
"evoundo/effects/contracts.py","blob","9d6f6a63bfe525e33a5549fed8af37d9cd726d08","5826"
"evoundo/effects/diff.py","blob","f26a0490b603b1ffa26d7fe62c10f9ce040c1adb","12579"
"evoundo/effects/tracker.py","blob","01bc2741bb84a52588efb78078f6cc1e7a77eafa","3256"
"evoundo/governance","tree","a5161472c3cf4705401a3018f75954a0ad429015",
"evoundo/governance/__init__.py","blob","e4535af906cfed92bc0de37065b6af280982bd3c","1407"
"evoundo/governance/approval.py","blob","7c33407eda2b4dd07e99d227f07ccfdf43d1bed0","1756"
"evoundo/governance/authorizer.py","blob","d5fb61dc1a5dd775dd22fa527ce474bb777db0d2","1526"
"evoundo/governance/payload.py","blob","72cc3810ab8a6d8cd196a3c035af76f52a462646","2236"
"evoundo/governance/tenant.py","blob","68fb32756495d2e281944e172d391b849a51493c","2048"
"evoundo/harness.py","blob","cec2816aa250e8f8cf17c8c5b03fd3ab0bc116b4","2828"
"evoundo/identity.py","blob","c1a51682a87a57c446ccc1dcffc1debd21bd3c87","8463"
"evoundo/integrations","tree","c36a466905e1e58119c0fda027e2de24b1c0e8d1",
"evoundo/integrations/__init__.py","blob","e9c99f0fee9e240c2eabd1ffe475bbbdd6ffdef0","941"
"evoundo/integrations/anthropic.py","blob","021131977e26f3ffd66fafcccb0f21e450cd13d8","3234"
"evoundo/integrations/base.py","blob","8d53f9d30fffcfa3293ef44296a51d7c2fe5f142","15429"
"evoundo/integrations/claude_code.py","blob","8c204dd8b2fb1784029b46ab39f95eaaa587dc88","25190"
"evoundo/integrations/codex.py","blob","bd898e7e7ef7ee9f34268b5171f58c1638736c0b","39534"
"evoundo/integrations/connectors.py","blob","aa0dab0458b7710cf8a0762120905cedd86dff5f","16208"
"evoundo/integrations/cursor.py","blob","3544acba471da3d5211e95adad0ce8480895f5af","36239"
"evoundo/integrations/google_adk.py","blob","055be737da5a639255949c5296a0347b38a50cc3","6013"
"evoundo/integrations/hermes.py","blob","5b235a07eda54726ce136172b22bc7dd35ffafc1","35052"
"evoundo/integrations/kubernetes.py","blob","8da96b5b692f5126670e529e88a971f1fb1ff521","13816"
"evoundo/integrations/llamaindex.py","blob","efbb68cae71e6981ac85005ecb3ee1d9773fe5d9","3583"
"evoundo/integrations/mcp_proxy.py","blob","5a429ba556ddd37a657a31cd5e580a0fad97f9e1","3358"
"evoundo/integrations/microsoft_agent_framework.py","blob","6f8e2e99f8b457f90310aad389f765d748969dd1","3658"
"evoundo/integrations/omnigent.py","blob","ac5e0cc6e6ad6fa2218fc9e3d9a81e02473e88db","18223"
"evoundo/integrations/openai_agents_sdk.py","blob","01514d1419d1d98caa9d26763e32f6a1ea53adfd","4308"
"evoundo/integrations/openclaw.py","blob","8241883dde126ede908a3c09cb85dd7bbb33e842","18274"
"evoundo/integrations/pydantic_ai.py","blob","a0845156da38070527a4d401826691938afa2000","3522"
"evoundo/integrations/strands.py","blob","e3b6d860502417c49761f3c8943c7a0c8a37bab0","3590"
"evoundo/integrations/terraform.py","blob","4c2f243ca0c94a772a41385cf7d4850ecf79b9af","6440"
"evoundo/levels.py","blob","7b2691373da19d70dd7ae9c6f7ec9edb90155294","1540"
"evoundo/llm","tree","6af48a38d6264fdc7fbbe9c38569f1d0ef9456f4",
"evoundo/llm/__init__.py","blob","12329915aa4acf99a708fc8ab16c6f55d0fc5753","187"
"evoundo/llm/client.py","blob","45eff1ae071b0ce49b173f41b1ed90e3cb4431a2","17972"
"evoundo/memory","tree","ee6b1ffcb87e6e9db86cbf0d12edde496dc5989c",
"evoundo/memory/__init__.py","blob","104669aa1bfbf71affa557f5e37807f932766b9a","599"
"evoundo/memory/adapter.py","blob","d03a8e6f2757136f270e54ddb89b13a84bbe9749","7186"
"evoundo/memory/contracts.py","blob","caacf8cc286410c9d67e297853aae8e5c8603d24","6667"
"evoundo/memory/working_memory.py","blob","a402c61fabf3c2a6a3fd8a102980608e908ef4c4","8201"
"evoundo/mutation.py","blob","ecf47215aff1826187bddd4df7b4f973e0443c21","373"
"evoundo/observability","tree","5b0dd3f1c27ab0c2284cefa188f66c85199b2d67",
"evoundo/observability/__init__.py","blob","974d10d1ca06620a3577e0a639ab24bbaa5ce003","291"
"evoundo/observability/attribution.py","blob","50040a70d5563443ece0e56ddd2a21b84b9d1370","2544"
"evoundo/observability/events.py","blob","c488ad2a46290bfdf7722330ea15042b29f1a347","2438"
"evoundo/observability/exporters.py","blob","e18124cdee820bec47f1344b27a3b3603a856381","3619"
"evoundo/observability/logging.py","blob","91fa804f2a3eb6dbf0142b5169cb598e533507d6","2594"
"evoundo/observability/otel.py","blob","e8dbb9b81f6c27437545e12e38ef072509a33c8f","4678"
"evoundo/paths.py","blob","3a79b3dffae40eb159fbdcb8451c08d57a9c97c5","1112"
"evoundo/persistence","tree","43989483a8688eef79302fa5377fd05383c5f074",
"evoundo/persistence/__init__.py","blob","5f27320d584116e0bcc7a496159d1282190de354","1615"
"evoundo/persistence/base.py","blob","f78d97a1f788bd2690c13eb5f55e26f60025a5a6","1540"
"evoundo/persistence/json_file.py","blob","9b013676ecbd4242da4e09b4b61713d44b9732a5","6464"
"evoundo/persistence/sqlite.py","blob","182ab5fb1826f49d5b42c55acdda49fb7a71edf7","6899"
"evoundo/pilot","tree","bdd7cc43b587cd03ad432fbc576fba5e0c71391d",
"evoundo/pilot/__init__.py","blob","1b4d55ddd6e4a6665187a62439cb08fa42ffc552","144"
"evoundo/pilot/runner.py","blob","ea0861e243482a63ae020c6f3317506b39b9d408","10257"
"evoundo/plugins","tree","fc83ed8fcec021114827d9bc3336d7a569ea52e0",
"evoundo/plugins/__init__.py","blob","9babdfc214d8de88e20f496959793a76f7b105b4","603"
"evoundo/plugins/autogen.py","blob","129d93d35ac72789739c0f4fd1d552bab0b584e4","1716"
"evoundo/plugins/crewai.py","blob","80735827400c156cacd95b2af987b2a6c33adbeb","2195"
"evoundo/plugins/fastapi.py","blob","37b8245164b0593fbaf9c2ae504c05053cf636e5","1195"
"evoundo/plugins/langchain.py","blob","90df7c824a0aeaa3f675097f2b0b9f1aeef3fca3","2813"
"evoundo/plugins/llamaindex.py","blob","fa23f50ac7cb0ec671f8d576d70c345eda9d1f91","1734"
"evoundo/probe.py","blob","d1e75615302c725d163191e7e05279f05ecbab22","12006"
"evoundo/protection","tree","cadfa0cb5a8dec030ae4eb2a2800a2f8063ef3ba",
"evoundo/protection/__init__.py","blob","e36db13f11a82ffd4e710c1436a3c98601577a32","288"
"evoundo/protection/declarative.py","blob","379b9b1989366abdaa8ed7de6655c9b767a705fa","28557"
"evoundo/protection/decorator.py","blob","0b9bdab998fa426a5db4b73107ac310d18f6b6d1","14524"
"evoundo/py.typed","blob","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","0"
"evoundo/reconciliation","tree","bebb029a31efcdc04cfdcfcef10485b7543c27de",
"evoundo/reconciliation/__init__.py","blob","db4c880a2484afd00a4c0283903235ecc134ba0f","656"
"evoundo/reconciliation/async_job.py","blob","f249e26a6bed085687b24c180c489a6be2afb400","10888"
"evoundo/reconciliation/reconciler.py","blob","ef61cfc18f6b6dee6a297be0dfb890a52e75063d","46554"
"evoundo/recovery","tree","f3754e821881bf74af5559836d3d3aa2a3736cb4",
"evoundo/recovery/__init__.py","blob","458da0da434ea8bb358d1606b47865bce8a03aed","743"
"evoundo/recovery/driver_registry.py","blob","0f07be7dbaedf5aef6a09894b32924780c9f7dfc","32661"
"evoundo/recovery/engine.py","blob","733caa7250f276a8f7375796e9b5cb517132aa29","3576"
"evoundo/recovery/group.py","blob","6dc2f967d07a1ca847d44bf3a7c682bc5391bfe9","12706"
"evoundo/recovery/operations.py","blob","b18e8215ced231988a293f52e29e848bc4d7a8de","32051"
"evoundo/recovery/snapshots.py","blob","07723190d84093ffaafa1e8644260125bd10f25c","3559"
"evoundo/registry","tree","3b26f62a08a8b6ec5ffa9119c9901a20e53587d3",
"evoundo/registry/__init__.py","blob","aa969166c2840396e95db8f83e4e490ce2494555","339"
"evoundo/registry/mutation_registry.py","blob","2c31781f54cc21435227e126cd225dea46fe3b40","27257"
"evoundo/server","tree","2d5ab70c4ec90d984e26b29e13d11b63ce27cc4a",
"evoundo/server/__init__.py","blob","5fe10a0df09a0df5f3c0a9c8c965baeee7389f26","121"
"evoundo/server/app.py","blob","b520315d2b00061980c428f9480db73a25047ec2","87"
"evoundo/server/exporter.py","blob","bddb16c6926a87e6293abc12c22bd1de1d5d5d36","74"
"evoundo/studio","tree","61c44a7656eabc009dc2880b6db8083ebd1b6e54",
"evoundo/studio/__init__.py","blob","9295f96de11a2088c45b53f1198514b2f56ba48e","123"
"evoundo/studio/app.py","blob","8592f991ed4329e5008f20493fe3fec7745c8ae2","45981"
"evoundo/studio/exporter.py","blob","5831aeb84b5fdaf992ec01cae68008100bfe0340","4527"
"evoundo/studio/operator_api.py","blob","b8614d2383e60fbfbe179bf7e0e9efb8c11ad055","11839"
"evoundo/studio/recipes.py","blob","66e7b142f42fa8345589bb3f1ea9899842a571f2","7576"
"evoundo/studio/runtime.py","blob","3fd26edd36f92856c452f9bb8196ddc920184fc0","12448"
"evoundo/studio/static","tree","1e2db70918460f8e49c9e8364123daeedf8ca1ca",
"evoundo/studio/static/index.html","blob","87d1ba4bef0528229e08262f590b5443949566f1","99080"
"evoundo/surfaces","tree","3e15754e7cd58fd4f1fc0bf4e9b6bd26f7bcba89",
"evoundo/surfaces/__init__.py","blob","8814bdbf3bc6b26e2665b3793d22a2fd36c3be5b","932"
"evoundo/surfaces/blob_storage.py","blob","e857a1cd42198fc0ba35548239b3146367bf8ca4","8930"
"evoundo/surfaces/mongodb.py","blob","d07f2ea65fa8310388475a22328261a8aef40bf7","18663"
"evoundo/surfaces/s3.py","blob","e22b7b02331519b590b39abbb54072e29523a0df","10842"
"evoundo/surfaces/sqlserver.py","blob","54f3f0056e9bffff957c91583dc5c094af7a3a45","17101"
"evoundo/verification","tree","ebe5fd5262f3c1909206023e6b34e8ac03e6dd3c",
"evoundo/verification/__init__.py","blob","d120f907681ba42715898689242f6eaa9ca61dc2","331"
"evoundo/verification/counterfactual.py","blob","3ae54327d6948304dd41a3ac4fdd1ca07f459513","11874"
"evoundo/verification/equivalence.py","blob","490c827d286fb0738362682694b4062a6b4a18eb","2756"
"evoundo/verification/stats.py","blob","f8175f9a1c8bdb39c447506c9a52fd6a2cef1190","2568"
"evoundo/witness","tree","c7afc46574e4a1dcccde06ec54fdd409a27e04be",
"evoundo/witness/__init__.py","blob","2a012e0e118870febcd6dda658dbb58de9951239","386"
"evoundo/witness/manager.py","blob","015cfcd4adb22e762076d5e1ed6af60b8d308009","6827"
"evoundo/witness/stores.py","blob","30837d9f27f56b9bc7d6e3fa823881ea8f575bb5","2819"
"evoundo/wrapper.py","blob","8d05a9c95555de461ce9c7655fa2ead8ed88ec12","25427"
"examples","tree","d1fd968379fb554a2405b8a63df689b7a26bf52a",
"examples/after_langgraph.py","blob","74595066a06007fd6713940790646e595cd0f740","2634"
"examples/agent_demos","tree","7efc0167e03f91b47966674557c985bd6fe505a0",
"examples/agent_demos/__init__.py","blob","d9f50c80e6d8be75fe0849310724f4ed1fa2f5ed","55"
"examples/agent_demos/run_demo.py","blob","4117847f537b7c2987cf3d818f37a60b3b26e9e7","15405"
"examples/agent_demos/self_evolving_tool_agent.py","blob","11b48e4911c8074d4ba93c2f996d6fb97f42d8c7","5096"
"examples/before_langgraph.py","blob","10b91e873bb6bda5a52e9bfc5c5f5aa090e20f36","1119"
"examples/integrations","tree","5d5702ff37169b8468aa2e3735e078155c022f50",
"examples/integrations/anthropic","tree","15d868f7c4cd2f97daaa384bc7d6701e1ead699b",
"examples/integrations/anthropic/demo.py","blob","92710cb73f66d84da67484daf8afb25f93b01457","1914"
"examples/integrations/autogen","tree","8a40efa92f3600265bb8bf85b479fc45e2b35370",
"examples/integrations/autogen/demo.py","blob","c9a410c1810c2619f7f96483b236c261c5c8707f","1303"
"examples/integrations/crewai","tree","22222aebb087050350fcc1f7709e38e25898caf1",
"examples/integrations/crewai/demo.py","blob","10bf5e4656784c5766bfd59aa4bea2d5895c07ab","1361"
"examples/integrations/google_adk","tree","653cc1d28d7d44c5e14f1efc2c4b7ecb131ddece",
"examples/integrations/google_adk/demo.py","blob","fc9ea8f10bfe35057b96056e057cf65f32a584c8","1814"
"examples/integrations/langgraph","tree","0940eb2fe65eb884bc64a09e03fe169890a671bf",
"examples/integrations/langgraph/demo.py","blob","b097577c2b340058892d23ec1054da1ed9e1886e","1328"
"examples/integrations/llamaindex","tree","ca049a3285e000d8eddaf4cfbf82dae0cea32832",
"examples/integrations/llamaindex/demo.py","blob","2e82d95404161700712c0fd9f1bdc0a50af0eedd","1551"
"examples/integrations/mcp","tree","20090dffcfc4b0f4c2dcdd74983b09f7a946d867",
"examples/integrations/mcp/demo.py","blob","87723b34b07fe8bddeba57130c3eec188271369b","1979"
"examples/integrations/microsoft_agent_framework","tree","bd511f5f5b5aa87d1539f4fc05a126689ba6354d",
"examples/integrations/microsoft_agent_framework/demo.py","blob","9fcc5dcb40fa9c5e297cc89cb6f6982b9cef4812","1602"
"examples/integrations/openai_agents","tree","81c08c2bbccbdc8e8a780b02128e47f11357a5f1",
"examples/integrations/openai_agents/demo.py","blob","0daf4f713b4d523e780c7e41009580eac1dc92a0","1634"
"examples/integrations/pydantic_ai","tree","0ed372bdbe714a6e5a6ab23504402cefc6910eb5",
"examples/integrations/pydantic_ai/demo.py","blob","5875ec39b5a9c475530802c0ff93aeb19441ac19","1578"
"examples/integrations/strands","tree","3f335bace95f98411aa52b1ac74032b6b1672bc3",
"examples/integrations/strands/demo.py","blob","96cc514aaeccb9b6aa53f05be3b0ef77720b544b","1599"
"pyproject.toml","blob","75dd15ea6d1dca2bace05f58e36abf949773e5f2","2751"
"setup.py","blob","fc1f76c84d17b458f7090667d495592c9abda034","37"
"tests","tree","167afbccb0ef6d591200034aa45dcbf0df2e86ce",
"tests/__init__.py","blob","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","0"
"tests/test_actions_and_governance.py","blob","928107232f66f7e90c1f5cea4105cd3d36dce0eb","3181"
"tests/test_agent_wrapper.py","blob","34fa0123c3c7c7b921115ca0d6a9559d50c39c98","3950"
"tests/test_causal_and_conflict.py","blob","86a1075786ea8f11a71b8bafa9ac7d3e1060bd7e","3332"
"tests/test_connectors.py","blob","3054b0242859ec1a4ef6d481ebbe23fd2e4435b8","1889"
"tests/test_p1_safety_invariants.py","blob","8b94c428cd2003f8765987e458b3dff86244e3d1","53634"
"tests/test_protect_tool.py","blob","78222eaf7e498bd167248187bc7cf5755ee11dca","3430"
"tests/test_studio_api.py","blob","57fc1cfeae5c8bb6626ac927cbc4ad275412f493","3089"
