recipe,negative_count,raw_score,corrected_score,raw_prediction_sha256,corrected_prediction_sha256
forest-0,0,92.830234375,92.830234375,651259499e1d5d7ec63c9cb86829370f0f641f88593ff2659735a08b81497b44,4ecf171f112617de8f2047625624e733a5992cbf0af69666ddc9894aa469115f
forest-1,0,100.17927219114202,100.17927219114202,e4413a442522b7885230704908c15887699afa1d85847678214e58335a321ab6,198419795fc887d80153a40a74584c064e83362024bce83ac354431569617b73
forest-2,0,111.76214710300934,111.76214710300934,bc97eda79c8a408498ddf2d8a2ee227bc1d5521f8245c7813551b0b7c5cd49de,cbc13451386111fab628d65d94d3ca02d685788227a63cdf228ea9c957f0fc40
forest-3,0,113.7730912489594,113.77309124895939,cd4d26f25057e7a1639058fd6550c0fe330f2757278af4e5576a54dd12001902,8b70d097e4c3060eaf85c88da9114b101ccc59009c4c2a808962cb59c0ea2f76
forest-4,0,125.66384200678937,125.66384200678935,c9b860c4d31286da041fd3aceae4add597c39e8ac6f20494ce669d2045a331f0,6f5dc91c658926c8b8ec75780294bd79a260be94af56277608e94723d4d9a1ab
forest-5,0,125.98293308151445,125.98293308151445,ae740be5014bf56f8ee498261b756fee31e6ee819c937accf0a99d69a7079052,144851c598d865e92fd135deeaa981c6660ab4519276dc5c7412ec0c3005e64f
forest-6,0,107.53860184404265,107.53860184404266,06b533d44c265a9b153808ad1a1a5c0a25ead80b5e93e141bb8cafb0c49a43e8,813b2eef7eef70643205fd2a5e7b2d7c6f61532981a10a484e3164cc01f30a79
forest-7,0,99.13057291666668,99.13057291666667,c893304946888a7bd260308a8c583193f6073dcb82f8281e29b11672de509846,7a615b206bf11bc043621711b35775278e8c3d2d96549cb18500d5c5c5a6a0b8
kernel-0,24,102.41055766989886,102.19881812337671,8feb527cfd305afeddd3422d5aeba53664bdc56082db9ce16dd70cc4e250d286,88b09729e45f54f21a1300f3bff3e69c6909bfc6e589da70b933d221e127adf0
kernel-1,72,95.94222711588984,95.07682379116292,3866f862c917a8065ef6c3f1feb2e46f3be3ca3343813d05372c267112defa88,ed4dc4d22b41a837b205060a61e62d7c0848de8e7f556b1de96978175e219855
kernel-2,73,95.65953010760464,94.80497545465505,f04c6de513b6960974445a3a5179ab73a9a823d104975dd9bad37c7f49a47278,e7734c158281353ba457ca97007ee35324c9300833009334532ce10e027b3eff
kernel-3,0,125.855942919062,125.855942919062,be1c33d63f55c20eb6733d855c5bdd822651b9e059598cd1733491d9ff1137df,cd3264ef6afd7888d2e41b4003fc0901e211464781f7f31196644954a21f7f9d
kernel-4,56,114.7066809106161,114.10510482854728,2e9e4c9aa031709902691a9f5b2f49c2a0a93517ec77eaeee4d1a04caacd3eef,66e61deb141794453732a10ea91dba0c30f04d0980932279956dc8873096dd0d
kernel-5,117,103.08313462685489,101.26782972539671,400c70d1ca485ecd239fede14d287349a87efe79653b1e2aff623fac60a27757,f264b32561a4827bc569de6009daed500d219fae369b1a7c83cf2c3c0a17a272
kernel-6,155,98.21881440132786,95.47035225253688,6f7bae08a33b284099476bd5c519d4e842c21eeede9d1fc2ca0dae0f9cf4990b,378edbda167fc9d8b8e1bb8ec556516fcb20fe2d15e50c99cb63c014e046a54e
kernel-7,0,152.4643150047464,152.4643150047464,5b9e523dac550886396486ca95c92f49e466df9788940ab0bf2ea6849d64b434,bd74ae52bc3dbb76eeec9522afb04066d387b16de85c206f63d47ba20c33ae00
linear-0,167,106.59724663951545,100.34894988444886,87b2471591991b7efc415fc3b67a78dc1cd2a768a8006992e3bd4b8d1ca3bd92,146f4f43df533ec69f01c72d184a198f63b5a0674d7a00f22d557377a5b7291f
linear-1,177,106.80649314804748,100.15011454645722,0899d258982f4bbeda52d09d20e6b3a33da1b24eaf3ad18431c3fd7add42d506,95f2da56099462dfe5d50d63dc3305281963cbc4af298d0701e65f0b38c5f91e
linear-2,176,106.78576016996364,100.16845608277448,8d987c597b105804b5a1a4d7b43f11b2d0c9a0dd25aabd126456c7f91805e381,aba3e9fccbf2249cc5c551e0a682b4bf7ec0f7e5258ef5831ccc0fa9b835b3dd
linear-3,137,106.65453752688886,102.84046327512388,63c369b84aa43a61be915af43ceb29a164ef50041b9111a69c2457cc736ea9eb,cbcf0f9fe1152859bf6254097d62406c9c9104b7c6f4e74e0d67e5d67b5c8a99
linear-4,40,117.7121919843202,117.16998089648807,5c7adf818ee582d2545c3c3151c22168ca3f65dbe80c44198938bdfbc1b0e14e,ffb082fb41917fa8ce9d4d96a7d5a8e8be3ad10da9a8210b1e4561cf230e20a4
linear-5,0,134.0022442448479,134.0022442448479,a0c3d0e9865f521659a63da4d13353e7e9b23934d40c3830ad5b3056f1839fb3,39db212d8dc47549779a49b6b4aaaf3d63637b471b335a42ab9d5379eae4f3dc
linear-6,177,106.80863576709788,100.14833630370356,123563363c4f55754d96c82fc5e5e7169c1b91b7d54dcaf355c03f8196975a6c,184526790a8be3a9e1db8d2866ee366ecb1eb6ed5435d91d48b383d0943caafd
linear-7,0,150.18867094041724,150.18867094041724,42c88a4647b697834504579ae949b463a987c33d2bc51dea0e73491521f3b046,2b5d9a86fc7454c17255e9a9e4a6c9b3585b08365b63a66d96f40113b8d84c7d
neighbors-0,0,121.45690253968462,121.45690253968462,63c284345246cbb938e9c9d548ac65af4ca94902d5df87e5b416a1c0a8aab428,141c0241d4523ae3b9d7c6371820eb2904a016b74f20b5deab9e09863f6d984e
neighbors-1,0,121.24151417554626,121.24151417554626,360de266676c9868227db7dd52e1ced67c44bc2542a7d696f9ca33f6cf259163,c9b0785925a9fcae80a02ba59c9186a4d499bb5d2dc1758bd6432aed2b79c682
neighbors-2,0,123.79244789714264,123.79244789714265,47916664a4f293229462930021260e1615df56289b48f3a88f2043c5fb865a0f,dc5c1ba21649509e47a66a762148abe66bf6d422a509750bd37c8ddcd7371caf
neighbors-3,0,124.97060244796413,124.97060244796413,d71f1f218c90879b6c700457bc6dbd7f00d226733a1ad01a0b3fb3a6a4903a53,8d25686b3da1c49b82bef73a43e7ed0e0caba1662e0fe6f0e9efa2c941a916e1
neighbors-4,0,122.127,122.127,0c3c0be60f8a99421414d15e0b0668d0bee020d41be7f5b686218b217e1542be,59c1e3df4d16dfe8a6c1a737d1ce624351d2a935e2937b0d57c89ddabdbafa7e
neighbors-5,0,124.42643939393942,124.42643939393942,ab5f86bd3ee93944069701c9fd0e07c52cbb5816de0af89e65a9d1ae99c24985,0e446642716541bffd37582e5e9ebf02d73c0a9d16ebdff8afdf5188e82d049a
neighbors-6,0,125.38126666666668,125.38126666666668,72560df3e4a7e4cbc21f46b49bcd43f33d5e7668cfea4c1bc6ef0b4767234038,5a4627f396aa0ab5f804659e1541dabac7c7ad1b10c0aadc031b009665a98124
neighbors-7,0,127.4604076205458,127.46040762054581,13477311c5963ce436e3862bf4845ed4f143d56d5862e997d0c1af97723d0015,694856c191f287ecf379561c94b1bbf95d6a28fdeb00d5bd4b6599122553996f
