task,budget,fixed_score,random_mean,random_p10,random_p90,reference_score
cancer,8,0.9659810777457836,0.9616888626079803,0.9567132867132866,0.9659810777457836,0.9659810777457836
cancer,9,0.9659810777457836,0.9616888626079803,0.9567132867132866,0.9659810777457836,0.9659810777457836
cancer,10,0.9659810777457836,0.962533422459893,0.9567132867132866,0.9659810777457836,0.9659810777457836
cancer,11,0.9659810777457836,0.9630848930481284,0.9589880707527766,0.9659810777457836,0.9659810777457836
cancer,12,0.9659810777457836,0.9632687165775401,0.9590991361579596,0.9659810777457836,0.9659810777457836
cancer,13,0.9659810777457836,0.9637456293706294,0.9600987248046072,0.9659810777457836,0.9659810777457836
cancer,14,0.9659810777457836,0.9640734265734265,0.9600987248046072,0.9659810777457836,0.9659810777457836
cancer,15,0.9659810777457836,0.9642572501028384,0.9600987248046072,0.9659810777457836,0.9659810777457836
cancer,16,0.9659810777457836,0.9642572501028384,0.9600987248046072,0.9659810777457836,0.9659810777457836
digits,1,0.965288649706458,0.9555821707260305,0.9406853487745346,0.974897275586548,0.981920526201348
digits,2,0.965288649706458,0.9678697061076504,0.9528955215310128,0.9791052555821996,0.981920526201348
digits,3,0.965288649706458,0.9714702166097804,0.9649466946274298,0.9816389991394331,0.981920526201348
digits,4,0.977676684153628,0.9751906255359402,0.9653283322461405,0.981920526201348,0.981920526201348
digits,5,0.977676684153628,0.9760203740517687,0.9656003486673466,0.981920526201348,0.981920526201348
digits,6,0.977676684153628,0.9767015176102275,0.9680484964582012,0.981920526201348,0.981920526201348
digits,7,0.977676684153628,0.9767461604673704,0.9680484964582012,0.981920526201348,0.981920526201348
digits,8,0.977676684153628,0.9768868155661519,0.9680484964582012,0.981920526201348,0.981920526201348
digits,9,0.977676684153628,0.9770621928871555,0.9680502895608046,0.981920526201348,0.981920526201348
digits,10,0.9791052555821996,0.9775466054986692,0.9683189846843617,0.981920526201348,0.981920526201348
digits,11,0.9791052555821996,0.9779710533463337,0.9710206245080836,0.981920526201348,0.981920526201348
digits,12,0.9791052555821996,0.9779710533463337,0.9710206245080836,0.981920526201348,0.981920526201348
digits,13,0.9791052555821996,0.9790166775960175,0.9763086142425327,0.981920526201348,0.981920526201348
digits,14,0.9791052555821996,0.9790166775960175,0.9763086142425327,0.981920526201348,0.981920526201348
digits,15,0.9791052555821996,0.9792372748668572,0.9763086142425327,0.981920526201348,0.981920526201348
digits,16,0.9791052555821996,0.9792372748668572,0.9763086142425327,0.981920526201348,0.981920526201348
friedman,1,2.050149357619625,1.9245796104160906,1.1845434843938136,2.8089044082479777,1.1101057759199988
friedman,2,1.595268217566205,1.5340180684241056,1.1199812163787317,1.823350760956471,1.1101057759199988
friedman,3,1.1420921592547133,1.4185637475261847,1.1175276296599244,1.6531279412032165,1.1101057759199988
friedman,4,1.1420921592547133,1.3656255365136687,1.1175276296599244,1.6505364915807041,1.1101057759199988
friedman,5,1.1420921592547133,1.308320598023278,1.1175276296599244,1.6093529683604597,1.1101057759199988
friedman,6,1.1420921592547133,1.3040526898444664,1.1175276296599244,1.6028091432003677,1.1101057759199988
friedman,7,1.1420921592547133,1.2315946002191986,1.1175276296599244,1.4220822156582895,1.1101057759199988
friedman,8,1.1420921592547133,1.2081959455045757,1.1108479612939914,1.4135131476775724,1.1101057759199988
friedman,9,1.1175276296599244,1.200363482392699,1.1108479612939914,1.4135131476775724,1.1101057759199988
friedman,10,1.1175276296599244,1.199595840842862,1.1108479612939914,1.4135131476775724,1.1101057759199988
friedman,11,1.1175276296599244,1.1879921001604257,1.1101057759199988,1.4089784778338126,1.1101057759199988
friedman,12,1.1175276296599244,1.1737193209735681,1.1101057759199988,1.368166449239974,1.1101057759199988
friedman,13,1.1175276296599244,1.1639691615315366,1.1101057759199988,1.3493726803879182,1.1101057759199988
friedman,14,1.1175276296599244,1.154711205294096,1.1101057759199988,1.178900834619566,1.1101057759199988
friedman,15,1.1101057759199988,1.1517531161694872,1.1101057759199988,1.164463765674333,1.1101057759199988
friedman,16,1.1101057759199988,1.1503360318433122,1.1101057759199988,1.164463765674333,1.1101057759199988
interactions,1,0.7322695035460993,0.8129150548033528,0.7615183752417795,0.8635267569310122,0.919116698903933
interactions,2,0.8572533849129593,0.8522888459058673,0.809638942617666,0.9116698903932948,0.919116698903933
interactions,3,0.9094132817537072,0.8700435203094778,0.8421985815602837,0.9116698903932948,0.919116698903933
interactions,4,0.9094132817537072,0.8798416344294004,0.842330754352031,0.9183720180528692,0.919116698903933
interactions,5,0.9094132817537072,0.8902955754352031,0.8549871050934881,0.919116698903933,0.919116698903933
interactions,6,0.9094132817537072,0.8913311976144423,0.8549871050934881,0.919116698903933,0.919116698903933
interactions,7,0.9094132817537072,0.8999929480980013,0.861444229529336,0.919116698903933,0.919116698903933
interactions,8,0.9094132817537072,0.9053010154738879,0.890715667311412,0.919116698903933,0.919116698903933
interactions,9,0.9116698903932948,0.9058651676337848,0.890715667311412,0.919116698903933,0.919116698903933
interactions,10,0.9116698903932948,0.9061683994197293,0.890715667311412,0.919116698903933,0.919116698903933
interactions,11,0.9116698903932948,0.907333978078659,0.8910058027079304,0.919116698903933,0.919116698903933
interactions,12,0.9116698903932948,0.9089740490006448,0.8936170212765957,0.919116698903933,0.919116698903933
interactions,13,0.9116698903932948,0.9108004916183108,0.8945583494519664,0.919116698903933,0.919116698903933
interactions,14,0.9116698903932948,0.9119711073500969,0.9030303030303032,0.919116698903933,0.919116698903933
interactions,15,0.9116698903932948,0.9119711073500969,0.9030303030303032,0.919116698903933,0.919116698903933
interactions,16,0.9116698903932948,0.9120617746615088,0.9030303030303032,0.919116698903933,0.919116698903933
