age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
63,Private,214071,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
23,Private,316841,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
30,Private,169269,11th,7,Never-married,Handlers-cleaners,Other-relative,White,Male,0,1721,38,Puerto-Rico,0
38,Local-gov,34744,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,0
34,Private,145231,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,4064,0,35,United-States,0
19,Private,355712,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,25,United-States,0
37,Private,98776,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
22,Private,102258,Some-college,10,Divorced,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,0
18,Private,228216,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,0
20,,303121,Some-college,10,Never-married,,Own-child,White,Male,0,0,45,United-States,0
57,Private,50223,Some-college,10,Divorced,Handlers-cleaners,Other-relative,White,Male,0,0,25,United-States,0
43,Self-emp-inc,209547,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,25,United-States,1
23,Private,278390,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,68,United-States,0
24,Private,279175,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
40,Private,187294,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
28,Private,302903,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,1485,40,United-States,0
43,Self-emp-not-inc,126320,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,1
37,Private,79586,HS-grad,9,Separated,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,0,0,60,United-States,0
54,Self-emp-inc,159219,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,40,United-States,1
26,Private,210982,Assoc-voc,11,Separated,Adm-clerical,Unmarried,Black,Female,114,0,40,United-States,0
29,Private,97165,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
47,Private,104301,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,45,United-States,0
18,Private,42857,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,0
23,Private,161092,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
21,Private,345253,Some-college,10,Never-married,Adm-clerical,Not-in-family,Other,Male,2174,0,40,United-States,0
37,State-gov,111275,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
43,Federal-gov,157237,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
19,Local-gov,223326,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,1721,35,United-States,0
45,State-gov,226452,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
32,State-gov,479179,11th,7,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States,0
32,Private,33117,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
55,Private,192869,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,36,United-States,0
35,Private,98776,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,0
41,Private,309990,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,33,United-States,0
21,Private,542610,HS-grad,9,Never-married,Transport-moving,Other-relative,Black,Male,0,0,40,United-States,0
20,Private,208117,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,18,United-States,0
36,Private,37778,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
55,Private,202652,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,35,United-States,0
38,Private,52187,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,50,United-States,1
27,Self-emp-inc,214974,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,0
54,Private,162238,HS-grad,9,Widowed,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,0
44,Private,98779,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States,1
18,Private,78528,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,0
51,Private,217480,Some-college,10,Separated,Adm-clerical,Not-in-family,Black,Male,8614,0,40,United-States,1
52,Private,120914,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
32,State-gov,33945,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,1
39,Self-emp-not-inc,199753,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60,United-States,0
58,Self-emp-not-inc,25124,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2377,65,United-States,0
41,Self-emp-not-inc,38434,Masters,14,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,0
49,Private,177543,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,0
55,Private,139834,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
26,Private,29515,HS-grad,9,Divorced,Exec-managerial,Own-child,White,Male,0,0,40,United-States,0
22,Private,158522,Some-college,10,Never-married,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,0,0,35,United-States,0
30,Private,101562,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
29,Private,293073,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,48,United-States,1
31,Private,166248,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
42,Private,173888,HS-grad,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,0,0,52,United-States,0
57,Federal-gov,223892,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,1
45,Private,54038,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1902,20,United-States,1
35,Self-emp-inc,333636,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,75,United-States,0
59,Local-gov,240030,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
17,Private,190941,10th,6,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,0
49,Private,112761,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,0
24,Private,321435,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,35,United-States,1
56,Private,225927,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,2580,0,40,United-States,0
44,Local-gov,159449,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,80,United-States,1
33,Private,187618,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,1741,40,United-States,0
29,Self-emp-inc,218555,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
32,Private,205950,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
40,Private,111336,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,28,United-States,0
44,Self-emp-inc,60087,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,1
53,Private,170701,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
17,,143331,11th,7,Never-married,,Own-child,White,Male,0,0,40,United-States,0
42,Private,167534,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,5013,0,35,United-States,0
64,Private,86837,Preschool,1,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,0
54,Private,307973,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,1
45,Local-gov,211666,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,1
49,Local-gov,126754,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,40,Italy,0
27,Local-gov,157449,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,1
46,Private,199378,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,90,United-States,0
70,Self-emp-not-inc,323987,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,8,United-States,0
23,Private,199011,11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0,3,United-States,0
20,Private,123007,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Male,0,2001,30,United-States,0
21,Private,200121,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
47,Private,369438,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,30,United-States,1
27,Private,102142,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,0
19,Local-gov,259169,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,0
50,Private,69345,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1902,44,United-States,1
31,Private,386299,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
45,Self-emp-not-inc,285570,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,80,United-States,0
31,,186369,9th,5,Divorced,,Unmarried,White,Female,0,0,40,United-States,0
42,Private,99203,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,3325,0,40,United-States,0
56,Private,140136,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,35,United-States,1
24,Private,224059,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
38,Private,216319,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,China,1
20,Self-emp-not-inc,115085,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0
52,Private,157413,1st-4th,2,Divorced,Farming-fishing,Not-in-family,Black,Male,0,0,40,United-States,0
48,Private,238567,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,0
38,Private,191137,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
51,State-gov,22211,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,37,United-States,1
38,Private,210438,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,1
58,State-gov,179089,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
36,Private,180278,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,0
37,Private,159383,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,0
32,Private,234195,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
67,Private,191437,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
17,Private,81010,11th,7,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,0
33,Private,123833,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
47,Private,213304,5th-6th,3,Separated,Other-service,Unmarried,White,Female,0,0,40,El-Salvador,0
34,State-gov,32174,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
17,Private,310885,7th-8th,4,Never-married,Other-service,Own-child,White,Male,0,0,36,Mexico,0
43,Private,223934,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
29,Private,120126,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1848,40,United-States,1
41,Self-emp-not-inc,54611,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,7298,0,50,United-States,1
33,Private,177083,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Canada,0
52,Private,173987,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
67,,106175,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0,0,20,United-States,1
42,Private,29702,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,United-States,1
23,Private,127876,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States,0
44,Private,222011,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,25,United-States,1
59,Private,157749,Bachelors,13,Widowed,Exec-managerial,Unmarried,White,Male,0,3004,40,United-States,1
31,Private,305619,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
56,Self-emp-not-inc,296991,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,England,1
37,Local-gov,347491,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
53,Self-emp-not-inc,163826,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
45,Private,353083,Some-college,10,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,0
48,Private,322183,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,35,United-States,1
45,Private,262678,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
29,Private,166220,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,50,United-States,0
29,Federal-gov,204796,10th,6,Separated,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
38,Private,415578,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
37,Private,420040,1st-4th,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico,0
23,Private,130959,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,12,United-States,0
19,Private,328167,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,0
34,Private,209900,10th,6,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,0
32,Private,137184,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
48,Private,224393,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
29,,108126,9th,5,Separated,,Own-child,White,Female,0,0,40,United-States,0
30,Private,509364,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,1
66,,128614,10th,6,Married-civ-spouse,,Husband,White,Male,0,0,15,United-States,1
51,Private,117700,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
33,Private,504725,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,3464,0,40,Mexico,0
45,Private,282172,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
45,Private,117310,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,1
47,Self-emp-inc,308241,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,60,United-States,1
37,Private,71592,HS-grad,9,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,17,United-States,0
32,Private,250583,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,38,United-States,0
42,Private,145441,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
74,Private,68326,Assoc-voc,11,Widowed,Priv-house-serv,Not-in-family,White,Female,0,0,40,United-States,0
48,Private,26502,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
51,Private,239284,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,0
67,Local-gov,197816,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,24,United-States,0
39,Private,560313,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,45,United-States,1
46,Private,139946,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,38,United-States,1
49,Private,28171,Masters,14,Married-civ-spouse,Protective-serv,Husband,White,Male,15024,0,78,United-States,1
43,Private,131650,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
47,Local-gov,127678,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,48,United-States,1
53,Private,110747,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
55,Self-emp-not-inc,150917,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,80,United-States,0
41,Private,197372,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,70,United-States,0
49,Self-emp-not-inc,43479,Doctorate,16,Divorced,Prof-specialty,Unmarried,White,Male,0,0,63,Canada,1
44,Private,651702,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,72,United-States,0
35,Private,228881,HS-grad,9,Never-married,Craft-repair,Other-relative,Other,Male,0,0,40,Puerto-Rico,0
19,Private,196857,11th,7,Never-married,Adm-clerical,Own-child,White,Female,594,0,15,United-States,0
22,Private,212803,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
21,Local-gov,166827,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,32,United-States,0
37,Private,269323,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,1
22,Private,268707,11th,7,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,0,0,42,United-States,0
34,Private,97933,9th,5,Separated,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,0
53,Self-emp-not-inc,385520,HS-grad,9,Widowed,Farming-fishing,Unmarried,White,Female,0,0,55,United-States,0
55,Self-emp-inc,150917,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,1
47,Private,202117,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,37,United-States,0
20,Private,175069,Some-college,10,Never-married,Sales,Own-child,White,Male,1055,0,30,United-States,0
18,Private,56613,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,20,United-States,0
47,Federal-gov,382532,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,40,United-States,1
49,State-gov,139268,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,70,United-States,1
26,Private,427744,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
33,Self-emp-not-inc,100580,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,10,United-States,0
30,Private,259058,Masters,14,Divorced,Prof-specialty,Unmarried,White,Male,0,1726,40,United-States,0
23,Private,197286,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
52,Private,191130,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,1
51,Self-emp-inc,110327,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,1
52,Private,220984,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
53,Private,337195,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
58,Private,105239,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States,0
66,Self-emp-not-inc,219220,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,2653,0,40,United-States,0
29,Private,175639,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,28,United-States,0
62,,119986,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0,0,60,United-States,1
35,Private,235485,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
41,Private,213351,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
46,Private,235646,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
41,Private,175883,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,0
65,Private,270935,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Male,0,0,55,United-States,0
51,Private,145409,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,,1
49,Private,140782,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2415,3,United-States,1
47,Private,235108,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States,1
25,Private,40255,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,80,United-States,0
48,Self-emp-not-inc,79001,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0
20,Private,88676,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
31,Private,243678,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
17,Private,173740,10th,6,Never-married,Sales,Not-in-family,White,Female,0,0,15,United-States,0
48,Private,370119,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United-States,1
25,Private,149486,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Male,0,0,40,United-States,0
33,Self-emp-not-inc,109509,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,0
75,Private,233362,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
21,Private,97295,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,45,United-States,0
29,Self-emp-not-inc,75435,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
41,Private,194537,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
41,Private,265671,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
57,Private,166107,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,40,,0
36,Self-emp-not-inc,125933,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,5178,0,50,United-States,1
43,Private,116379,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,60,China,1
37,Self-emp-inc,98360,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
24,Self-emp-not-inc,285580,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,25,United-States,0
46,Local-gov,66934,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,45,United-States,0
32,Self-emp-inc,196385,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
21,Private,123868,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
43,Private,207392,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,3103,0,70,United-States,1
21,Local-gov,185279,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States,0
47,Federal-gov,231797,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,55,United-States,1
33,Private,188403,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,44,United-States,0
34,Private,151693,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
20,,369907,Some-college,10,Never-married,,Own-child,White,Male,0,0,20,United-States,0
31,Self-emp-inc,112564,Some-college,10,Never-married,Sales,Other-relative,White,Male,0,0,40,,0
25,Private,222089,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,40,Thailand,0
72,Self-emp-not-inc,173864,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,2290,0,45,United-States,0
22,Private,213834,Assoc-voc,11,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,0
