suite,task,dataset,name,version,kind,target,rows,columns,symbolic_columns,missing_values,license,eligible,reason,data_url
99,167140,40670,dna,1,Supervised Classification,class,3186,181,181.0,0.0,public,False,column count outside laptop range; license needs review,https://openml.org/data/v1/download/4965245/dna.arff
99,167141,40701,churn,1,Supervised Classification,class,5000,21,5.0,0.0,public,False,license needs review,https://openml.org/data/v1/download/4965302/churn.arff
353,361234,44956,abalone,15,Supervised Regression,rings,4177,9,1.0,0.0,CC BY 4.0,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111820/abalone.arff
353,361235,44957,airfoil_self_noise,8,Supervised Regression,sound_pressure,1503,6,0.0,0.0,CC BY 4.0,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111821/airfoil_self_noise.arff
353,361236,44958,auction_verification,7,Supervised Regression,verification.time,2043,8,2.0,0.0,CC BY 4.0,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111822/auction_verification.arff
353,361237,44959,concrete_compressive_strength,7,Supervised Regression,strength,1030,9,0.0,0.0,CC BY 4.0,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111823/concrete_compressive_strength.arff
353,361241,44963,physiochemical_protein,7,Supervised Regression,RMSD,45730,10,0.0,0.0,CC BY 4.0,False,row count outside laptop range,https://openml.org/data/v1/download/22111827/physiochemical_protein.arff
353,361242,44964,superconductivity,7,Supervised Regression,critical_temp,21263,82,0.0,0.0,CC BY 4.0,False,column count outside laptop range,https://openml.org/data/v1/download/22111828/superconductivity.arff
353,361243,44965,geographical_origin_of_music,7,Supervised Regression,latitude,1059,117,0.0,0.0,CC BY 4.0,False,column count outside laptop range,https://openml.org/data/v1/download/22111829/geographical_origin_of_music.arff
353,361244,44966,solar_flare,7,Supervised Regression,c_class_flares,1066,11,8.0,0.0,CC BY 4.0,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111830/solar_flare.arff
353,361247,44969,naval_propulsion_plant,7,Supervised Regression,gt_compressor_decay_state_coefficient,11934,15,0.0,0.0,CC BY 4.0,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111833/naval_propulsion_plant.arff
353,361249,44971,white_wine,7,Supervised Regression,quality,4898,12,0.0,0.0,CC BY 4.0,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111835/white_wine.arff
353,361250,44972,red_wine,11,Supervised Regression,quality,1599,12,0.0,0.0,CC BY 4.0,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111836/red_wine.arff
353,361251,44973,grid_stability,7,Supervised Regression,stab,10000,13,0.0,0.0,CC BY 4.0,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111837/grid_stability.arff
353,361252,44974,video_transcoding,6,Supervised Regression,utime,68784,19,2.0,0.0,CC BY 4.0,False,row count outside laptop range,https://openml.org/data/v1/download/22111838/video_transcoding.arff
353,361253,44975,wave_energy,6,Supervised Regression,energy_total,72000,49,0.0,0.0,CC BY 4.0,False,row count outside laptop range,https://openml.org/data/v1/download/22111839/wave_energy.arff
353,361254,44976,sarcos,9,Supervised Regression,V22,48933,22,0.0,0.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/22111840/sarcos.arff
353,361255,44977,california_housing,7,Supervised Regression,medianHouseValue,20640,9,0.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/22111841/california_housing.arff
353,361256,44978,cpu_activity,6,Supervised Regression,usr,8192,22,0.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/22111842/cpu_activity.arff
353,361257,44979,diamonds,8,Supervised Regression,price,53940,10,3.0,0.0,Public,False,row count outside laptop range; license needs review,https://openml.org/data/v1/download/22111843/diamonds.arff
353,361258,44980,kin8nm,4,Supervised Regression,y,8192,9,0.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/22111844/kin8nm.arff
353,361259,44981,pumadyn32nh,2,Supervised Regression,thetadd6,8192,33,0.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/22111845/pumadyn32nh.arff
353,361260,44983,miami_housing,2,Supervised Regression,SALE_PRC,13932,16,0.0,0.0,CC0: Public Domain,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111847/miami_housing.arff
353,361261,44984,cps88wages,2,Supervised Regression,wage,28155,7,4.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/22111848/cps88wages.arff
353,361264,44987,socmob,4,Supervised Regression,counts_for_sons_current_occupation,1156,6,4.0,0.0,Non-commercial scholarly and teaching purposes.,False,license needs review,https://openml.org/data/v1/download/22111851/socmob.arff
353,361266,44989,kings_county,2,Supervised Regression,price,21613,22,4.0,0.0,CC 0: Public Domain,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111853/kings_county.arff
353,361267,44990,brazilian_houses,16,Supervised Regression,total,10692,10,4.0,0.0,CC 0: Public Domain,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111854/brazilian_houses.arff
353,361268,44992,fps_benchmark,2,Supervised Regression,FPS,24624,44,13.0,69696.0,CC BY,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111856/fps_benchmark.arff
353,361269,44993,health_insurance,3,Supervised Regression,whrswk,22272,12,7.0,0.0,GPL (>= 2),False,license needs review,https://openml.org/data/v1/download/22111857/health_insurance.arff
353,361272,45012,fifa,19,Supervised Regression,wage_eur,19178,29,1.0,0.0,CC0: Public Domain,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111894/fifa.arff
353,361616,41021,Moneyball,2,Supervised Regression,RS,1232,15,6.0,3600.0,Public,False,license needs review,https://openml.org/data/v1/download/18626236/Moneyball.arff
353,361617,44960,energy_efficiency,9,Supervised Regression,heating_load,768,9,0.0,0.0,CC BY 4.0,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111824/energy_efficiency.arff
353,361618,44962,forest_fires,9,Supervised Regression,area,517,13,0.0,0.0,CC BY 4.0,False,row count outside laptop range,https://openml.org/data/v1/download/22111826/forest_fires.arff
353,361619,44967,student_performance_por,8,Supervised Regression,G3,649,31,17.0,0.0,CC BY 4.0,False,row count outside laptop range,https://openml.org/data/v1/download/22111831/student_performance_por.arff
353,361621,44970,QSAR_fish_toxicity,7,Supervised Regression,LC50,908,7,0.0,0.0,CC BY 4.0,True,metadata candidate; raw review pending,https://openml.org/data/v1/download/22111834/QSAR_fish_toxicity.arff
353,361622,44994,cars,4,Supervised Regression,Price,804,18,0.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/22111858/cars.arff
353,361623,45402,space_ga,5,Supervised Regression,ln_votes_pop,3107,7,0.0,0.0,Public,False,license needs review,https://openml.org/data/v1/download/22116370/space_ga.arff
