row_id,sex,length,diameter,height,whole_weight,shucked_weight,cisvera_weight,shell_weight,rings
165,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14.0
166,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20.0
167,F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20.0
168,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14.0
173,F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8.0
176,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5.0
178,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4.0
179,M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11.0
185,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13.0
186,F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12.0
188,F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11.0
190,M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13.0
191,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12.0
194,F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10.0
195,M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12.0
196,F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11.0
197,M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16.0
198,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15.0
201,M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13.0
206,I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9.0
208,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13.0
210,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10.0
211,M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7.0
212,F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12.0
213,M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9.0
216,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8.0
217,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7.0
219,F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8.0
220,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9.0
221,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11.0
222,F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9.0
223,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11.0
224,I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10.0
226,F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7.0
227,I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7.0
228,F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11.0
231,M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14.0
232,M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22.0
233,I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7.0
234,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12.0
235,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9.0
238,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3.0
239,I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5.0
240,M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17.0
241,I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5.0
242,I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5.0
244,I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8.0
246,I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13.0
252,F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12.0
253,F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15.0
257,M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10.0
259,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13.0
260,F,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11.0
262,M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11.0
263,I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4.0
265,F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11.0
266,M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14.0
270,F,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,22.0
271,M,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16.0
272,M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,14.0
273,M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15.0
274,M,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13.0
275,M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22.0
276,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12.0
277,M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18.0
279,F,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,11.0
280,F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15.0
283,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14.0
284,M,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14.0
286,M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10.0
287,F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17.0
291,F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12.0
293,F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,19.0
294,M,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26.0
295,I,0.295,0.215,0.085,0.128,0.049,0.034,0.04,6.0
296,I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6.0
297,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4.0
298,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11.0
300,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9.0
301,F,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13.0
302,M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8.0
306,I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3.0
307,M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13.0
308,M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14.0
309,M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10.0
310,F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,21.0
312,M,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,19.0
313,F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23.0
314,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23.0
315,I,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,8.0
316,F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,14.0
317,M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10.0
318,F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18.0
320,I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,5.0
321,I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4.0
323,I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,5.0
324,M,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,7.0
327,M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12.0
328,M,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,8.0
330,M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12.0
331,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8.0
332,I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5.0
333,I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,5.0
335,M,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,11.0
336,M,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14.0
337,M,0.59,0.45,0.185,1.283,0.473,0.276,0.425,16.0
338,M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13.0
340,M,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14.0
341,F,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,14.0
342,M,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12.0
345,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13.0
346,F,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9.0
354,M,0.635,0.515,0.17,1.275,0.509,0.286,0.34,16.0
355,M,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,20.0
356,M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13.0
357,F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18.0
360,M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18.0
362,F,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20.0
364,F,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12.0
366,M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11.0
367,F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10.0
368,M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12.0
369,F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17.0
371,F,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,16.0
372,F,0.68,0.58,0.2,1.787,0.585,0.453,0.6,19.0
373,F,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14.0
375,F,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20.0
376,M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11.0
378,M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15.0
379,F,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,12.0
388,M,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14.0
390,I,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10.0
391,M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10.0
393,I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9.0
394,I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6.0
395,I,0.39,0.31,0.1,0.302,0.116,0.064,0.115,11.0
397,M,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8.0
398,M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12.0
399,M,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,11.0
400,F,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9.0
401,M,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9.0
403,F,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10.0
407,M,0.59,0.485,0.12,0.911,0.39,0.182,0.29,16.0
408,M,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11.0
409,M,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8.0
410,M,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15.0
411,M,0.585,0.475,0.12,0.945,0.41,0.2115,0.28,14.0
412,F,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11.0
413,M,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12.0
414,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14.0
416,F,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20.0
417,M,0.63,0.515,0.165,1.352,0.488,0.349,0.45,20.0
418,F,0.63,0.5,0.155,1.005,0.367,0.199,0.36,16.0
419,M,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13.0
420,F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14.0
421,I,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,11.0
422,F,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13.0
423,I,0.29,0.225,0.07,0.101,0.036,0.0235,0.035,8.0
427,M,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19.0
428,F,0.56,0.455,0.125,0.943,0.344,0.129,0.375,21.0
429,F,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,18.0
430,F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18.0
431,M,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20.0
432,M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18.0
433,M,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,22.0
435,M,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,11.0
436,I,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,7.0
437,I,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14.0
438,M,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9.0
440,I,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10.0
442,F,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19.0
443,I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10.0
444,F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10.0
445,F,0.56,0.455,0.19,0.714,0.283,0.129,0.275,9.0
447,M,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,16.0
448,M,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12.0
449,F,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18.0
451,F,0.675,0.535,0.16,1.41,0.592,0.3175,0.42,16.0
455,M,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11.0
456,F,0.64,0.54,0.175,1.221,0.51,0.259,0.39,15.0
459,F,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11.0
462,I,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,6.0
463,I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5.0
464,I,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,6.0
465,I,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,5.0
466,F,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,12.0
467,M,0.655,0.53,0.195,1.388,0.567,0.2735,0.41,13.0
470,F,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,9.0
471,F,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10.0
472,I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9.0
475,M,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,17.0
476,F,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9.0
477,M,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,17.0
478,M,0.735,0.59,0.225,1.756,0.637,0.3405,0.58,21.0
480,F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29.0
482,M,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,15.0
483,F,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19.0
485,F,0.585,0.465,0.14,0.908,0.381,0.1615,0.315,13.0
486,M,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,11.0
487,F,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,15.0
488,M,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11.0
489,F,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,14.0
490,M,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14.0
494,M,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,17.0
495,F,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,15.0
498,F,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,11.0
499,M,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,10.0
500,F,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,12.0
501,F,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23.0
505,M,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15.0
508,M,0.56,0.435,0.18,0.889,0.36,0.204,0.25,11.0
510,I,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,10.0
512,F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10.0
513,M,0.31,0.22,0.085,0.146,0.061,0.0365,0.045,6.0
514,F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5.0
515,M,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,6.0
517,M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5.0
518,M,0.325,0.23,0.09,0.147,0.06,0.034,0.045,4.0
519,F,0.345,0.25,0.09,0.203,0.078,0.059,0.055,6.0
520,M,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3.0
522,I,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,9.0
524,M,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,4.0
525,M,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4.0
528,F,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12.0
530,I,0.53,0.42,0.185,0.752,0.299,0.156,0.205,20.0
534,I,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,10.0
535,I,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,11.0
536,I,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,11.0
537,M,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7.0
539,F,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,10.0
540,F,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15.0
541,F,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,11.0
542,M,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15.0
544,F,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10.0
545,M,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11.0
546,M,0.255,0.195,0.065,0.08,0.0315,0.018,0.027,8.0
549,I,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,11.0
551,I,0.615,0.49,0.155,0.9885,0.4145,0.195,0.345,13.0
553,I,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,13.0
554,I,0.485,0.39,0.125,0.591,0.287,0.141,0.12,9.0
555,I,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,10.0
556,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14.0
559,I,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,13.0
560,F,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8.0
563,F,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,11.0
564,F,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14.0
565,M,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10.0
566,I,0.485,0.355,0.13,0.581,0.245,0.132,0.168,12.0
571,I,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,14.0
574,I,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10.0
575,F,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,11.0
576,I,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10.0
578,I,0.58,0.445,0.15,0.8865,0.383,0.209,0.255,11.0
579,F,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17.0
581,I,0.55,0.425,0.15,0.806,0.376,0.171,0.245,14.0
582,F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19.0
584,F,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11.0
585,I,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11.0
586,I,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,10.0
587,F,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,13.0
588,M,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,14.0
591,F,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9.0
592,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18.0
593,F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19.0
596,F,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,9.0
597,I,0.605,0.47,0.14,0.939,0.3385,0.201,0.32,13.0
598,I,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,12.0
599,F,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16.0
601,F,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,10.0
602,F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13.0
603,I,0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,11.0
607,I,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10.0
608,M,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10.0
609,M,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12.0
614,I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15.0
