game,agent_mark,winner,result,plies,final_board
65,O,X,loss,9,XXOOXXOOX
66,X,X,win,5,.XO.X.OX.
67,O,O,win,8,XOX.XXOOO
68,X,draw,draw,9,XOXXOOOXX
69,O,O,win,8,X.XOXXOOO
70,X,X,win,5,X..XO.XO.
71,O,O,win,8,OXX.OXXOO
72,X,X,win,7,XX.OX.OOX
73,O,X,loss,9,OOXOXOXXX
74,X,X,win,7,XXXXO..OO
75,O,X,loss,9,XOXOOXOXX
76,X,X,win,9,OXOXXXOOX
77,O,X,loss,9,XOOOXXOXX
78,X,X,win,9,XXXXOOOOX
79,O,draw,draw,9,XOXXOOOXX
80,X,O,loss,6,XXOX.O..O
81,O,X,loss,5,....OOXXX
82,X,draw,draw,9,OXXXOOXOX
83,O,X,loss,5,O....OXXX
84,X,X,win,9,XOOXOXXXO
85,O,X,loss,5,X..XOOX..
86,X,O,loss,8,XOXOOO.XX
87,O,O,win,8,X.OXOXOOX
88,X,X,win,5,.OXO.X..X
89,O,X,loss,7,XOXX..XOO
90,X,O,loss,8,OOXXO.XXO
91,O,X,loss,9,OXXOXOXOX
92,X,O,loss,8,OOOX.XOXX
93,O,draw,draw,9,OXXXOOOXX
94,X,O,loss,8,OXOX.OXXO
95,O,X,loss,9,XXXOXOXOO
96,X,X,win,7,X.O.OOXXX
97,O,X,loss,7,XOO.XOX.X
98,X,X,win,7,OXO..OXXX
99,O,draw,draw,9,XOXXXOOXO
100,X,draw,draw,9,OXXXOOXOX
101,O,X,loss,7,O..XXXOOX
102,X,O,loss,8,XOO.XOXXO
103,O,O,win,8,XXOOOOXX.
104,X,X,win,5,..XOX.X.O
105,O,X,loss,5,.X..X.OXO
106,X,O,loss,8,XX.XXOOOO
107,O,X,loss,9,XOOOXOXXX
108,X,X,win,9,XOOXXOXOX
109,O,X,loss,5,...XXX.OO
110,X,X,win,7,OXX.XO.XO
111,O,X,loss,7,XXX.OXO.O
112,X,X,win,7,O..XXXOOX
113,O,O,win,8,.XOXOXOXO
114,X,X,win,5,OXO.X..X.
115,O,draw,draw,9,XOOOXXXXO
116,X,X,win,7,OXX.XOXO.
117,O,X,loss,9,XOXXXOOOX
118,X,O,loss,8,XXO.OOOXX
119,O,X,loss,9,OXOOXXXXO
120,X,X,win,7,OO..OXXXX
121,O,O,win,8,XOX.XXOOO
122,X,X,win,7,XXXO.X.OO
123,O,O,win,6,.XO..OXXO
124,X,X,win,9,OXOXXXOXO
125,O,X,loss,7,.OXXOXO.X
126,X,O,loss,8,X.OOXOXXO
127,O,X,loss,9,XXXXOOOXO
128,X,O,loss,8,XOOXOX.OX
129,O,O,win,8,XOXXO.OOX
130,X,X,win,7,.O.XXXOOX
131,O,X,loss,7,OXO.XOXX.
132,X,O,loss,8,XXOOO.OXX
133,O,X,loss,7,XOO.XO.XX
134,X,X,win,5,...XXXO.O
135,O,X,loss,5,.XO.X.OX.
136,X,X,win,7,OXOXXX..O
137,O,X,loss,7,OOXO.X.XX
138,X,X,win,9,XXOXOXXOO
139,O,X,loss,9,OXOOXXXXO
140,X,X,win,5,XXX..O.O.
141,O,O,win,8,O.OXOXOXX
142,X,X,win,9,OXXXXOXOO
143,O,O,win,6,.XX..XOOO
144,X,O,loss,8,O.OOXXOXX
145,O,O,win,8,XXOOOXOX.
146,X,O,loss,8,OOXXO.XXO
147,O,X,loss,9,XXOXOXXOO
148,X,X,win,5,...OO.XXX
149,O,O,win,6,OX.O.XOX.
150,X,X,win,7,OOXOX.X.X
151,O,X,loss,9,XOXXXOOOX
152,X,X,win,7,XOO.X.XOX
153,O,X,loss,7,OXOXX..XO
154,X,X,win,5,XOO.X...X
155,O,X,loss,9,OXOXXXXOO
156,X,draw,draw,9,XOOOXXXXO
157,O,O,win,6,OOO..XXX.
158,X,O,loss,6,.XOXO.OX.
159,O,O,win,6,X.XX..OOO
160,X,X,win,9,XXOXOXXOO
161,O,X,loss,9,OXXOOXXOX
162,X,O,loss,6,X.O.XOX.O
163,O,X,loss,7,OOX.XXO.X
164,X,O,loss,8,XO.OOXXOX
165,O,X,loss,7,.XXOXOXO.
166,X,O,loss,6,OX.O.XO.X
167,O,X,loss,7,OXX..XOOX
168,X,O,loss,8,OXOXOXOX.
169,O,X,loss,9,XOXOXXOOX
170,X,O,loss,6,.XX.X.OOO
171,O,X,loss,5,XXX..OO..
172,X,O,loss,6,X.O.XO.XO
173,O,X,loss,7,.OXOX.XXO
174,X,X,win,7,OOX.XXX.O
175,O,X,loss,7,XOO.O.XXX
176,X,X,win,9,XOXOXXXOO
177,O,X,loss,9,XXXOOXOXO
178,X,X,win,7,X.OXOXX.O
179,O,X,loss,7,XOOXX.XO.
180,X,O,loss,8,OXOXOXOX.
181,O,draw,draw,9,XOXOOXXXO
182,X,X,win,9,OXOXXXOXO
183,O,X,loss,7,OXO.X.XXO
184,X,X,win,7,XOOXO.X.X
185,O,X,loss,7,.OXOXOX.X
186,X,X,win,9,OOXXXOXOX
187,O,O,win,8,OXOXO.OXX
188,X,O,loss,6,X.XOOO.X.
189,O,O,win,8,OXXOXOO.X
190,X,O,loss,8,OXX.XXOOO
191,O,X,loss,9,OXOXXXOXO
192,X,O,loss,8,OX.OOXOXX
193,O,draw,draw,9,OXXXXOOOX
194,X,X,win,7,.XXOXO.XO
195,O,X,loss,9,OXOXXXOOX
196,X,O,loss,8,OXXOOXOX.
197,O,X,loss,7,OXO..OXXX
198,X,X,win,9,XOXOXOOXX
199,O,O,win,8,OXXX.XOOO
200,X,X,win,7,XOOX..XOX
201,O,X,loss,9,XOXXXOOOX
202,X,X,win,7,OXXOX..XO
203,O,O,win,8,OXXXX.OOO
204,X,O,loss,6,X.OXO.OX.
205,O,O,win,6,X.X..XOOO
206,X,X,win,9,OOXXXXOXO
207,O,O,win,6,.OXXOX.O.
208,X,draw,draw,9,XOOOXXXXO
209,O,O,win,6,OX..OXX.O
210,X,X,win,9,XOOOXXXOX
211,O,X,loss,7,XXX.XOOO.
212,X,X,win,5,X.O.XO..X
213,O,draw,draw,9,XXOOXXXOO
214,X,draw,draw,9,XOXXOXOXO
215,O,O,win,8,OOOXX.XOX
216,X,O,loss,8,XXOOO.OXX
217,O,draw,draw,9,XOXOOXXXO
218,X,X,win,7,XOXOX.X.O
219,O,X,loss,9,XOXXOOXXO
220,X,O,loss,8,.XXOOOXOX
221,O,draw,draw,9,OXOXOXXOX
222,X,X,win,9,XXXXOOXOO
223,O,X,loss,7,XOO.X.OXX
224,X,X,win,5,X..X.OXO.
225,O,X,loss,5,O..XXXO..
226,X,O,loss,8,XOXXOO.OX
227,O,O,win,8,O.OXOXXXO
228,X,X,win,7,O.XOXOXX.
229,O,O,win,6,OXX.O..XO
230,X,draw,draw,9,OOXXXOOXX
231,O,O,win,8,X.OXOOOXX
232,X,draw,draw,9,OXOOXXXOX
233,O,O,win,8,O.OXOXOXX
234,X,X,win,9,XXXXOOXOO
235,O,X,loss,9,OXXOXOXOX
236,X,X,win,7,X.XXOOXO.
237,O,O,win,8,XXO.OOXXO
238,X,X,win,5,XO.XO.X..
239,O,X,loss,9,OXXXOXOOX
240,X,X,win,7,XOOXO.X.X
241,O,X,loss,9,OXXOXOXOX
242,X,X,win,7,..OXXXXOO
243,O,X,loss,9,OXXOXOXXO
244,X,X,win,5,X..OX..OX
245,O,O,win,8,.XXXXOOOO
246,X,X,win,7,XOX.XOO.X
247,O,X,loss,9,XOXOOXOXX
248,X,X,win,5,.OO...XXX
249,O,draw,draw,9,XOOOXXXXO
250,X,X,win,9,XOOXXXOXO
251,O,X,loss,7,OXO.XX.XO
252,X,X,win,7,O.XOXOX.X
253,O,X,loss,7,X.O.OOXXX
254,X,draw,draw,9,OXOXXOXOX
255,O,O,win,6,X.OXO.O.X
256,X,draw,draw,9,XXOOOXXXO
257,O,X,loss,7,XO.OXO.XX
258,X,X,win,7,O..OOXXXX
259,O,X,loss,7,.OXXXOXO.
260,X,X,win,7,XXXXOO..O
261,O,O,win,8,.OOXOXXOX
262,X,O,loss,8,O.XXOXXOO
263,O,X,loss,9,XOXXXOOOX
264,X,O,loss,8,OOXXO.XOX
265,O,X,loss,7,XXXOO..XO
266,X,X,win,7,XXXX.O.OO
267,O,draw,draw,9,OXOOXXXOX
268,X,O,loss,6,X.X.X.OOO
269,O,O,win,6,..OX.OXXO
270,X,draw,draw,9,OOXXXOOXX
271,O,X,loss,9,XOXOOXOXX
272,X,X,win,9,XXOXOXXOO
273,O,O,win,8,OOOXOX.XX
274,X,O,loss,8,OXXOOOXX.
275,O,O,win,8,O.XXOXOXO
276,X,X,win,7,X.XO.XOOX
277,O,X,loss,9,OXXXXOXOO
278,X,O,loss,8,.XXXXOOOO
279,O,X,loss,9,OXXOOXXOX
280,X,X,win,9,OXOXOOXXX
281,O,X,loss,9,XOOXXXOOX
282,X,X,win,7,OXO.O.XXX
283,O,O,win,8,XOXOOOXX.
284,X,O,loss,8,X.XOOOXOX
285,O,O,win,8,XXOXXOO.O
286,X,X,win,9,XXXOOXOXO
287,O,O,win,8,XOOXOX.OX
288,X,O,loss,8,OXXO.XOXO
289,O,X,loss,9,XXXOOXXOO
290,X,draw,draw,9,OXOXOXXOX
291,O,X,loss,9,XXXOOXOXO
292,X,O,loss,8,X.XOOOOXX
293,O,O,win,6,OXX.O.X.O
294,X,X,win,7,.OOXXXO.X
295,O,X,loss,9,XOXXOOXXO
296,X,O,loss,6,OXXO..O.X
297,O,draw,draw,9,OXXXXOOOX
298,X,X,win,5,O.X.X.XO.
299,O,O,win,6,OOO.X..XX
300,X,X,win,7,.XOXXXO.O
301,O,X,loss,9,XXOXOOXOX
302,X,X,win,9,XOOXXOOXX
303,O,draw,draw,9,OXOXOXXOX
304,X,X,win,9,XOOOXXOXX
305,O,X,loss,7,.OOXXXOX.
306,X,O,loss,8,O.OXOXXXO
307,O,O,win,8,XXO.OOOXX
308,X,O,loss,8,OXXOXXOO.
309,O,X,loss,7,OXO.XOXX.
310,X,O,loss,8,XX.OOOXXO
311,O,X,loss,9,XOOOOXXXX
312,X,X,win,7,X.XOXO.OX
313,O,draw,draw,9,OXXXXOOOX
314,X,X,win,7,XXXXOOO..
315,O,X,loss,9,XOXOXXXOO
316,X,X,win,7,OX.O.OXXX
317,O,X,loss,7,.XOOO.XXX
318,X,X,win,7,.XX.XOOXO
319,O,X,loss,5,.OX..XO.X
320,X,X,win,7,X.X.XOOOX
321,O,X,loss,7,OO.XXX.OX
322,X,X,win,5,.XO.X.OX.
323,O,X,loss,7,XOXOX.O.X
324,X,X,win,7,XOOX..XXO
325,O,O,win,8,XXOXO.OXO
326,X,draw,draw,9,OXOOXXXOX
327,O,X,loss,7,X.OXXXO.O
328,X,O,loss,8,OOOOXXXX.
329,O,X,loss,9,OOXXXOXXO
330,X,X,win,7,XXOX..XOO
331,O,draw,draw,9,OOXXXOOXX
332,X,O,loss,8,.XOXXOXOO
333,O,X,loss,7,.XOOX.OXX
334,X,draw,draw,9,OXOXXOXOX
335,O,draw,draw,9,XOXXXOOXO
336,X,O,loss,8,X.XOOOXXO
337,O,X,loss,7,XXXOOX..O
338,X,X,win,7,OX..XOOXX
339,O,O,win,8,OXXOOX.XO
340,X,X,win,5,..O..OXXX
341,O,draw,draw,9,OXOXXOXOX
342,X,X,win,9,XXXOXOOOX
343,O,X,loss,9,XXXXOOOXO
344,X,X,win,9,OOXXOXOXX
345,O,O,win,8,XXOOOXO.X
346,X,X,win,7,.OOO.XXXX
347,O,X,loss,7,XO.XX.XOO
348,X,O,loss,6,OXXO..OX.
349,O,X,loss,5,X..X.OX.O
350,X,X,win,5,O.OXXX...
351,O,X,loss,7,.OXXOXO.X
352,X,draw,draw,9,XOXXOXOXO
353,O,X,loss,7,XO.XXOXO.
354,X,X,win,9,XXXOOXXOO
355,O,draw,draw,9,XXOOOXXOX
356,X,X,win,9,XXOXXOOOX
357,O,X,loss,9,OXOXXOOXX
358,X,draw,draw,9,XOOOXXXXO
359,O,X,loss,7,O.X.XXXOO
360,X,O,loss,6,..XX.XOOO
361,O,X,loss,7,OXO..OXXX
362,X,X,win,7,XXXOO.X.O
363,O,draw,draw,9,XOXXOOOXX
364,X,X,win,7,.XOOX.OXX
365,O,O,win,8,OXOXOX.XO
366,X,X,win,9,OXOOXOXXX
367,O,draw,draw,9,XOXOXXOXO
368,X,X,win,5,XOOX..X..
369,O,O,win,6,OX.XO.X.O
370,X,O,loss,8,OXXOOO.XX
371,O,X,loss,5,..OXXX.O.
372,X,O,loss,8,OXX.XXOOO
373,O,X,loss,7,XO.XOOXX.
374,X,X,win,7,XX.XOOXO.
375,O,X,loss,7,XXOOX.O.X
376,X,O,loss,6,O.XXO.X.O
377,O,X,loss,9,OXOOXXXXO
378,X,X,win,9,XOOOXXXOX
379,O,O,win,6,O.XO..OXX
380,X,X,win,7,.XO.XXOXO
381,O,X,loss,7,XOXX..XOO
382,X,X,win,9,XOOOXXXOX
383,O,X,loss,5,X.OOX...X
384,X,X,win,7,OOX.XXX.O
385,O,O,win,8,OO.XOXXOX
386,X,X,win,7,XXXO.XOO.
387,O,X,loss,5,X...XO.OX
388,X,X,win,7,OOX.X.XOX
389,O,O,win,8,OXX.XXOOO
390,X,X,win,7,XOOX.OXX.
391,O,draw,draw,9,XOXOXXOXO
392,X,O,loss,8,.XOXOOXXO
393,O,X,loss,7,X.XXO.XOO
394,X,O,loss,8,XOXXOO.OX
395,O,O,win,6,OX.OX.O.X
396,X,X,win,5,O.X.X.XO.
397,O,X,loss,5,OOX.X.X..
398,X,X,win,5,..XO.XO.X
399,O,X,loss,5,X..OX.O.X
400,X,O,loss,8,XOXOOXXO.
401,O,X,loss,5,.XO.XO.X.
402,X,X,win,7,OOXXOX..X
403,O,O,win,6,X.O.XO.XO
404,X,draw,draw,9,XOXOOXXXO
405,O,O,win,8,XOOXOX.OX
406,X,X,win,9,XXXXOOXOO
407,O,O,win,8,XOO.XOXXO
408,X,X,win,5,XO.X.OX..
409,O,O,win,6,..OXOXO.X
410,X,X,win,9,XXOXXOOOX
411,O,X,loss,9,XXXXOOOOX
412,X,O,loss,8,X.OOOXOXX
413,O,draw,draw,9,XOXOXXOXO
414,X,O,loss,6,O.XOX.O.X
415,O,X,loss,7,XO.XXX.OO
416,X,X,win,9,XOXOXXXOO
417,O,X,loss,7,..XOOXOXX
418,X,X,win,7,XO..XXOOX
419,O,X,loss,9,XOXOXOOXX
420,X,X,win,7,.OOXO.XXX
421,O,X,loss,7,.XOXXOOX.
422,X,draw,draw,9,OXXXXOOOX
423,O,X,loss,7,OO.XXXXO.
424,X,X,win,9,XXOOXXOXO
425,O,X,loss,7,O..OXOXXX
426,X,O,loss,8,OOOXXO.XX
427,O,X,loss,9,OOXOXXXXO
428,X,O,loss,8,.XOOOXOXX
429,O,draw,draw,9,OXOOXXXOX
430,X,X,win,7,XOOXXXO..
431,O,O,win,8,OOO.XXXXO
432,X,X,win,9,XXOOXXOOX
433,O,X,loss,5,.X..X.OXO
434,X,X,win,7,XO.OXOX.X
435,O,X,loss,7,OXO.X.OXX
436,X,X,win,7,OO.O.XXXX
437,O,X,loss,7,XXX.XOOO.
438,X,O,loss,8,OXXXOO.XO
439,O,X,loss,7,XO.XXOO.X
440,X,X,win,5,..O.O.XXX
441,O,X,loss,7,XX.OXOOX.
442,X,X,win,7,.OXXXXO.O
443,O,X,loss,7,XXXOO..XO
444,X,X,win,9,XOXOXXOOX
445,O,X,loss,7,XXOX.OXO.
446,X,O,loss,8,OOX.OXXXO
447,O,O,win,8,OX.OOXXXO
448,X,O,loss,6,O..OX.OXX
449,O,X,loss,5,.OXO.X..X
450,X,X,win,5,..X.XOXO.
451,O,O,win,6,OOO.XXX..
452,X,X,win,7,XXXO.O.XO
453,O,X,loss,7,O.XOXX.OX
454,X,X,win,7,OXO.XXOX.
455,O,draw,draw,9,XOXXXOOXO
456,X,O,loss,6,.XXOOO.X.
457,O,O,win,6,.XX..XOOO
458,X,X,win,7,OXOXX.OX.
459,O,X,loss,9,OXOXXXOOX
460,X,X,win,9,OXXOXXXOO
461,O,O,win,6,..OXXO.XO
462,X,O,loss,8,.XXXXOOOO
463,O,X,loss,5,.X.OX..XO
464,X,draw,draw,9,XXOOOXXXO
465,O,X,loss,5,XXX..O.O.
466,X,X,win,9,OXOOXOXXX
467,O,X,loss,9,XOXXOOXXO
468,X,X,win,7,XXXOXO.O.
469,O,X,loss,7,OXO.XO.XX
470,X,O,loss,8,X.OXOXOXO
471,O,O,win,8,OOOXXO.XX
472,X,draw,draw,9,XOXXXOOXO
473,O,O,win,6,OXXO..O.X
474,X,X,win,9,XOOOOXXXX
475,O,X,loss,5,....OOXXX
476,X,O,loss,6,X.O.OXOX.
477,O,O,win,8,OO.XOXXXO
478,X,O,loss,8,XX.OXXOOO
479,O,O,win,8,OOOX.XOXX
480,X,O,loss,8,OOOXX.XOX
481,O,X,loss,7,O.XOXOX.X
482,X,X,win,7,XOOX.OX.X
483,O,O,win,8,XXOOOOX.X
484,X,X,win,7,O.OOX.XXX
485,O,X,loss,9,OXXXOXOOX
486,X,O,loss,8,OXXOO.OXX
487,O,O,win,8,O.OXOXOXX
488,X,X,win,5,..X.X.XOO
489,O,X,loss,7,.OXOXXX.O
490,X,O,loss,8,OXOXXOX.O
491,O,O,win,8,XX.OXXOOO
492,X,X,win,7,OOX.XOX.X
493,O,O,win,6,OXX.O.X.O
494,X,X,win,7,XXX.O.OXO
495,O,X,loss,7,XO.XOOX.X
496,X,O,loss,8,OOXOX.OXX
497,O,O,win,8,OXXXX.OOO
498,X,draw,draw,9,XXOOXXXOO
499,O,X,loss,9,XOXOXOXXO
