game,ply,board,player,action,return,before,after
6,6,O..OX.X.X,O,1,-1,0.0,-0.2
6,7,OO.OX.X.X,X,2,1,0.0,0.2
7,1,.........,X,8,0,0.46240000000000003,0.36992
7,2,........X,O,5,0,0.0,0.0
7,3,.....O..X,X,3,0,0.0,0.0
7,4,...X.O..X,O,4,0,0.0,0.0
7,5,...XOO..X,X,6,0,0.0,0.0
7,6,...XOOX.X,O,7,0,0.0,0.0
7,7,...XOOXOX,X,1,0,0.0,0.0
7,8,.X.XOOXOX,O,0,0,0.0,0.0
7,9,OX.XOOXOX,X,2,0,0.0,0.0
8,1,.........,X,8,0,0.36992,0.29593600000000003
8,2,........X,O,7,0,0.0,0.0
8,3,.......OX,X,3,0,0.0,0.0
8,4,...X...OX,O,2,0,0.0,0.0
8,5,..OX...OX,X,1,0,0.0,0.0
8,6,.XOX...OX,O,4,0,0.0,0.0
8,7,.XOXO..OX,X,5,0,0.0,0.0
8,8,.XOXOX.OX,O,0,0,0.0,0.0
8,9,OXOXOX.OX,X,6,0,0.0,0.0
9,1,.........,X,8,1,0.29593600000000003,0.43674880000000005
9,2,........X,O,7,-1,0.0,-0.2
9,3,.......OX,X,4,1,0.0,0.2
9,4,....X..OX,O,5,-1,0.0,-0.2
9,5,....XO.OX,X,3,1,0.0,0.2
9,6,...XXO.OX,O,1,-1,0.0,-0.2
9,7,.O.XXO.OX,X,2,1,0.0,0.2
9,8,.OXXXO.OX,O,6,-1,0.0,-0.2
9,9,.OXXXOOOX,X,0,1,0.0,0.2
10,1,.........,X,8,1,0.43674880000000005,0.5493990400000001
10,2,........X,O,5,-1,0.0,-0.2
10,3,.....O..X,X,2,1,0.0,0.2
10,4,..X..O..X,O,7,-1,0.0,-0.2
10,5,..X..O.OX,X,0,1,0.0,0.2
10,6,X.X..O.OX,O,4,-1,0.0,-0.2
10,7,X.X.OO.OX,X,1,1,0.0,0.2
11,1,.........,X,8,-1,0.5493990400000001,0.23951923200000003
11,2,........X,O,1,1,0.0,0.2
11,3,.O......X,X,0,-1,0.0,-0.2
11,4,XO......X,O,2,1,0.0,0.2
11,5,XOO.....X,X,3,-1,0.0,-0.2
11,6,XOOX....X,O,4,1,0.0,0.2
11,7,XOOXO...X,X,7,-1,0.0,-0.2
11,8,XOOXO..XX,O,6,1,0.0,0.2
12,1,.........,X,8,1,0.23951923200000003,0.39161538560000003
12,2,........X,O,1,-1,0.2,-0.03999999999999998
12,3,.O......X,X,4,1,0.0,0.2
12,4,.O..X...X,O,7,-1,0.0,-0.2
12,5,.O..X..OX,X,0,1,0.0,0.2
13,1,.........,X,8,-1,0.39161538560000003,0.11329230848000005
13,2,........X,O,2,1,0.0,0.2
13,3,..O.....X,X,5,-1,0.0,-0.2
13,4,..O..X..X,O,4,1,0.0,0.2
13,5,..O.OX..X,X,6,-1,0.0,-0.2
13,6,..O.OXX.X,O,1,1,0.0,0.2
13,7,.OO.OXX.X,X,3,-1,0.0,-0.2
13,8,.OOXOXX.X,O,0,1,0.0,0.2
14,1,.........,X,8,1,0.11329230848000005,0.29063384678400006
14,2,........X,O,2,-1,0.2,-0.03999999999999998
14,3,..O.....X,X,0,1,0.0,0.2
14,4,X.O.....X,O,6,-1,0.0,-0.2
14,5,X.O...O.X,X,7,1,0.0,0.2
14,6,X.O...OXX,O,3,-1,0.0,-0.2
14,7,X.OO..OXX,X,1,1,0.0,0.2
14,8,XXOO..OXX,O,5,-1,0.0,-0.2
14,9,XXOO.OOXX,X,4,1,0.0,0.2
15,1,.........,X,8,1,0.29063384678400006,0.43250707742720007
15,2,........X,O,3,-1,-0.2,-0.36000000000000004
15,3,...O....X,X,6,1,0.2,0.36000000000000004
15,4,...O..X.X,O,1,-1,0.0,-0.2
15,5,.O.O..X.X,X,4,1,0.0,0.2
15,6,.O.OX.X.X,O,7,-1,0.0,-0.2
15,7,.O.OX.XOX,X,0,1,0.0,0.2
16,1,.........,X,8,1,0.43250707742720007,0.54600566194176
16,2,........X,O,6,-1,0.0,-0.2
16,3,......O.X,X,5,1,0.0,0.2
16,4,.....XO.X,O,3,-1,0.0,-0.2
16,5,...O.XO.X,X,0,1,0.0,0.2
16,6,X..O.XO.X,O,7,-1,0.0,-0.2
16,7,X..O.XOOX,X,1,1,0.0,0.2
16,8,XX.O.XOOX,O,2,-1,0.0,-0.2
16,9,XXOO.XOOX,X,4,1,0.0,0.2
17,1,.........,X,8,-1,0.54600566194176,0.23680452955340797
17,2,........X,O,2,1,-0.03999999999999998,0.16800000000000004
17,3,..O.....X,X,0,-1,0.2,-0.03999999999999998
17,4,X.O.....X,O,7,1,0.0,0.2
17,5,X.O....OX,X,5,-1,0.0,-0.2
17,6,X.O..X.OX,O,4,1,0.0,0.2
17,7,X.O.OX.OX,X,1,-1,0.0,-0.2
17,8,XXO.OX.OX,O,6,1,0.0,0.2
18,1,.........,X,8,1,0.23680452955340797,0.3894436236427264
18,2,........X,O,2,-1,0.16800000000000004,-0.06559999999999999
18,3,..O.....X,X,3,1,0.0,0.2
18,4,..OX....X,O,0,-1,0.0,-0.2
18,5,O.OX....X,X,7,1,0.0,0.2
18,6,O.OX...XX,O,5,-1,0.0,-0.2
18,7,O.OX.O.XX,X,4,1,0.0,0.2
18,8,O.OXXO.XX,O,6,-1,0.0,-0.2
18,9,O.OXXOOXX,X,1,1,0.0,0.2
19,1,.........,X,8,0,0.3894436236427264,0.3115548989141811
19,2,........X,O,1,0,-0.03999999999999998,-0.03199999999999999
19,3,.O......X,X,7,0,0.0,0.0
19,4,.O.....XX,O,6,0,0.0,0.0
19,5,.O....OXX,X,2,0,0.0,0.0
19,6,.OX...OXX,O,5,0,0.0,0.0
19,7,.OX..OOXX,X,4,0,0.0,0.0
19,8,.OX.XOOXX,O,0,0,0.0,0.0
19,9,OOX.XOOXX,X,3,0,0.0,0.0
20,1,.........,X,8,1,0.3115548989141811,0.44924391913134487
20,2,........X,O,6,-1,-0.2,-0.36000000000000004
20,3,......O.X,X,5,1,0.2,0.36000000000000004
20,4,.....XO.X,O,4,-1,0.0,-0.2
20,5,....OXO.X,X,1,1,0.0,0.2
20,6,.X..OXO.X,O,7,-1,0.0,-0.2
20,7,.X..OXOOX,X,0,1,0.0,0.2
20,8,XX..OXOOX,O,3,-1,0.0,-0.2
20,9,XX.OOXOOX,X,2,1,0.0,0.2
21,1,.........,X,2,1,0.0,0.2
21,2,..X......,O,5,-1,0.0,-0.2
21,3,..X..O...,X,1,1,0.0,0.2
21,4,.XX..O...,O,3,-1,0.0,-0.2
21,5,.XXO.O...,X,0,1,0.0,0.2
22,1,.........,X,8,1,0.44924391913134487,0.5593951353050759
22,2,........X,O,4,-1,-0.2,-0.36000000000000004
22,3,....O...X,X,6,1,0.2,0.36000000000000004
22,4,....O.X.X,O,5,-1,0.0,-0.2
22,5,....OOX.X,X,7,1,0.0,0.2
23,1,.........,X,0,-1,0.0,-0.2
23,2,X........,O,5,1,0.0,0.2
23,3,X....O...,X,1,-1,0.0,-0.2
23,4,XX...O...,O,4,1,0.2,0.36000000000000004
23,5,XX..OO...,X,6,-1,0.0,-0.2
23,6,XX..OOX..,O,3,1,0.0,0.2
24,1,.........,X,8,0,0.5593951353050759,0.44751610824406074
24,2,........X,O,5,0,-0.2,-0.16
24,3,.....O..X,X,2,0,0.2,0.16
24,4,..X..O..X,O,4,0,0.0,0.0
24,5,..X.OO..X,X,1,0,0.0,0.0
24,6,.XX.OO..X,O,0,0,0.0,0.0
24,7,OXX.OO..X,X,3,0,0.0,0.0
24,8,OXXXOO..X,O,6,0,0.0,0.0
24,9,OXXXOOO.X,X,7,0,0.0,0.0
25,1,.........,X,6,-1,0.0,-0.2
25,2,......X..,O,8,1,0.0,0.2
25,3,......X.O,X,1,-1,0.0,-0.2
25,4,.X....X.O,O,4,1,0.0,0.2
25,5,.X..O.X.O,X,3,-1,0.0,-0.2
25,6,.X.XO.X.O,O,0,1,0.0,0.2
26,1,.........,X,8,1,0.44751610824406074,0.5580128865952486
26,2,........X,O,1,-1,-0.03199999999999999,-0.22559999999999997
26,3,.O......X,X,4,1,0.2,0.36000000000000004
26,4,.O..X...X,O,3,-1,0.0,-0.2
26,5,.O.OX...X,X,6,1,0.0,0.2
26,6,.O.OX.X.X,O,0,-1,0.0,-0.2
26,7,OO.OX.X.X,X,2,1,0.2,0.36000000000000004
27,1,.........,X,8,-1,0.5580128865952486,0.2464103092761989
27,2,........X,O,2,1,-0.06559999999999999,0.14751999999999998
27,3,..O.....X,X,3,-1,0.2,-0.03999999999999998
27,4,..OX....X,O,6,1,0.0,0.2
27,5,..OX..O.X,X,0,-1,0.0,-0.2
27,6,X.OX..O.X,O,4,1,0.0,0.2
28,1,.........,X,8,1,0.2464103092761989,0.3971282474209591
28,2,........X,O,2,-1,0.14751999999999998,-0.08198400000000006
28,3,..O.....X,X,4,1,0.0,0.2
28,4,..O.X...X,O,7,-1,0.0,-0.2
28,5,..O.X..OX,X,0,1,0.0,0.2
29,1,.........,X,6,-1,-0.2,-0.36000000000000004
29,2,......X..,O,8,1,0.2,0.36000000000000004
29,3,......X.O,X,4,-1,0.0,-0.2
29,4,....X.X.O,O,7,1,0.0,0.2
29,5,....X.XOO,X,1,-1,0.0,-0.2
29,6,.X..X.XOO,O,5,1,0.0,0.2
29,7,.X..XOXOO,X,3,-1,0.0,-0.2
29,8,.X.XXOXOO,O,2,1,0.0,0.2
30,1,.........,X,8,1,0.3971282474209591,0.5177025979367673
30,2,........X,O,2,-1,-0.08198400000000006,-0.2655872
30,3,..O.....X,X,4,1,0.2,0.36000000000000004
30,4,..O.X...X,O,5,-1,0.0,-0.2
30,5,..O.XO..X,X,6,1,0.0,0.2
30,6,..O.XOX.X,O,7,-1,0.0,-0.2
30,7,..O.XOXOX,X,0,1,0.0,0.2
31,1,.........,X,8,-1,0.5177025979367673,0.2141620783494138
31,2,........X,O,0,1,-0.2,0.03999999999999998
31,3,O.......X,X,4,-1,0.2,-0.03999999999999998
31,4,O...X...X,O,6,1,0.0,0.2
31,5,O...X.O.X,X,7,-1,0.0,-0.2
31,6,O...X.OXX,O,1,1,0.0,0.2
31,7,OO..X.OXX,X,5,-1,0.0,-0.2
31,8,OO..XXOXX,O,3,1,0.0,0.2
32,1,.........,X,8,1,0.2141620783494138,0.37132966267953105
32,2,........X,O,0,-1,0.03999999999999998,-0.16800000000000004
32,3,O.......X,X,3,1,0.0,0.2
32,4,O..X....X,O,7,-1,0.0,-0.2
32,5,O..X...OX,X,2,1,0.0,0.2
32,6,O.XX...OX,O,6,-1,0.0,-0.2
32,7,O.XX..OOX,X,1,1,0.0,0.2
32,8,OXXX..OOX,O,4,-1,0.0,-0.2
32,9,OXXXO.OOX,X,5,1,0.0,0.2
33,1,.........,X,8,1,0.37132966267953105,0.4970637301436248
33,2,........X,O,5,-1,-0.16,-0.328
33,3,.....O..X,X,2,1,0.16,0.328
33,4,..X..O..X,O,1,-1,0.0,-0.2
33,5,.OX..O..X,X,0,1,0.0,0.2
33,6,XOX..O..X,O,7,-1,0.0,-0.2
33,7,XOX..O.OX,X,4,1,0.0,0.2
34,1,.........,X,8,-1,0.4970637301436248,0.19765098411489984
34,2,........X,O,0,1,-0.16800000000000004,0.06559999999999999
34,3,O.......X,X,3,-1,0.2,-0.03999999999999998
34,4,O..X....X,O,2,1,0.0,0.2
34,5,O.OX....X,X,6,-1,0.0,-0.2
34,6,O.OX..X.X,O,1,1,0.0,0.2
35,1,.........,X,2,1,0.2,0.36000000000000004
35,2,..X......,O,3,-1,0.0,-0.2
35,3,..XO.....,X,0,1,0.0,0.2
35,4,X.XO.....,O,5,-1,0.0,-0.2
35,5,X.XO.O...,X,8,1,0.0,0.2
35,6,X.XO.O..X,O,1,-1,0.0,-0.2
35,7,XOXO.O..X,X,4,1,0.0,0.2
36,1,.........,X,2,1,0.36000000000000004,0.488
36,2,..X......,O,4,-1,0.0,-0.2
36,3,..X.O....,X,6,1,0.0,0.2
36,4,..X.O.X..,O,7,-1,0.0,-0.2
36,5,..X.O.XO.,X,8,1,0.0,0.2
36,6,..X.O.XOX,O,0,-1,0.0,-0.2
36,7,O.X.O.XOX,X,5,1,0.0,0.2
37,1,.........,X,2,1,0.488,0.5904
37,2,..X......,O,8,-1,0.0,-0.2
37,3,..X.....O,X,7,1,0.0,0.2
37,4,..X....XO,O,0,-1,0.0,-0.2
37,5,O.X....XO,X,6,1,0.0,0.2
37,6,O.X...XXO,O,5,-1,0.0,-0.2
37,7,O.X..OXXO,X,1,1,0.0,0.2
37,8,OXX..OXXO,O,3,-1,0.0,-0.2
37,9,OXXO.OXXO,X,4,1,0.0,0.2
38,1,.........,X,2,1,0.5904,0.67232
38,2,..X......,O,6,-1,0.0,-0.2
38,3,..X...O..,X,5,1,0.0,0.2
38,4,..X..XO..,O,3,-1,0.0,-0.2
38,5,..XO.XO..,X,7,1,0.0,0.2
38,6,..XO.XOX.,O,8,-1,0.0,-0.2
38,7,..XO.XOXO,X,1,1,0.0,0.2
38,8,.XXO.XOXO,O,4,-1,0.0,-0.2
38,9,.XXOOXOXO,X,0,1,0.0,0.2
39,1,.........,X,5,-1,0.0,-0.2
39,2,.....X...,O,4,1,0.0,0.2
39,3,....OX...,X,0,-1,0.0,-0.2
39,4,X...OX...,O,1,1,0.0,0.2
39,5,XO..OX...,X,2,-1,0.0,-0.2
39,6,XOX.OX...,O,7,1,0.0,0.2
40,1,.........,X,7,1,0.0,0.2
40,2,.......X.,O,2,-1,0.0,-0.2
40,3,..O....X.,X,8,1,0.0,0.2
40,4,..O....XX,O,1,-1,0.0,-0.2
40,5,.OO....XX,X,5,1,0.0,0.2
40,6,.OO..X.XX,O,3,-1,0.0,-0.2
40,7,.OOO.X.XX,X,0,1,0.0,0.2
40,8,XOOO.X.XX,O,4,-1,0.0,-0.2
40,9,XOOOOX.XX,X,6,1,0.0,0.2
41,1,.........,X,2,-1,0.67232,0.337856
41,2,..X......,O,1,1,0.0,0.2
41,3,.OX......,X,7,-1,0.0,-0.2
41,4,.OX....X.,O,4,1,0.0,0.2
41,5,.OX.O..X.,X,6,-1,0.0,-0.2
41,6,.OX.O.XX.,O,8,1,0.0,0.2
41,7,.OX.O.XXO,X,5,-1,0.0,-0.2
41,8,.OX.OXXXO,O,0,1,0.0,0.2
42,1,.........,X,2,-1,0.337856,0.07028479999999998
42,2,..X......,O,0,1,0.0,0.2
42,3,O.X......,X,1,-1,0.0,-0.2
42,4,OXX......,O,8,1,0.0,0.2
42,5,OXX.....O,X,5,-1,0.0,-0.2
42,6,OXX..X..O,O,6,1,0.0,0.2
42,7,OXX..XO.O,X,3,-1,0.0,-0.2
42,8,OXXX.XO.O,O,7,1,0.0,0.2
43,1,.........,X,6,-1,-0.36000000000000004,-0.488
43,2,......X..,O,8,1,0.36000000000000004,0.488
43,3,......X.O,X,3,-1,0.0,-0.2
43,4,...X..X.O,O,5,1,0.0,0.2
43,5,...X.OX.O,X,7,-1,0.0,-0.2
43,6,...X.OXXO,O,2,1,0.0,0.2
44,1,.........,X,7,1,0.2,0.36000000000000004
44,2,.......X.,O,5,-1,0.0,-0.2
44,3,.....O.X.,X,0,1,0.0,0.2
44,4,X....O.X.,O,8,-1,0.0,-0.2
44,5,X....O.XO,X,1,1,0.0,0.2
44,6,XX...O.XO,O,3,-1,0.0,-0.2
44,7,XX.O.O.XO,X,2,1,0.0,0.2
45,1,.........,X,7,1,0.36000000000000004,0.488
45,2,.......X.,O,3,-1,0.0,-0.2
45,3,...O...X.,X,5,1,0.0,0.2
45,4,...O.X.X.,O,2,-1,0.0,-0.2
45,5,..OO.X.X.,X,4,1,0.0,0.2
45,6,..OOXX.X.,O,6,-1,0.0,-0.2
45,7,..OOXXOX.,X,0,1,0.0,0.2
45,8,X.OOXXOX.,O,8,-1,0.0,-0.2
45,9,X.OOXXOXO,X,1,1,0.0,0.2
46,1,.........,X,7,-1,0.488,0.19039999999999996
46,2,.......X.,O,8,1,0.0,0.2
46,3,.......XO,X,3,-1,0.0,-0.2
46,4,...X...XO,O,1,1,0.0,0.2
46,5,.O.X...XO,X,4,-1,0.0,-0.2
46,6,.O.XX..XO,O,2,1,0.0,0.2
46,7,.OOXX..XO,X,6,-1,0.0,-0.2
46,8,.OOXX.XXO,O,5,1,0.0,0.2
47,1,.........,X,2,0,0.07028479999999998,0.05622783999999999
47,2,..X......,O,4,0,-0.2,-0.16
47,3,..X.O....,X,6,0,0.2,0.16
47,4,..X.O.X..,O,3,0,0.0,0.0
47,5,..XOO.X..,X,0,0,0.0,0.0
47,6,X.XOO.X..,O,8,0,0.0,0.0
47,7,X.XOO.X.O,X,5,0,0.0,0.0
47,8,X.XOOXX.O,O,1,0,0.0,0.0
47,9,XOXOOXX.O,X,7,0,0.0,0.0
48,1,.........,X,8,1,0.19765098411489984,0.3581207872919199
48,2,........X,O,0,-1,0.06559999999999999,-0.14751999999999998
48,3,O.......X,X,7,1,0.0,0.2
48,4,O......XX,O,1,-1,0.0,-0.2
48,5,OO.....XX,X,6,1,0.0,0.2
49,1,.........,X,8,1,0.3581207872919199,0.4864966298335359
49,2,........X,O,3,-1,-0.36000000000000004,-0.488
49,3,...O....X,X,6,1,0.36000000000000004,0.488
49,4,...O..X.X,O,2,-1,0.0,-0.2
49,5,..OO..X.X,X,1,1,0.0,0.2
49,6,.XOO..X.X,O,4,-1,0.0,-0.2
49,7,.XOOO.X.X,X,5,1,0.0,0.2
49,8,.XOOOXX.X,O,0,-1,0.0,-0.2
49,9,OXOOOXX.X,X,7,1,0.0,0.2
50,1,.........,X,8,1,0.4864966298335359,0.5891973038668288
50,2,........X,O,0,-1,-0.14751999999999998,-0.31801599999999997
50,3,O.......X,X,7,1,0.2,0.36000000000000004
50,4,O......XX,O,4,-1,0.0,-0.2
50,5,O...O..XX,X,3,1,0.0,0.2
50,6,O..XO..XX,O,6,-1,0.0,-0.2
50,7,O..XO.OXX,X,2,1,0.0,0.2
50,8,O.XXO.OXX,O,1,-1,0.0,-0.2
50,9,OOXXO.OXX,X,5,1,0.0,0.2
51,1,.........,X,8,1,0.5891973038668288,0.671357843093463
51,2,........X,O,7,-1,-0.2,-0.36000000000000004
51,3,.......OX,X,4,1,0.2,0.36000000000000004
51,4,....X..OX,O,1,-1,0.0,-0.2
51,5,.O..X..OX,X,0,1,0.2,0.36000000000000004
52,1,.........,X,8,-1,0.671357843093463,0.3370862744747704
52,2,........X,O,1,1,-0.22559999999999997,0.019520000000000037
52,3,.O......X,X,4,-1,0.36000000000000004,0.08800000000000002
52,4,.O..X...X,O,2,1,0.0,0.2
52,5,.OO.X...X,X,3,-1,0.0,-0.2
52,6,.OOXX...X,O,0,1,0.0,0.2
53,1,.........,X,8,1,0.3370862744747704,0.4696690195798163
53,2,........X,O,1,-1,0.019520000000000037,-0.18438399999999996
53,3,.O......X,X,4,1,0.08800000000000002,0.27040000000000003
53,4,.O..X...X,O,2,-1,0.2,-0.03999999999999998
53,5,.OO.X...X,X,6,1,0.0,0.2
53,6,.OO.X.X.X,O,7,-1,0.0,-0.2
53,7,.OO.X.XOX,X,5,1,0.0,0.2
53,8,.OO.XXXOX,O,3,-1,0.0,-0.2
53,9,.OOOXXXOX,X,0,1,0.0,0.2
54,1,.........,X,8,-1,0.4696690195798163,0.17573521566385303
54,2,........X,O,1,1,-0.18438399999999996,0.052492800000000034
54,3,.O......X,X,4,-1,0.27040000000000003,0.01632
54,4,.O..X...X,O,0,1,0.0,0.2
54,5,OO..X...X,X,6,-1,0.0,-0.2
54,6,OO..X.X.X,O,2,1,0.0,0.2
55,1,.........,X,7,-1,0.19039999999999996,-0.04768000000000003
55,2,.......X.,O,8,1,0.2,0.36000000000000004
55,3,.......XO,X,5,-1,0.0,-0.2
55,4,.....X.XO,O,2,1,0.0,0.2
55,5,..O..X.XO,X,0,-1,0.0,-0.2
55,6,X.O..X.XO,O,6,1,0.0,0.2
55,7,X.O..XOXO,X,1,-1,0.0,-0.2
55,8,XXO..XOXO,O,4,1,0.0,0.2
56,1,.........,X,8,1,0.17573521566385303,0.3405881725310824
56,2,........X,O,0,-1,-0.31801599999999997,-0.45441279999999995
56,3,O.......X,X,7,1,0.36000000000000004,0.488
56,4,O......XX,O,1,-1,-0.2,-0.36000000000000004
56,5,OO.....XX,X,6,1,0.2,0.36000000000000004
57,1,.........,X,8,-1,0.3405881725310824,0.07247053802486592
57,2,........X,O,1,1,0.052492800000000034,0.24199424000000005
57,3,.O......X,X,4,-1,0.01632,-0.186944
57,4,.O..X...X,O,0,1,0.2,0.36000000000000004
57,5,OO..X...X,X,7,-1,0.0,-0.2
57,6,OO..X..XX,O,3,1,0.0,0.2
57,7,OO.OX..XX,X,2,-1,0.0,-0.2
57,8,OOXOX..XX,O,6,1,0.0,0.2
58,1,.........,X,8,1,0.07247053802486592,0.2579764304198927
58,2,........X,O,1,-1,0.24199424000000005,-0.006404607999999978
58,3,.O......X,X,5,1,0.0,0.2
58,4,.O...X..X,O,6,-1,0.0,-0.2
58,5,.O...XO.X,X,7,1,0.0,0.2
58,6,.O...XOXX,O,2,-1,0.0,-0.2
58,7,.OO..XOXX,X,0,1,0.0,0.2
58,8,XOO..XOXX,O,3,-1,0.0,-0.2
58,9,XOOO.XOXX,X,4,1,0.0,0.2
59,1,.........,X,8,1,0.2579764304198927,0.4063811443359142
59,2,........X,O,1,-1,-0.006404607999999978,-0.2051236864
59,3,.O......X,X,5,1,0.2,0.36000000000000004
59,4,.O...X..X,O,7,-1,0.0,-0.2
59,5,.O...X.OX,X,3,1,0.0,0.2
59,6,.O.X.X.OX,O,0,-1,0.0,-0.2
59,7,OO.X.X.OX,X,2,1,0.0,0.2
60,1,.........,X,8,-1,0.4063811443359142,0.12510491546873137
60,2,........X,O,1,1,-0.2051236864,0.03590105087999998
60,3,.O......X,X,5,-1,0.36000000000000004,0.08800000000000002
60,4,.O...X..X,O,2,1,0.0,0.2
60,5,.OO..X..X,X,0,-1,0.0,-0.2
60,6,XOO..X..X,O,6,1,0.0,0.2
60,7,XOO..XO.X,X,7,-1,0.0,-0.2
60,8,XOO..XOXX,O,4,1,0.0,0.2
61,1,.........,X,8,-1,0.12510491546873137,-0.09991606762501493
61,2,........X,O,1,1,0.03590105087999998,0.228720840704
61,3,.O......X,X,5,-1,0.08800000000000002,-0.1296
61,4,.O...X..X,O,2,1,0.2,0.36000000000000004
61,5,.OO..X..X,X,6,-1,0.0,-0.2
61,6,.OO..XX.X,O,7,1,0.0,0.2
61,7,.OO..XXOX,X,0,-1,0.0,-0.2
61,8,XOO..XXOX,O,4,1,0.0,0.2
62,1,.........,X,2,-1,0.05622783999999999,-0.15501772800000002
62,2,..X......,O,0,1,0.2,0.36000000000000004
62,3,O.X......,X,6,-1,0.0,-0.2
62,4,O.X...X..,O,3,1,0.0,0.2
62,5,O.XO..X..,X,5,-1,0.0,-0.2
62,6,O.XO.XX..,O,8,1,0.0,0.2
62,7,O.XO.XX.O,X,7,-1,0.0,-0.2
62,8,O.XO.XXXO,O,4,1,0.0,0.2
63,1,.........,X,3,1,0.0,0.2
63,2,...X.....,O,6,-1,0.0,-0.2
63,3,...X..O..,X,7,1,0.0,0.2
63,4,...X..OX.,O,8,-1,0.0,-0.2
63,5,...X..OXO,X,2,1,0.0,0.2
63,6,..XX..OXO,O,5,-1,0.0,-0.2
63,7,..XX.OOXO,X,1,1,0.0,0.2
63,8,.XXX.OOXO,O,4,-1,0.0,-0.2
63,9,.XXXOOOXO,X,0,1,0.0,0.2
64,1,.........,X,3,0,0.2,0.16
64,2,...X.....,O,6,0,-0.2,-0.16
64,3,...X..O..,X,7,0,0.2,0.16
64,4,...X..OX.,O,0,0,0.0,0.0
64,5,O..X..OX.,X,2,0,0.0,0.0
64,6,O.XX..OX.,O,5,0,0.0,0.0
64,7,O.XX.OOX.,X,8,0,0.0,0.0
64,8,O.XX.OOXX,O,1,0,0.0,0.0
64,9,OOXX.OOXX,X,4,0,0.0,0.0
65,1,.........,X,3,-1,0.16,-0.07199999999999998
65,2,...X.....,O,8,1,0.0,0.2
65,3,...X....O,X,7,-1,0.0,-0.2
65,4,...X...XO,O,1,1,0.2,0.36000000000000004
65,5,.O.X...XO,X,6,-1,0.0,-0.2
65,6,.O.X..XXO,O,2,1,0.0,0.2
65,7,.OOX..XXO,X,4,-1,0.0,-0.2
65,8,.OOXX.XXO,O,5,1,0.2,0.36000000000000004
66,1,.........,X,1,1,-0.03999999999999998,0.16800000000000004
66,2,.X.......,O,5,-1,0.2,-0.03999999999999998
66,3,.X...O...,X,4,1,0.0,0.2
66,4,.X..XO...,O,3,-1,0.0,-0.2
66,5,.X.OXO...,X,2,1,0.0,0.2
66,6,.XXOXO...,O,8,-1,0.0,-0.2
66,7,.XXOXO..O,X,6,1,0.0,0.2
67,1,.........,X,1,1,0.16800000000000004,0.33440000000000003
67,2,.X.......,O,7,-1,0.0,-0.2
67,3,.X.....O.,X,6,1,0.0,0.2
67,4,.X....XO.,O,2,-1,0.0,-0.2
67,5,.XO...XO.,X,5,1,0.0,0.2
67,6,.XO..XXO.,O,0,-1,0.0,-0.2
