game,winner,plies,final_board
362,draw,9,XOXOXXOXO
363,X,7,X..OXOOXX
364,O,6,X.X.X.OOO
365,O,6,OXXO..OX.
366,O,6,OXXO..OX.
367,draw,9,XOXXOOOXX
368,X,9,OXOOXXXXO
369,X,9,XXXOOXOXO
370,X,7,O.OX.OXXX
371,X,7,.XOOO.XXX
372,X,9,OOXXXXOXO
373,X,9,OOXOXXXXO
374,X,9,XOOOXXOXX
375,X,9,OXOXXXXOO
376,X,9,XXOOXOXOX
377,X,5,..O..OXXX
378,O,8,XXOXOOOX.
379,X,7,OX.OXO.XX
380,X,9,OXOXOOXXX
381,X,9,XOXXOOXXO
382,draw,9,XOXOOXXXO
383,O,8,O.OXOXXXO
384,O,8,O.OXOXXXO
385,draw,9,OXXXOOOXX
386,X,9,OXOOXXXXO
387,O,8,XXOXO.OXO
388,X,9,XXOXXOOOX
389,X,7,XXXXOOO..
390,O,6,..OXO.OXX
391,O,8,.XOXOXOOX
392,X,7,XOX.XOXO.
393,X,9,XOXXXOOOX
394,O,8,OXXXO.OXO
395,X,7,.OXOOX.XX
396,X,7,OXOOX.XX.
397,draw,9,XOXOXXOXO
398,O,8,OXXOOXOX.
399,draw,9,OXOOXXXOX
400,O,6,OX..O.XXO
401,X,9,XXXOXOXOO
402,X,9,XXXXOOOOX
403,X,9,OXXXXOXOO
404,O,8,XXOXX.OOO
405,O,8,XXO.OXOOX
406,X,7,OXX.XOX.O
407,X,7,.XOO.OXXX
408,O,8,XXOOOOX.X
409,O,6,X.XOOOX..
410,X,5,O.X.X.X.O
411,X,7,XOX.XOX.O
412,X,5,XXX..OO..
413,X,7,OX.OXX.XO
414,O,8,X.XOOOXXO
415,X,7,XXX.OOX.O
416,O,8,OXXOOOX.X
417,draw,9,XOXXOXOXO
418,O,8,.XXOOOOXX
419,O,6,XO..O.XOX
420,X,5,XXX...OO.
421,X,7,.XX.OXOOX
422,X,9,XXOXOOXOX
423,X,9,OXXXXOOXO
424,O,8,OX.OOXOXX
425,O,6,OX..O.XXO
426,X,9,OXXXOXOOX
427,draw,9,XXOOOXXOX
428,O,8,XXOOOXO.X
429,X,7,.XXOXOX.O
430,draw,9,OXXXOOOXX
431,O,8,X.XOOOOXX
432,X,7,XXOXOOX..
433,draw,9,XXOOOXXOX
434,O,8,XXOXOXOO.
435,draw,9,XOXXOXOXO
436,O,6,OXX.O.X.O
437,X,7,OXXOOX..X
438,X,7,XXXOO.XO.
439,X,5,XXX.O..O.
440,X,9,XXOOXXOXO
441,O,8,OXXOOXX.O
442,X,9,OXXOOXXOX
443,X,7,XXXOXO..O
444,O,8,XXOOO.OXX
445,draw,9,XXOOOXXOX
446,O,8,XXOOO.OXX
447,draw,9,OXXXOOXOX
448,X,7,XXX.OO.OX
449,O,8,OXXOO.XXO
450,X,9,OXOXOOXXX
451,O,8,.XXOOOXOX
452,O,6,OX.XO..XO
453,X,7,.XOOX.XXO
454,O,8,OXOXOX.XO
455,X,9,OXXOOXXOX
456,draw,9,OXXXOOXOX
457,X,9,OXXOOXXOX
458,X,7,OXO.O.XXX
459,X,9,XXOXOOXOX
460,O,8,OXXOXXO.O
461,X,9,OXXOXOXOX
462,X,9,OXOXXXOOX
463,X,7,OXX.X.OXO
464,X,9,OXOOXXXXO
465,X,7,XO.XO.XXO
466,draw,9,OXXXOOXOX
467,X,7,X.XXOOXO.
468,X,7,XXXOO.X.O
469,X,9,XXOXXOOOX
470,X,7,OX.OO.XXX
471,X,9,OXOXOOXXX
472,O,8,.XXOOOXXO
473,X,7,OX..OOXXX
474,O,8,OXX.OXOXO
475,X,7,..XXXOXOO
476,draw,9,OXXXOOXOX
477,O,8,XOXX.XOOO
478,draw,9,OXXXOOXOX
479,draw,9,OXXXOOXOX
480,X,7,XXXOO.XO.
481,X,7,XXX.OOX.O
482,X,9,XXXXOOOOX
483,O,6,O.XOXXO..
484,draw,9,OXOOXXXOX
485,X,9,OXXOXOXOX
486,O,8,.XXOOOXXO
487,X,9,XXOOXXOOX
488,X,7,XXXOO.XO.
489,X,9,OXOXXXXOO
490,O,8,OX.XOXOXO
491,O,8,OXOXOXO.X
492,O,8,X.XOOOXOX
493,X,9,OXOXXOOXX
494,draw,9,XXOOOXXOX
495,X,7,OXO.O.XXX
496,X,9,OXOOOXXXX
497,X,9,OXOXXXOOX
498,O,6,OXX.O.X.O
499,X,5,XXX.O.O..
500,draw,9,OXXXOOOXX
501,X,7,X.OOXOX.X
502,X,7,XXXOOX.O.
503,X,5,.XO.XO.X.
504,O,8,OXXOOXX.O
505,O,6,OXX.O.X.O
506,X,7,XXX.O.XOO
507,O,8,XXOOOXO.X
508,X,5,XXX.O...O
509,X,5,XXX.O..O.
510,X,5,.XO.X..XO
511,X,7,XX.OXOO.X
512,X,5,XXX.O...O
513,draw,9,OXXXOOOXX
514,draw,9,OXXXOOXOX
515,X,5,XXX.OO...
516,O,8,OXXXO.XOO
517,X,7,XX.X.OXOO
518,X,9,OXXXOXOOX
519,O,8,OXXXOX.OO
520,X,7,.XOOO.XXX
521,O,6,OXXOX.O..
522,X,7,XXX.O.XOO
523,draw,9,XXOOOXXXO
524,X,9,OXOXXXOXO
525,X,7,XXX.XO.OO
526,X,7,XXX.OOXO.
527,O,8,OXX.OXXOO
528,X,7,XX.X.OXOO
529,X,7,XXXXO..OO
530,X,7,XXX.O.XOO
531,O,8,OXXOOO.XX
532,X,7,XX.X.OXOO
533,draw,9,XXOOOXXOX
534,X,7,XXOXO.XO.
535,X,5,XXX.O.O..
536,X,7,XXXOOX..O
537,O,6,OXXO..OX.
538,X,7,XXOXO.X.O
539,O,8,.XOXOXOXO
540,X,9,XXOOXXOOX
541,X,7,OX.XXXO.O
542,O,8,OX.OXXOOX
543,draw,9,OXXXXOOOX
544,X,9,OOXXXXXOO
545,draw,9,XOOOXXXXO
546,X,5,X..XO.X.O
547,X,7,OXXOX.XO.
548,draw,9,OXXXOOOXX
549,X,9,OOXXOXOXX
550,X,5,O.O...XXX
551,X,9,OXOXXXXOO
552,X,7,XOOX.OX.X
553,X,7,XO.X.XXOO
554,X,7,X.XXOOXO.
555,O,6,X.XOOOX..
556,O,8,OX.OOXXXO
557,draw,9,XXOOOXXXO
558,X,9,OXOXXOOXX
559,O,8,OXOXOXX.O
560,O,6,XX.X..OOO
561,O,8,O.XOOXXXO
562,X,5,.XO.XO.X.
563,O,6,.X.XX.OOO
564,X,7,O.X.XOXXO
565,X,7,XOOOX.X.X
566,O,8,XOO.XOXXO
567,X,7,OO.XXX.XO
568,X,7,OO.XXX.XO
569,X,9,XOOXXXOXO
570,X,7,XXXOX..OO
571,O,6,OX.OX.O.X
572,X,5,X..OXO..X
573,O,8,XOXOOXXO.
574,X,7,O..OXOXXX
575,O,6,OXXO.XO..
576,O,8,X.XOOOOXX
577,X,7,.XO.XOOXX
578,X,7,O.XOX.XOX
579,X,9,XOXOXOOXX
580,O,6,..O.XOXXO
581,X,5,.X..XO.XO
582,X,7,.O.XXXOXO
583,X,9,XXXOXOOXO
584,X,7,XO.OXX.OX
585,O,6,.X.XX.OOO
586,X,7,XXX.XOO.O
587,X,7,.XXOX.OXO
588,X,7,XOO.X.OXX
589,X,9,XXOOXXOXO
590,X,9,XOOXXXXOO
591,X,7,X.O.XXOOX
592,draw,9,XOXOXXOXO
593,X,9,XOOXXOOXX
594,X,9,OOXOXXXXO
595,X,5,X..OXO..X
596,X,5,X..OXO..X
597,X,9,XOOOXXXOX
598,X,5,.X..X.OXO
599,X,9,XOOXXXOXO
600,O,6,OOO.X.XX.
601,X,7,OO.XXX.XO
602,O,6,OXXOX.O..
603,X,9,XXXXOOOOX
604,draw,9,OOXXXOOXX
605,X,5,X...XOO.X
606,X,7,OO.XXXOX.
607,O,8,OOO.XXXXO
608,X,7,OXOOX..XX
609,X,9,OOXXOOXXX
610,O,6,.XOXO.O.X
611,X,7,O.OXXX.XO
612,O,6,..OXO.OXX
613,X,7,OO.XXXOX.
614,O,6,OOOXX..X.
615,X,7,XO..XOOXX
616,O,8,OOOXXO.XX
617,draw,9,OXOXXOXOX
618,X,7,OXOXXX..O
619,O,6,OXXOX.O..
620,draw,9,OXOXXOXOX
621,X,5,O..XXX.O.
622,X,9,OXOXXXOOX
623,O,8,OXXOXXO.O
624,O,8,XX.OOOOXX
625,O,8,OOOXXOX.X
626,X,7,.XXOOXO.X
627,X,7,X.OXX.XOO
628,O,8,OXXO.OOXX
629,O,6,OX.XO..XO
630,X,9,OXXXOXOOX
631,O,6,O.XO..OXX
632,X,5,XXX.O..O.
633,X,7,X..XXOOOX
634,O,8,XOO.OXXOX
635,X,7,XOOXXOX..
636,X,9,XOOXOXXXO
637,draw,9,XXOOXXXOO
638,X,7,X..OXOOXX
639,X,9,XXOXOOXOX
640,O,8,XXOOOXOX.
641,X,7,XOO.X.OXX
642,X,5,XXX.O.O..
643,X,7,XOOOX..XX
644,X,9,XOXXXOOOX
645,X,9,XOXXXOOOX
646,X,7,XOX.XOX.O
647,X,9,XOXOXXXOO
648,X,7,X.XOOX.OX
649,X,7,XOOXXX.O.
650,O,8,XOXXX.OOO
651,O,8,XOXXX.OOO
652,X,5,XOO.X...X
653,X,7,XO.OXO.XX
654,X,7,XOO..OXXX
655,O,8,XXOOO.OXX
656,O,8,XXOOOXO.X
657,O,8,X.OXOXOXO
658,X,7,OOX..OXXX
659,X,7,O.OXXX.XO
660,X,7,O.XOXOX.X
661,O,8,OX.XOXOXO
662,X,5,..XOOX..X
663,O,8,OXOXOXO.X
664,O,6,X.X.X.OOO
665,O,8,XOXXO.OOX
666,O,8,OOOOXX.XX
667,X,7,OXX.OXO.X
668,O,8,OOOXOX.XX
669,X,7,X.XXOOXO.
670,X,9,OXOXOOXXX
671,X,5,X.OXO.X..
672,O,8,OOOXOX.XX
673,draw,9,OXXXOOXOX
674,O,8,OOO.XXXOX
675,O,8,OXXOO.OXX
676,X,7,X.O.XOXOX
677,X,9,XOXOXXXOO
678,O,8,OXXXO.XOO
679,draw,9,OXOXOXXOX
680,O,8,OX.OOXXXO
681,O,6,OOOX..XX.
682,X,7,O.XOXXX.O
683,X,5,OO.XXX...
684,X,9,OXOOXXXXO
685,draw,9,OXXXOOOXX
686,X,5,..X.XOXO.
687,X,7,.XXOX.OXO
688,X,7,O.XOXXXO.
689,X,7,OOXOXX..X
690,X,7,OO.XXX.XO
691,X,7,XOOXX.X.O
692,X,7,O..XXXXOO
693,X,7,O.OXXX.XO
694,X,7,XXOOXO..X
695,X,9,OOXXXOXOX
696,O,8,.OOXOXOXX
697,O,8,OOOXX.OXX
698,draw,9,XOXOXXOXO
699,X,9,XOXOXXOOX
700,X,7,.XOXX.OXO
701,O,6,XX..X.OOO
702,O,6,X.X.X.OOO
703,O,6,..X.XXOOO
704,X,9,XOXXXOOOX
705,X,7,.XX.XOOXO
706,X,7,OOX.X.XXO
707,X,9,XXOXXOOOX
708,draw,9,XOOOXXXXO
709,X,7,OXOXX.OX.
710,X,9,OOXXOXOXX
711,X,5,....OOXXX
712,O,8,XXOXX.OOO
713,O,6,OXXOX.O..
714,X,7,.OXOX.XOX
715,X,9,OXXXOXOOX
716,O,6,OX.OXXO..
717,O,6,..XXX.OOO
718,O,8,XXOXO.OOX
719,X,5,.O..O.XXX
720,X,7,X.OXOOX.X
721,X,5,OO....XXX
722,X,7,O.XOX.XOX
723,X,9,XOXOOXOXX
724,draw,9,OXXXXOOOX
725,X,5,XO..X..OX
726,draw,9,XXOOOXXOX
727,O,6,OXXOX.O..
728,X,5,.O..O.XXX
729,X,7,.XXOXOXO.
730,X,7,O.XOO.XXX
731,X,7,X.XOX.OOX
732,draw,9,OXOXOXXOX
733,O,6,XO..O.XOX
734,O,8,XX.OOOOXX
735,X,9,OOXXOOXXX
736,draw,9,OXXXOOOXX
737,X,7,XXXOO.X.O
738,X,7,XXXXO.OO.
739,draw,9,XOXOXXOXO
740,X,7,X.XOXO.OX
741,X,7,X.XXO.XOO
742,draw,9,OXOXOXXOX
743,X,7,OX.OX.XXO
744,X,9,XOXOXOOXX
745,O,8,.XXOOOOXX
746,O,6,XOXXO..O.
747,X,7,XXXOO.XO.
748,X,7,OXX.OX.OX
749,X,7,XXXOO.X.O
750,X,7,OXX.OX.OX
751,X,7,XXXO.OXO.
752,draw,9,OXXXXOOOX
753,O,6,OXX.OX..O
754,X,5,..X.OX.OX
755,X,9,XXXXOOXOO
756,O,6,.OXXO..OX
757,O,8,OXXXO.OXO
758,O,8,XX.OOOXOX
759,X,5,O.O...XXX
760,X,9,OXOXXXXOO
761,X,7,OO.XXXX.O
762,X,7,XXX..OXOO
763,X,7,XOOXO.X.X
764,X,7,XXXO.OXO.
765,X,5,X..XO.X.O
766,X,5,X.OX..X.O
767,X,7,XOOXXO..X
768,X,7,..XOOXXOX
769,X,7,XXXXOO..O
770,draw,9,OXOOXXXOX
771,X,7,O..OXOXXX
772,O,8,OOO.XXXXO
773,X,9,XOXXOOXXO
774,X,9,XOOOXXXOX
775,O,8,OOXXO.XOX
776,O,8,OXXOOXX.O
777,X,9,XOOOXXXOX
778,X,9,XOOOXXXOX
779,X,5,X..XOOX..
780,draw,9,XXOOXXXOO
781,X,9,OOXOXXXXO
782,X,7,XOOXXOX..
783,O,8,OXOXXOX.O
784,O,8,OOOXXOX.X
785,X,7,XXXXOO..O
786,X,9,XXXXOOOOX
787,X,7,XOO.XXO.X
788,O,6,OX.XO..XO
789,X,9,XOOOXXOXX
790,O,8,XXOX.XOOO
791,O,8,OXOXO.OXX
792,X,9,XOOXXXOXO
793,X,9,XOOXOXXXO
794,draw,9,XOXOXXOXO
795,X,7,XO..OOXXX
796,X,5,O..XXXO..
797,O,8,XX.OXXOOO
798,X,7,X.O.XXOOX
799,X,7,XXXO.X.OO
800,O,8,XX.OXXOOO
801,X,7,X.OXXO.OX
802,X,7,XXXO.XO.O
803,X,7,X.OXOXX.O
804,X,9,XXXOOXOXO
805,X,7,XXOXO.XO.
806,X,5,XXX.OO...
807,X,9,OOXXXXOXO
808,X,9,XOXXOOXXO
809,X,7,XO.XXXO.O
810,O,6,X.XOOOX..
811,X,7,XXX.OO.OX
812,X,9,XXXXOOOXO
813,X,7,XO.OXOX.X
814,X,7,XO.XXX.OO
815,X,5,XXX.OO...
816,X,9,XXOOXXOXO
817,O,8,XXOOO.OXX
818,O,8,XXO.OXOXO
819,O,8,XXOXOXO.O
820,X,9,XOOXOXXXO
821,draw,9,XOXOOXXXO
822,X,7,X.OXOXX.O
823,X,7,X.OX.XXOO
824,X,9,OXOXXOOXX
825,X,7,O.OXXXO.X
826,X,7,XXOOX..OX
827,X,9,XOXOXXXOO
828,X,7,X.O.OOXXX
829,X,5,XO..X..OX
830,X,7,XO.XX.OOX
831,X,7,XO.XXOXO.
832,X,7,XXX.OOO.X
833,X,5,X..XOOX..
834,X,9,OXOXXXOOX
835,X,7,XO.XXXOO.
836,X,7,X.XOOX.OX
837,O,8,XXOX.XOOO
838,X,7,X.XOXO.OX
839,X,7,X.OXXXO.O
840,X,7,XXX.O.OXO
841,X,7,X.OXX.XOO
842,O,8,XOO.XOXXO
843,O,8,XOOXOXOX.
844,X,7,OXOOX.XX.
845,O,8,OOOXXOX.X
846,X,7,OO.XXXX.O
847,draw,9,OXXXOOXOX
848,X,7,O.X.XOXXO
849,O,6,OOO.X.X.X
850,X,7,XOOXX.X.O
851,O,6,..XXX.OOO
852,O,8,XOOXXO.XO
853,X,7,OXOOX.XX.
854,draw,9,OXOOXXXOX
855,draw,9,OXOXXOXOX
856,X,7,OOXO.XX.X
857,X,9,OOXXXOXOX
858,O,6,.O..OXXOX
859,draw,9,XOXOOXXXO
860,draw,9,XOXOOXXXO
861,O,8,OOXXO.XOX
862,X,7,X.OXO.XOX
863,O,6,.XXOOO..X
864,X,5,X.OX..X.O
865,O,6,X.OXOXO..
866,O,6,.XO.O.OXX
867,X,5,XXX..OO..
868,X,9,XXOXXOOOX
869,X,5,OO.XXX...
870,X,7,XO..XXOOX
871,O,6,X.OXOXO..
872,O,8,XXOXO.OOX
873,O,6,O..OXXO.X
874,X,5,..X.XOXO.
875,X,5,X..XO.X.O
876,X,7,XOXOOX..X
877,draw,9,XOXXOOOXX
878,draw,9,XOXXOOOXX
879,O,8,X.XOOOXXO
880,X,5,XO.XO.X..
881,X,9,XOOXXXXOO
882,O,6,X..OOO.XX
