game,agent_mark,ply,board,player,action,after
22,X,2,......X..,O,3,...O..X..
22,X,3,...O..X..,X,2,..XO..X..
22,X,4,..XO..X..,O,7,..XO..XO.
22,X,5,..XO..XO.,X,4,..XOX.XO.
23,O,1,.........,X,4,....X....
23,O,2,....X....,O,1,.O..X....
23,O,3,.O..X....,X,0,XO..X....
23,O,4,XO..X....,O,5,XO..XO...
23,O,5,XO..XO...,X,8,XO..XO..X
24,X,1,.........,X,1,.X.......
24,X,2,.X.......,O,4,.X..O....
24,X,3,.X..O....,X,0,XX..O....
24,X,4,XX..O....,O,6,XX..O.O..
24,X,5,XX..O.O..,X,7,XX..O.OX.
24,X,6,XX..O.OX.,O,8,XX..O.OXO
24,X,7,XX..O.OXO,X,3,XX.XO.OXO
24,X,8,XX.XO.OXO,O,5,XX.XOOOXO
24,X,9,XX.XOOOXO,X,2,XXXXOOOXO
25,O,1,.........,X,2,..X......
25,O,2,..X......,O,8,..X.....O
25,O,3,..X.....O,X,4,..X.X...O
25,O,4,..X.X...O,O,7,..X.X..OO
25,O,5,..X.X..OO,X,6,..X.X.XOO
26,X,1,.........,X,0,X........
26,X,2,X........,O,2,X.O......
26,X,3,X.O......,X,1,XXO......
26,X,4,XXO......,O,4,XXO.O....
26,X,5,XXO.O....,X,5,XXO.OX...
26,X,6,XXO.OX...,O,6,XXO.OXO..
27,O,1,.........,X,8,........X
27,O,2,........X,O,1,.O......X
27,O,3,.O......X,X,0,XO......X
27,O,4,XO......X,O,4,XO..O...X
27,O,5,XO..O...X,X,6,XO..O.X.X
27,O,6,XO..O.X.X,O,7,XO..O.XOX
28,X,1,.........,X,5,.....X...
28,X,2,.....X...,O,0,O....X...
28,X,3,O....X...,X,6,O....XX..
28,X,4,O....XX..,O,3,O..O.XX..
28,X,5,O..O.XX..,X,8,O..O.XX.X
28,X,6,O..O.XX.X,O,1,OO.O.XX.X
28,X,7,OO.O.XX.X,X,2,OOXO.XX.X
29,O,1,.........,X,3,...X.....
29,O,2,...X.....,O,1,.O.X.....
29,O,3,.O.X.....,X,2,.OXX.....
29,O,4,.OXX.....,O,7,.OXX...O.
29,O,5,.OXX...O.,X,4,.OXXX..O.
29,O,6,.OXXX..O.,O,5,.OXXXO.O.
29,O,7,.OXXXO.O.,X,0,XOXXXO.O.
29,O,8,XOXXXO.O.,O,8,XOXXXO.OO
29,O,9,XOXXXO.OO,X,6,XOXXXOXOO
30,X,1,.........,X,4,....X....
30,X,2,....X....,O,3,...OX....
30,X,3,...OX....,X,0,X..OX....
30,X,4,X..OX....,O,1,XO.OX....
30,X,5,XO.OX....,X,8,XO.OX...X
31,O,1,.........,X,4,....X....
31,O,2,....X....,O,1,.O..X....
31,O,3,.O..X....,X,3,.O.XX....
31,O,4,.O.XX....,O,5,.O.XXO...
31,O,5,.O.XXO...,X,8,.O.XXO..X
31,O,6,.O.XXO..X,O,0,OO.XXO..X
31,O,7,OO.XXO..X,X,2,OOXXXO..X
31,O,8,OOXXXO..X,O,7,OOXXXO.OX
31,O,9,OOXXXO.OX,X,6,OOXXXOXOX
32,X,1,.........,X,7,.......X.
32,X,2,.......X.,O,8,.......XO
32,X,3,.......XO,X,4,....X..XO
32,X,4,....X..XO,O,1,.O..X..XO
32,X,5,.O..X..XO,X,5,.O..XX.XO
32,X,6,.O..XX.XO,O,2,.OO.XX.XO
32,X,7,.OO.XX.XO,X,3,.OOXXX.XO
33,O,1,.........,X,2,..X......
33,O,2,..X......,O,6,..X...O..
33,O,3,..X...O..,X,0,X.X...O..
33,O,4,X.X...O..,O,5,X.X..OO..
33,O,5,X.X..OO..,X,3,X.XX.OO..
33,O,6,X.XX.OO..,O,8,X.XX.OO.O
33,O,7,X.XX.OO.O,X,4,X.XXXOO.O
33,O,8,X.XXXOO.O,O,1,XOXXXOO.O
33,O,9,XOXXXOO.O,X,7,XOXXXOOXO
34,X,1,.........,X,4,....X....
34,X,2,....X....,O,8,....X...O
34,X,3,....X...O,X,2,..X.X...O
34,X,4,..X.X...O,O,5,..X.XO..O
34,X,5,..X.XO..O,X,1,.XX.XO..O
34,X,6,.XX.XO..O,O,6,.XX.XOO.O
34,X,7,.XX.XOO.O,X,0,XXX.XOO.O
35,O,1,.........,X,7,.......X.
35,O,2,.......X.,O,3,...O...X.
35,O,3,...O...X.,X,0,X..O...X.
35,O,4,X..O...X.,O,1,XO.O...X.
35,O,5,XO.O...X.,X,8,XO.O...XX
35,O,6,XO.O...XX,O,5,XO.O.O.XX
35,O,7,XO.O.O.XX,X,4,XO.OXO.XX
36,X,1,.........,X,2,..X......
36,X,2,..X......,O,7,..X....O.
36,X,3,..X....O.,X,4,..X.X..O.
36,X,4,..X.X..O.,O,3,..XOX..O.
36,X,5,..XOX..O.,X,5,..XOXX.O.
36,X,6,..XOXX.O.,O,6,..XOXXOO.
36,X,7,..XOXXOO.,X,8,..XOXXOOX
37,O,1,.........,X,1,.X.......
37,O,2,.X.......,O,5,.X...O...
37,O,3,.X...O...,X,3,.X.X.O...
37,O,4,.X.X.O...,O,6,.X.X.OO..
37,O,5,.X.X.OO..,X,7,.X.X.OOX.
37,O,6,.X.X.OOX.,O,8,.X.X.OOXO
37,O,7,.X.X.OOXO,X,0,XX.X.OOXO
37,O,8,XX.X.OOXO,O,4,XX.XOOOXO
37,O,9,XX.XOOOXO,X,2,XXXXOOOXO
38,X,1,.........,X,8,........X
38,X,2,........X,O,1,.O......X
38,X,3,.O......X,X,7,.O.....XX
38,X,4,.O.....XX,O,0,OO.....XX
38,X,5,OO.....XX,X,5,OO...X.XX
38,X,6,OO...X.XX,O,6,OO...XOXX
38,X,7,OO...XOXX,X,3,OO.X.XOXX
38,X,8,OO.X.XOXX,O,4,OO.XOXOXX
38,X,9,OO.XOXOXX,X,2,OOXXOXOXX
39,O,1,.........,X,7,.......X.
39,O,2,.......X.,O,2,..O....X.
39,O,3,..O....X.,X,6,..O...XX.
39,O,4,..O...XX.,O,4,..O.O.XX.
39,O,5,..O.O.XX.,X,8,..O.O.XXX
40,X,1,.........,X,7,.......X.
40,X,2,.......X.,O,0,O......X.
40,X,3,O......X.,X,8,O......XX
40,X,4,O......XX,O,1,OO.....XX
40,X,5,OO.....XX,X,5,OO...X.XX
40,X,6,OO...X.XX,O,3,OO.O.X.XX
40,X,7,OO.O.X.XX,X,2,OOXO.X.XX
41,O,1,.........,X,1,.X.......
41,O,2,.X.......,O,5,.X...O...
41,O,3,.X...O...,X,3,.X.X.O...
41,O,4,.X.X.O...,O,0,OX.X.O...
41,O,5,OX.X.O...,X,7,OX.X.O.X.
41,O,6,OX.X.O.X.,O,8,OX.X.O.XO
41,O,7,OX.X.O.XO,X,4,OX.XXO.XO
42,X,1,.........,X,3,...X.....
42,X,2,...X.....,O,6,...X..O..
42,X,3,...X..O..,X,7,...X..OX.
42,X,4,...X..OX.,O,5,...X.OOX.
42,X,5,...X.OOX.,X,8,...X.OOXX
42,X,6,...X.OOXX,O,0,O..X.OOXX
42,X,7,O..X.OOXX,X,1,OX.X.OOXX
42,X,8,OX.X.OOXX,O,4,OX.XOOOXX
42,X,9,OX.XOOOXX,X,2,OXXXOOOXX
43,O,1,.........,X,1,.X.......
43,O,2,.X.......,O,0,OX.......
43,O,3,OX.......,X,8,OX......X
43,O,4,OX......X,O,6,OX....O.X
43,O,5,OX....O.X,X,7,OX....OXX
43,O,6,OX....OXX,O,4,OX..O.OXX
43,O,7,OX..O.OXX,X,5,OX..OXOXX
43,O,8,OX..OXOXX,O,2,OXO.OXOXX
44,X,1,.........,X,2,..X......
44,X,2,..X......,O,5,..X..O...
44,X,3,..X..O...,X,7,..X..O.X.
44,X,4,..X..O.X.,O,0,O.X..O.X.
44,X,5,O.X..O.X.,X,3,O.XX.O.X.
44,X,6,O.XX.O.X.,O,8,O.XX.O.XO
44,X,7,O.XX.O.XO,X,6,O.XX.OXXO
44,X,8,O.XX.OXXO,O,1,OOXX.OXXO
44,X,9,OOXX.OXXO,X,4,OOXXXOXXO
45,O,1,.........,X,8,........X
45,O,2,........X,O,6,......O.X
45,O,3,......O.X,X,7,......OXX
45,O,4,......OXX,O,1,.O....OXX
45,O,5,.O....OXX,X,0,XO....OXX
45,O,6,XO....OXX,O,4,XO..O.OXX
45,O,7,XO..O.OXX,X,3,XO.XO.OXX
45,O,8,XO.XO.OXX,O,2,XOOXO.OXX
46,X,1,.........,X,1,.X.......
46,X,2,.X.......,O,8,.X......O
46,X,3,.X......O,X,7,.X.....XO
46,X,4,.X.....XO,O,5,.X...O.XO
46,X,5,.X...O.XO,X,6,.X...OXXO
46,X,6,.X...OXXO,O,4,.X..OOXXO
46,X,7,.X..OOXXO,X,3,.X.XOOXXO
46,X,8,.X.XOOXXO,O,2,.XOXOOXXO
47,O,1,.........,X,5,.....X...
47,O,2,.....X...,O,3,...O.X...
47,O,3,...O.X...,X,4,...OXX...
47,O,4,...OXX...,O,8,...OXX..O
47,O,5,...OXX..O,X,6,...OXXX.O
47,O,6,...OXXX.O,O,0,O..OXXX.O
47,O,7,O..OXXX.O,X,1,OX.OXXX.O
47,O,8,OX.OXXX.O,O,7,OX.OXXXOO
47,O,9,OX.OXXXOO,X,2,OXXOXXXOO
48,X,1,.........,X,1,.X.......
48,X,2,.X.......,O,5,.X...O...
48,X,3,.X...O...,X,6,.X...OX..
48,X,4,.X...OX..,O,3,.X.O.OX..
48,X,5,.X.O.OX..,X,2,.XXO.OX..
48,X,6,.XXO.OX..,O,4,.XXOOOX..
49,O,1,.........,X,3,...X.....
49,O,2,...X.....,O,7,...X...O.
49,O,3,...X...O.,X,0,X..X...O.
49,O,4,X..X...O.,O,6,X..X..OO.
49,O,5,X..X..OO.,X,4,X..XX.OO.
49,O,6,X..XX.OO.,O,5,X..XXOOO.
49,O,7,X..XXOOO.,X,8,X..XXOOOX
50,X,1,.........,X,7,.......X.
50,X,2,.......X.,O,2,..O....X.
50,X,3,..O....X.,X,5,..O..X.X.
50,X,4,..O..X.X.,O,4,..O.OX.X.
50,X,5,..O.OX.X.,X,3,..OXOX.X.
50,X,6,..OXOX.X.,O,6,..OXOXOX.
51,O,1,.........,X,4,....X....
51,O,2,....X....,O,2,..O.X....
51,O,3,..O.X....,X,5,..O.XX...
51,O,4,..O.XX...,O,0,O.O.XX...
51,O,5,O.O.XX...,X,8,O.O.XX..X
51,O,6,O.O.XX..X,O,6,O.O.XXO.X
51,O,7,O.O.XXO.X,X,7,O.O.XXOXX
51,O,8,O.O.XXOXX,O,3,O.OOXXOXX
52,X,1,.........,X,8,........X
52,X,2,........X,O,7,.......OX
52,X,3,.......OX,X,4,....X..OX
52,X,4,....X..OX,O,2,..O.X..OX
52,X,5,..O.X..OX,X,6,..O.X.XOX
52,X,6,..O.X.XOX,O,5,..O.XOXOX
52,X,7,..O.XOXOX,X,0,X.O.XOXOX
53,O,1,.........,X,2,..X......
53,O,2,..X......,O,6,..X...O..
53,O,3,..X...O..,X,8,..X...O.X
53,O,4,..X...O.X,O,3,..XO..O.X
53,O,5,..XO..O.X,X,5,..XO.XO.X
54,X,1,.........,X,3,...X.....
54,X,2,...X.....,O,8,...X....O
54,X,3,...X....O,X,4,...XX...O
54,X,4,...XX...O,O,5,...XXO..O
54,X,5,...XXO..O,X,2,..XXXO..O
54,X,6,..XXXO..O,O,0,O.XXXO..O
54,X,7,O.XXXO..O,X,1,OXXXXO..O
54,X,8,OXXXXO..O,O,6,OXXXXOO.O
54,X,9,OXXXXOO.O,X,7,OXXXXOOXO
55,O,1,.........,X,4,....X....
55,O,2,....X....,O,6,....X.O..
55,O,3,....X.O..,X,8,....X.O.X
55,O,4,....X.O.X,O,5,....XOO.X
55,O,5,....XOO.X,X,0,X...XOO.X
56,X,1,.........,X,6,......X..
56,X,2,......X..,O,3,...O..X..
56,X,3,...O..X..,X,4,...OX.X..
56,X,4,...OX.X..,O,8,...OX.X.O
56,X,5,...OX.X.O,X,1,.X.OX.X.O
56,X,6,.X.OX.X.O,O,0,OX.OX.X.O
56,X,7,OX.OX.X.O,X,7,OX.OX.XXO
57,O,1,.........,X,0,X........
57,O,2,X........,O,3,X..O.....
57,O,3,X..O.....,X,6,X..O..X..
57,O,4,X..O..X..,O,5,X..O.OX..
57,O,5,X..O.OX..,X,4,X..OXOX..
57,O,6,X..OXOX..,O,8,X..OXOX.O
57,O,7,X..OXOX.O,X,7,X..OXOXXO
57,O,8,X..OXOXXO,O,1,XO.OXOXXO
57,O,9,XO.OXOXXO,X,2,XOXOXOXXO
58,X,1,.........,X,3,...X.....
58,X,2,...X.....,O,2,..OX.....
58,X,3,..OX.....,X,6,..OX..X..
58,X,4,..OX..X..,O,8,..OX..X.O
58,X,5,..OX..X.O,X,4,..OXX.X.O
58,X,6,..OXX.X.O,O,1,.OOXX.X.O
58,X,7,.OOXX.X.O,X,5,.OOXXXX.O
59,O,1,.........,X,6,......X..
59,O,2,......X..,O,2,..O...X..
59,O,3,..O...X..,X,1,.XO...X..
59,O,4,.XO...X..,O,8,.XO...X.O
59,O,5,.XO...X.O,X,4,.XO.X.X.O
59,O,6,.XO.X.X.O,O,5,.XO.XOX.O
60,X,1,.........,X,7,.......X.
60,X,2,.......X.,O,1,.O.....X.
60,X,3,.O.....X.,X,6,.O....XX.
60,X,4,.O....XX.,O,5,.O...OXX.
60,X,5,.O...OXX.,X,2,.OX..OXX.
60,X,6,.OX..OXX.,O,4,.OX.OOXX.
60,X,7,.OX.OOXX.,X,8,.OX.OOXXX
61,O,1,.........,X,3,...X.....
61,O,2,...X.....,O,0,O..X.....
61,O,3,O..X.....,X,7,O..X...X.
61,O,4,O..X...X.,O,2,O.OX...X.
61,O,5,O.OX...X.,X,1,OXOX...X.
61,O,6,OXOX...X.,O,5,OXOX.O.X.
61,O,7,OXOX.O.X.,X,6,OXOX.OXX.
61,O,8,OXOX.OXX.,O,8,OXOX.OXXO
62,X,1,.........,X,5,.....X...
62,X,2,.....X...,O,1,.O...X...
62,X,3,.O...X...,X,6,.O...XX..
62,X,4,.O...XX..,O,7,.O...XXO.
62,X,5,.O...XXO.,X,0,XO...XXO.
62,X,6,XO...XXO.,O,3,XO.O.XXO.
62,X,7,XO.O.XXO.,X,2,XOXO.XXO.
62,X,8,XOXO.XXO.,O,4,XOXOOXXO.
63,O,1,.........,X,6,......X..
63,O,2,......X..,O,8,......X.O
63,O,3,......X.O,X,4,....X.X.O
63,O,4,....X.X.O,O,0,O...X.X.O
63,O,5,O...X.X.O,X,7,O...X.XXO
63,O,6,O...X.XXO,O,5,O...XOXXO
63,O,7,O...XOXXO,X,3,O..XXOXXO
63,O,8,O..XXOXXO,O,1,OO.XXOXXO
63,O,9,OO.XXOXXO,X,2,OOXXXOXXO
64,X,1,.........,X,3,...X.....
64,X,2,...X.....,O,8,...X....O
64,X,3,...X....O,X,5,...X.X..O
64,X,4,...X.X..O,O,6,...X.XO.O
64,X,5,...X.XO.O,X,7,...X.XOXO
64,X,6,...X.XOXO,O,2,..OX.XOXO
64,X,7,..OX.XOXO,X,4,..OXXXOXO
65,O,1,.........,X,8,........X
65,O,2,........X,O,2,..O.....X
65,O,3,..O.....X,X,1,.XO.....X
65,O,4,.XO.....X,O,7,.XO....OX
65,O,5,.XO....OX,X,0,XXO....OX
65,O,6,XXO....OX,O,3,XXOO...OX
65,O,7,XXOO...OX,X,5,XXOO.X.OX
65,O,8,XXOO.X.OX,O,6,XXOO.XOOX
65,O,9,XXOO.XOOX,X,4,XXOOXXOOX
66,X,1,.........,X,4,....X....
66,X,2,....X....,O,2,..O.X....
66,X,3,..O.X....,X,1,.XO.X....
66,X,4,.XO.X....,O,6,.XO.X.O..
66,X,5,.XO.X.O..,X,7,.XO.X.OX.
67,O,1,.........,X,5,.....X...
67,O,2,.....X...,O,7,.....X.O.
67,O,3,.....X.O.,X,2,..X..X.O.
67,O,4,..X..X.O.,O,6,..X..XOO.
67,O,5,..X..XOO.,X,4,..X.XXOO.
67,O,6,..X.XXOO.,O,1,.OX.XXOO.
67,O,7,.OX.XXOO.,X,0,XOX.XXOO.
67,O,8,XOX.XXOO.,O,8,XOX.XXOOO
68,X,1,.........,X,3,...X.....
68,X,2,...X.....,O,4,...XO....
68,X,3,...XO....,X,2,..XXO....
68,X,4,..XXO....,O,6,..XXO.O..
68,X,5,..XXO.O..,X,7,..XXO.OX.
68,X,6,..XXO.OX.,O,5,..XXOOOX.
68,X,7,..XXOOOX.,X,0,X.XXOOOX.
68,X,8,X.XXOOOX.,O,1,XOXXOOOX.
68,X,9,XOXXOOOX.,X,8,XOXXOOOXX
69,O,1,.........,X,5,.....X...
69,O,2,.....X...,O,8,.....X..O
69,O,3,.....X..O,X,4,....XX..O
69,O,4,....XX..O,O,7,....XX.OO
69,O,5,....XX.OO,X,0,X...XX.OO
69,O,6,X...XX.OO,O,3,X..OXX.OO
69,O,7,X..OXX.OO,X,2,X.XOXX.OO
69,O,8,X.XOXX.OO,O,6,X.XOXXOOO
70,X,1,.........,X,0,X........
70,X,2,X........,O,7,X......O.
70,X,3,X......O.,X,6,X.....XO.
70,X,4,X.....XO.,O,4,X...O.XO.
70,X,5,X...O.XO.,X,3,X..XO.XO.
71,O,1,.........,X,2,..X......
71,O,2,..X......,O,4,..X.O....
71,O,3,..X.O....,X,5,..X.OX...
71,O,4,..X.OX...,O,7,..X.OX.O.
71,O,5,..X.OX.O.,X,6,..X.OXXO.
71,O,6,..X.OXXO.,O,0,O.X.OXXO.
71,O,7,O.X.OXXO.,X,1,OXX.OXXO.
71,O,8,OXX.OXXO.,O,8,OXX.OXXOO
72,X,1,.........,X,4,....X....
72,X,2,....X....,O,3,...OX....
72,X,3,...OX....,X,1,.X.OX....
72,X,4,.X.OX....,O,7,.X.OX..O.
72,X,5,.X.OX..O.,X,0,XX.OX..O.
72,X,6,XX.OX..O.,O,6,XX.OX.OO.
72,X,7,XX.OX.OO.,X,8,XX.OX.OOX
73,O,1,.........,X,2,..X......
73,O,2,..X......,O,5,..X..O...
73,O,3,..X..O...,X,7,..X..O.X.
73,O,4,..X..O.X.,O,0,O.X..O.X.
73,O,5,O.X..O.X.,X,8,O.X..O.XX
73,O,6,O.X..O.XX,O,1,OOX..O.XX
73,O,7,OOX..O.XX,X,4,OOX.XO.XX
73,O,8,OOX.XO.XX,O,3,OOXOXO.XX
73,O,9,OOXOXO.XX,X,6,OOXOXOXXX
74,X,1,.........,X,3,...X.....
74,X,2,...X.....,O,8,...X....O
74,X,3,...X....O,X,1,.X.X....O
74,X,4,.X.X....O,O,7,.X.X...OO
74,X,5,.X.X...OO,X,2,.XXX...OO
74,X,6,.XXX...OO,O,4,.XXXO..OO
74,X,7,.XXXO..OO,X,0,XXXXO..OO
75,O,1,.........,X,0,X........
75,O,2,X........,O,3,X..O.....
75,O,3,X..O.....,X,8,X..O....X
75,O,4,X..O....X,O,4,X..OO...X
75,O,5,X..OO...X,X,2,X.XOO...X
75,O,6,X.XOO...X,O,1,XOXOO...X
75,O,7,XOXOO...X,X,7,XOXOO..XX
75,O,8,XOXOO..XX,O,6,XOXOO.OXX
