game,agent_mark,winner,result,plies,final_board
65,O,O,win,8,XXOXOOO.X
66,X,X,win,9,OXOXXOOXX
67,O,O,win,8,X.XOXXOOO
68,X,X,win,5,X..OXO..X
69,O,O,win,8,X.XOXXOOO
70,X,X,win,7,.OXOXX.OX
71,O,O,win,6,..X.XXOOO
72,X,X,win,5,X..OX.O.X
73,O,O,win,6,.OX.O.XOX
74,X,X,win,5,...XXX.OO
75,O,X,loss,5,X.OOX...X
76,X,X,win,5,X...XOO.X
77,O,O,win,8,OXO.OXOXX
78,X,X,win,5,X..OX.O.X
79,O,O,win,6,XOX.O.XO.
80,X,X,win,5,XO..XO..X
81,O,X,loss,5,O....OXXX
82,X,draw,draw,9,OXOOXXXOX
83,O,O,win,8,OO.OXXOXX
84,X,X,win,5,OX..X..XO
85,O,O,win,8,XOOXOXOX.
86,X,X,win,5,XO..XO..X
87,O,O,win,6,.OX.O.XOX
88,X,X,win,7,XOOOX.X.X
89,O,X,loss,7,X.XX.OXOO
90,X,X,win,5,XO..XO..X
91,O,O,win,6,.XXOOO..X
92,X,X,win,7,XOXOX.X.O
93,O,O,win,6,.X.OOO.XX
94,X,X,win,7,OXOXXO.X.
95,O,O,win,8,XXOOXOX.O
96,X,X,win,7,XO.OXOX.X
97,O,draw,draw,9,XXOOOXXOX
98,X,X,win,7,OXOXXX.O.
99,O,X,loss,7,.X.XXOOXO
100,X,X,win,9,OXXOXOXOX
101,O,O,win,6,.OXXO..OX
102,X,X,win,7,O.OXXXO.X
103,O,X,loss,9,XXOOXOXOX
104,X,draw,draw,9,XXOOXXXOO
105,O,O,win,8,O.OXOXOXX
106,X,X,win,9,XXOXXOOOX
107,O,X,loss,7,OXO.XOXX.
108,X,X,win,7,XOXOX.X.O
109,O,X,loss,5,...XXXO.O
110,X,X,win,5,OX..X..XO
111,O,draw,draw,9,XXOOOXXOX
112,X,X,win,9,OXOXXXXOO
113,O,O,win,8,OOX.OXXXO
114,X,X,win,7,OXOXXO.X.
115,O,O,win,6,OX..O.XXO
116,X,X,win,5,...XXXOO.
117,O,X,loss,7,.XXOOX.OX
118,X,X,win,9,XXOXXOOOX
119,O,O,win,8,X.OOXOXXO
120,X,X,win,9,XOOXXXXOO
121,O,O,win,8,XOXXOX.OO
122,X,X,win,5,...XXX.OO
123,O,O,win,6,.XO..OXXO
124,X,X,win,7,OO.XXX.XO
125,O,draw,draw,9,OOXXXOOXX
126,X,X,win,7,X..XXOOOX
127,O,O,win,6,OOOXX..X.
128,X,X,win,5,.O.XXX..O
129,O,O,win,8,XXOXOOO.X
130,X,X,win,9,XOOXXXXOO
131,O,O,win,8,OXO.OXXXO
132,X,X,win,5,X..OX.O.X
133,O,O,win,8,XOO.XOXXO
134,X,X,win,5,...XXXO.O
135,O,X,loss,7,OXO.XXOX.
136,X,X,win,7,OXOXXX..O
137,O,O,win,6,.OX.O.XOX
138,X,X,win,7,O..OXOXXX
139,O,draw,draw,9,XXOOOXXXO
140,X,X,win,5,X...XOO.X
141,O,O,win,8,O.OXOXXXO
142,X,X,win,7,O.XOXXXO.
143,O,O,win,6,.XX..XOOO
144,X,X,win,5,X..OX.O.X
145,O,O,win,8,XXO.XXOOO
146,X,X,win,5,.O.XXX..O
147,O,O,win,6,XXO.OXO..
148,X,X,win,5,X..OXO..X
149,O,O,win,8,OXO.OXXXO
150,X,X,win,7,OOXOX.X.X
151,O,X,loss,5,XXX...OO.
152,X,X,win,9,XOOXXXXOO
153,O,O,win,8,OOXXOX.XO
154,X,draw,draw,9,XOOOXXXXO
155,O,O,win,6,X.OXXO..O
156,X,X,win,9,XOXOXOXXO
157,O,O,win,8,.OXXOXXOO
158,X,X,win,5,X..OX.O.X
159,O,X,loss,7,XXXXO.OO.
160,X,X,win,5,...XXX.OO
161,O,draw,draw,9,OXOXOXXOX
162,X,X,win,9,OXOXXXOOX
163,O,O,win,8,OXOXOX.XO
164,X,X,win,5,.O.XXX..O
165,O,O,win,8,OXOXO.XXO
166,X,X,win,5,O..XXX.O.
167,O,O,win,8,XX.OOOXOX
168,X,X,win,5,OX.OX..X.
169,O,draw,draw,9,XOOOXXXXO
170,X,X,win,7,X..XXOOOX
171,O,O,win,8,XXOXX.OOO
172,X,X,win,7,XO.XXOX.O
173,O,O,win,6,..OX.OXXO
174,X,X,win,7,XOOXX.X.O
175,O,X,loss,7,OXO..OXXX
176,X,X,win,7,O.XOXXXO.
177,O,O,win,8,XXOOOOX.X
178,X,X,win,7,XO.OX.XOX
179,O,draw,draw,9,OXOOXXXOX
180,X,X,win,5,OX.OX..X.
181,O,O,win,6,X..OOOXX.
182,X,X,win,9,OOXXXXOOX
183,O,X,loss,9,OXOOXOXXX
184,X,X,win,7,XXOOX.O.X
185,O,O,win,6,.OX.O.XOX
186,X,X,win,5,OX..X..XO
187,O,O,win,8,OXOXO.OXX
188,X,X,win,5,XO..XO..X
189,O,X,loss,7,XXO.XO.OX
190,X,X,win,5,X...XOO.X
191,O,O,win,8,OX.XOXOXO
192,X,X,win,5,X..OXO..X
193,O,X,loss,9,OXOXXXXOO
194,X,X,win,7,X.O.XXOOX
195,O,X,loss,9,OXOXOOXXX
196,X,X,win,7,XOOOX.X.X
197,O,O,win,8,OXO.OXOXX
198,X,X,win,5,...XXX.OO
199,O,O,win,6,.XOXOXO..
200,X,draw,draw,9,XXOOXXXOO
201,O,O,win,8,XOXXOO.OX
202,X,X,win,5,OX.OX..X.
203,O,O,win,6,X.OXXO..O
204,X,draw,draw,9,XXOOXXXOO
205,O,O,win,6,X.X..XOOO
206,X,X,win,7,O..XXXOOX
207,O,X,loss,5,.O.XXX..O
208,X,X,win,5,.O.XXX..O
209,O,O,win,6,X...XXOOO
210,X,X,win,9,XOXOXOXXO
211,O,draw,draw,9,XXOOOXXXO
212,X,X,win,7,XOOXXOX..
213,O,O,win,6,X...XXOOO
214,X,X,win,5,X..OX.O.X
215,O,O,win,8,OOOXXOX.X
216,X,X,win,5,.XO.XO.X.
217,O,draw,draw,9,XXOOOXXXO
218,X,X,win,7,OXO.XX.XO
219,O,O,win,6,..OX.OXXO
220,X,X,win,5,X...XOO.X
221,O,draw,draw,9,OXXXOOXOX
222,X,X,win,5,...XXX.OO
223,O,draw,draw,9,XOOOXXXXO
224,X,X,win,9,XOOOXXXOX
225,O,O,win,8,OXXOXXO.O
226,X,X,win,7,OXOXXO.X.
227,O,O,win,6,O..XO.XXO
228,X,X,win,5,X..OX.O.X
229,O,draw,draw,9,OXOXOXXOX
230,X,X,win,7,OXOXXX.O.
231,O,O,win,6,X.OXO.OX.
232,X,X,win,5,O..XXX.O.
233,O,O,win,8,O.OXOXXXO
234,X,X,win,7,..OXXXXOO
235,O,X,loss,9,OXOOXOXXX
236,X,O,loss,8,.XXOXXOOO
237,O,O,win,8,XXOOOOXX.
238,X,X,win,7,O.XOX.XOX
239,O,O,win,8,XOOXOXO.X
240,X,X,win,7,OXOXXO.X.
241,O,X,loss,9,XOXXXOOOX
242,X,X,win,5,...XXX.OO
243,O,O,win,6,OX.XO..XO
244,X,X,win,7,XO.OX.XOX
245,O,O,win,6,..XXX.OOO
246,X,X,win,7,XO..XXOOX
247,O,O,win,6,X.X..XOOO
248,X,X,win,9,XOOOXOXXX
249,O,draw,draw,9,OXOOXXXOX
250,X,X,win,7,O.OXXXXO.
251,O,draw,draw,9,OXOOXXXOX
252,X,draw,draw,9,OXOXXOXOX
253,O,draw,draw,9,XOOOXXXXO
254,X,X,win,5,OX.OX..X.
255,O,draw,draw,9,XXOOOXXOX
256,X,X,win,5,X..OXO..X
257,O,O,win,8,OX.OOXOXX
258,X,draw,draw,9,OXOXXOXOX
259,O,O,win,6,OOO.XX.X.
260,X,X,win,9,OOXXXOXOX
261,O,O,win,6,..XOOOX.X
262,X,X,win,5,...XXX.OO
263,O,O,win,8,XOXXOO.OX
264,X,X,win,7,O.XOXXX.O
265,O,O,win,6,X.X..XOOO
266,X,X,win,7,X..XXOOOX
267,O,draw,draw,9,XXOOXXXOO
268,X,X,win,7,X..XXOOOX
269,O,O,win,6,..OXOXO.X
270,X,X,win,5,X...XOO.X
271,O,draw,draw,9,XOXOOXXXO
272,X,X,win,5,...XXX.OO
273,O,X,loss,9,OXOOOXXXX
274,X,X,win,5,OX.OX..X.
275,O,draw,draw,9,OXXXOOXOX
276,X,draw,draw,9,XXOOXXXOO
277,O,X,loss,5,O.X.XOX..
278,X,X,win,9,XOOXXOXOX
279,O,O,win,8,OXX.OXXOO
280,X,X,win,7,XOOXXOX..
281,O,X,loss,7,X.X.OXOOX
282,X,X,win,7,O.O.XOXXX
283,O,O,win,8,XOXOOXXO.
284,X,X,win,5,.XO.X..XO
285,O,O,win,8,XXOXX.OOO
286,X,X,win,5,...XXX.OO
287,O,O,win,8,XXOOOOX.X
288,X,X,win,7,OX..XXOXO
289,O,O,win,6,X.O.OXOX.
290,X,X,win,7,OXOXXX..O
291,O,X,loss,7,OXO.XXOX.
292,X,X,win,5,X..OXO..X
293,O,X,loss,7,XXOX.OXO.
294,X,X,win,7,XO.OX.XOX
295,O,O,win,8,XOXOOXXO.
296,X,X,win,7,OXOXXX.O.
297,O,O,win,8,XXO.XXOOO
298,X,X,win,9,OXXXXOXOO
299,O,O,win,8,.XXOOOOXX
300,X,X,win,7,.XO.XXOXO
301,O,O,win,8,XXO.OOXXO
302,X,X,win,7,XOOXX.O.X
303,O,O,win,6,..OXOXO.X
304,X,X,win,7,XOO.XXO.X
305,O,O,win,8,O.XXOXOXO
306,X,X,win,7,OXOXXX..O
307,O,O,win,8,XXOOO.OXX
308,X,X,win,5,X..OXO..X
309,O,X,loss,7,.XOXXXO.O
310,X,X,win,5,.XO.X..XO
311,O,X,loss,9,OXOOXOXXX
312,X,X,win,5,X...XOO.X
313,O,X,loss,9,OXOXXXOOX
314,X,X,win,5,X..OXO..X
315,O,O,win,8,OXOXXOX.O
316,X,O,loss,8,O.XOXOOXX
317,O,O,win,6,.X.OOO.XX
318,X,X,win,5,X...XOO.X
319,O,O,win,8,XXO.OXOXO
320,X,X,win,5,...XXXOO.
321,O,O,win,8,.XOXOXOXO
322,X,X,win,7,X.OOXXO.X
323,O,X,loss,7,XXOOX..OX
324,X,X,win,7,XOOXX.X.O
325,O,O,win,6,XXOXO.O..
326,X,X,win,7,OXOXXX..O
327,O,X,loss,7,X.OXXXO.O
328,X,X,win,5,.XO.XO.X.
329,O,O,win,8,OXOXO.OXX
330,X,X,win,9,XOXOXXXOO
331,O,O,win,8,OXXXO.OXO
332,X,X,win,5,.XO.X..XO
333,O,X,loss,9,OXOOOXXXX
334,X,X,win,7,OXOXX.OX.
335,O,O,win,8,XXOXO.OXO
336,X,X,win,9,XOXXXOOOX
337,O,O,win,8,XXOXOXO.O
338,X,X,win,9,OXOXXXXOO
339,O,O,win,8,OXOXOXOX.
340,X,X,win,7,XOO.XXO.X
341,O,O,win,8,OXO.OXOXX
342,X,X,win,5,X...XOO.X
343,O,O,win,8,OXOXOXOX.
344,X,X,win,7,OXOXXO.X.
345,O,O,win,8,OXX.OXXOO
346,X,X,win,7,XXOOXO..X
347,O,draw,draw,9,OXXXOOXOX
348,X,X,win,5,X..OX.O.X
349,O,O,win,6,X.O.XOX.O
350,X,X,win,5,OX.OX..X.
351,O,X,loss,9,XOXXXOOOX
352,X,X,win,7,O.XOXXX.O
353,O,O,win,6,X.OXXO..O
354,X,X,win,7,XO.OXX.OX
355,O,O,win,6,X..OOOX.X
356,X,draw,draw,9,XOXOXXOXO
357,O,O,win,6,OOO.X.XX.
358,X,X,win,5,.O.XXX..O
359,O,X,loss,7,O.X.XXXOO
360,X,X,win,5,X...XOO.X
361,O,X,loss,7,.XOOO.XXX
362,X,X,win,5,.O.XXX..O
363,O,O,win,6,OOO.X..XX
364,X,X,win,7,XOO.XXO.X
365,O,O,win,6,.XOXOXO..
366,X,X,win,7,O.OXXXO.X
367,O,draw,draw,9,XOOOXXXXO
368,X,X,win,7,XOOXX.X.O
369,O,X,loss,9,OOXXOOXXX
370,X,X,win,5,OX.OX..X.
371,O,draw,draw,9,XXOOXXXOO
372,X,X,win,7,OX..XXOXO
373,O,O,win,6,OX..O.XXO
374,X,X,win,5,X..OX.O.X
375,O,O,win,8,XXO.OXOXO
376,X,X,win,5,OX.OX..X.
377,O,draw,draw,9,OXOXXOXOX
378,X,X,win,7,XO.XXOX.O
379,O,X,loss,9,OOXXOOXXX
380,X,X,win,5,.O.XXX..O
381,O,O,win,8,OXXXO.XOO
382,X,X,win,7,O..OXOXXX
383,O,X,loss,9,OXOXXXOOX
384,X,X,win,5,.O.XXX..O
385,O,X,loss,7,O.OX.OXXX
386,X,X,win,7,XO.XXOO.X
387,O,X,loss,7,OXOOX..XX
388,X,X,win,7,XOOXX.X.O
389,O,O,win,8,OXX.XXOOO
390,X,draw,draw,9,XXOOXXXOO
391,O,X,loss,9,XOOXOXXXO
392,X,X,win,5,X..OXO..X
393,O,O,win,6,X.XOOOX..
394,X,X,win,9,OOXXXXOOX
395,O,O,win,8,XXOXO.OOX
396,X,X,win,5,O..XXX.O.
397,O,O,win,8,X.XXXOOOO
398,X,draw,draw,9,XXOOXXXOO
399,O,draw,draw,9,OXOXXOXOX
400,X,X,win,9,XOOOXXXOX
401,O,O,win,6,OOOXX..X.
402,X,X,win,7,OOX.XOX.X
403,O,O,win,6,OX..O.XXO
404,X,X,win,7,X..OXOXOX
405,O,X,loss,9,XXOXOXXOO
406,X,X,win,5,X..OX.O.X
407,O,X,loss,7,XO.XXOXO.
408,X,X,win,7,OOX.XOX.X
409,O,O,win,6,..OXOXO.X
410,X,X,win,9,XOOOXXXOX
411,O,O,win,8,XXOOOOX.X
412,X,X,win,7,XXOOX.O.X
413,O,draw,draw,9,XOOOXXXXO
414,X,X,win,7,OXOXXX.O.
415,O,X,loss,9,XOOXXOOXX
416,X,X,win,9,XOOXXXXOO
417,O,O,win,8,OO.OXXOXX
418,X,X,win,5,...XXX.OO
419,O,X,loss,9,XXOOXOXOX
420,X,X,win,7,XOOOX.X.X
421,O,X,loss,7,.XOXXXO.O
422,X,X,win,9,OXXXXOXOO
423,O,X,loss,7,O.XXXX.OO
424,X,X,win,5,X..OXO..X
425,O,X,loss,7,O.OOX.XXX
426,X,X,win,5,OX..X.OX.
427,O,O,win,6,OOO.X.XX.
428,X,X,win,5,.XO.XO.X.
429,O,draw,draw,9,XXOOOXXOX
430,X,X,win,9,OXOXXOOXX
431,O,O,win,8,OOO.XXXXO
432,X,X,win,7,O..XXXOOX
433,O,X,loss,7,.XOOO.XXX
434,X,X,win,5,X..OXO..X
435,O,draw,draw,9,OXOOXXXOX
436,X,X,win,7,OOXOX.X.X
437,O,draw,draw,9,XXOOOXXOX
438,X,X,win,5,X..OXO..X
439,O,O,win,8,X.OXXOOXO
440,X,X,win,7,X.OOXOX.X
441,O,O,win,8,XOOXOXOX.
442,X,X,win,7,XO.XXOX.O
443,O,O,win,8,OXXXO.XOO
444,X,X,win,7,O.OXXXO.X
445,O,O,win,8,XXOXO.OXO
446,X,X,win,7,XOOXX.X.O
447,O,X,loss,5,O...O.XXX
448,X,X,win,5,O..XXX.O.
449,O,draw,draw,9,XXOOOXXXO
450,X,X,win,5,...XXXOO.
451,O,O,win,8,OOOXXOX.X
452,X,X,win,7,.OXOXXX.O
453,O,O,win,8,OOOXOXX.X
454,X,X,win,7,O.OXXXO.X
455,O,O,win,6,..XXX.OOO
456,X,X,win,7,.XOOXXOX.
457,O,O,win,8,OXX.OXXOO
458,X,X,win,7,O.OXXXO.X
459,O,draw,draw,9,OXOXOXXOX
460,X,X,win,9,OXOXXXXOO
461,O,O,win,6,OOO..XXX.
462,X,X,win,7,..XOXXXOO
463,O,O,win,8,.XOXOXOOX
464,X,X,win,9,XOOXXOXOX
465,O,X,loss,5,XXX...OO.
466,X,X,win,7,OXOOXX.X.
467,O,X,loss,5,OXO.X..X.
468,X,X,win,5,X...XOO.X
469,O,O,win,6,OOO.X..XX
470,X,X,win,7,XOXOX.X.O
471,O,O,win,8,OOOOXX.XX
472,X,draw,draw,9,OXOXXOXOX
473,O,O,win,6,.XXOOO..X
474,X,X,win,9,XXOOXXOOX
475,O,O,win,8,O.OXOXOXX
476,X,X,win,5,.XO.XO.X.
477,O,O,win,6,O..XO.XXO
478,X,X,win,5,...XXXO.O
479,O,O,win,6,..OXO.OXX
480,X,X,win,7,XO.OXX.OX
481,O,O,win,6,..XOOOX.X
482,X,X,win,7,XOO.X.OXX
483,O,X,loss,7,XOOOX.X.X
484,X,X,win,5,OX.OX..X.
485,O,O,win,6,X.X..XOOO
486,X,X,win,5,.XO.XO.X.
487,O,O,win,6,..OXOXO.X
488,X,X,win,5,...XXX.OO
489,O,O,win,8,OXXOXXO.O
490,X,X,win,9,OOXOXXXXO
491,O,draw,draw,9,XXOOOXXXO
492,X,X,win,9,XOOXXXXOO
493,O,O,win,8,OXOXO.XXO
494,X,X,win,5,X...XOO.X
495,O,O,win,8,XOXXO.OOX
496,X,X,win,9,XOXOXOOXX
497,O,X,loss,7,XXXXO..OO
498,X,X,win,7,.OOXXXXO.
499,O,X,loss,9,XOOOXXOXX
