task,arm,step,template,factor,constructor_sha256,candidate_sha256
6,updater,5,one:rbf-unscaled,1.0,3da0dd8d6a674341b9c5a794a3bbf65623e5bad0fda9bb227bb9ca61e8181bfe,dd804c636771f2161c3721bf7147812e84b397cbe329c9fbcf9d6b0785a2ead0
6,updater,6,base:extra-trees,3.0,e16e775ec3b8fc0d92b74317e75ded4c1e63d305f6fa6e3344b910b65c8fbdef,891965cc6e3eba7ce8146a32d7847f1f90f75159a5133f79f57ced8fafd487a3
6,updater,7,two:unscaled-c100,1.0,cd5c81235bec963ef67c5013b266eebe54beabf2a22adf74522acba5373cb239,be461f279e1b9ec611172daaca5c6c07b9f9c0de300838234832aba4ff1372eb
6,updater,8,base:extra-trees,9.0,d239877820a405d2505f48e0d978548e7fe4975c0ea1c04a2ab4176b3031ab77,09c468e49046ea782a98aacc03fbc212ddec60030caf34880f5ee9ff5ecee83c
23,random,1,base:linear,1.0,6b7bc3b68d34681041131c00ed84502d5397bfd4ee21de376fd7cea8b5e2e975,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
23,random,2,base:extra-trees,1.0,5a1e80e1d9457f2f4b26896d78e61ace8d17758fceff12594e33a50552c6bf51,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
23,random,3,base:rbf-1,1.0,a2cd50d74d4699d775638f34c67be81fa863e946e32c88b27fe09e0f735e54de,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
23,random,4,base:hist-boost,1.0,4650ae9f91ea454ffce4bcf53197b28d13d72c85ed0b6f0bebc30c9bfebb32c4,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
23,random,5,two:native-category-boost,4.58297616,0daf120534ec7edd4853b4607c0e2e4cd18dddeb54fce3712006a2c257b6277b,8959e70595932189b509b285791d059c281e288093f220615af33af929917dfc
23,random,6,two:unscaled-c100,3.3980193,62b3be4d9d3dd362feee40b5e572a78fc16d7d1378ec3363ec9ccf2edee09ffd,315d6a38397ed1a46df3d638c936aef49c6018d5481a90cddc070b3161ee34e1
23,random,7,two:forest-all-features,1.20531999,f73743f25dc64a34770683e45ad3a5cef1ee86e2fb1420baa08f4440e2a7255a,ec7cb25f37fe18b3dac5814459bd17fece9eefc93b1112f8b7d30c267bb112b3
23,random,8,base:neighbors-5,0.70923492,fedebf9fe1b38dfaca92741be48a18f2d90371f6239f1c7716573f3ae2bb2dca,7e7d0a7f37de672b40fa376b2901d73503696ced33fb86c607e07120e6858901
23,memory,1,base:linear,1.0,6b7bc3b68d34681041131c00ed84502d5397bfd4ee21de376fd7cea8b5e2e975,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
23,memory,2,base:extra-trees,1.0,5a1e80e1d9457f2f4b26896d78e61ace8d17758fceff12594e33a50552c6bf51,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
23,memory,3,base:rbf-1,1.0,a2cd50d74d4699d775638f34c67be81fa863e946e32c88b27fe09e0f735e54de,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
23,memory,4,base:hist-boost,1.0,4650ae9f91ea454ffce4bcf53197b28d13d72c85ed0b6f0bebc30c9bfebb32c4,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
23,memory,5,one:rbf-unscaled,1.0,e490582e858abe4bc807745a76d43ba40339eff576c5b76fe168361bfdfb6054,dd804c636771f2161c3721bf7147812e84b397cbe329c9fbcf9d6b0785a2ead0
23,memory,6,two:unscaled-c100,1.0,b778c3304fbb1ba50b4f7678f563bb8748d3ad4f00eba17e7a6afa5c22654504,be461f279e1b9ec611172daaca5c6c07b9f9c0de300838234832aba4ff1372eb
23,memory,7,two:unscaled-c1,1.0,8cbe37b83319933816b6e7b7b83acc7a25e4af15de291a816043c66bfa0c21f6,77f9c01412c1a5d370ca4fd88ce6bf201b677441c68435d9c7482bf91d54dae9
23,memory,8,base:rbf-10,1.0,997e3389991c68d485b3a296170808b910ea28a204cf3597e184a7ef7f8d2094,13d628007aef6e99b23bbb779ea38ae22e49f3906910542c89aba2a08f66f0a5
23,parent,1,base:linear,1.0,6b7bc3b68d34681041131c00ed84502d5397bfd4ee21de376fd7cea8b5e2e975,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
23,parent,2,base:extra-trees,1.0,5a1e80e1d9457f2f4b26896d78e61ace8d17758fceff12594e33a50552c6bf51,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
23,parent,3,base:rbf-1,1.0,a2cd50d74d4699d775638f34c67be81fa863e946e32c88b27fe09e0f735e54de,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
23,parent,4,base:hist-boost,1.0,4650ae9f91ea454ffce4bcf53197b28d13d72c85ed0b6f0bebc30c9bfebb32c4,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
23,parent,5,base:rbf-1,0.3,ccc4dd839123cde541cf2e27280aba82efe9b1ea79f81f5435f768b49268238a,e0f56860debd8a3f99ed3cc37cddb8a54a3d48fb30ddae2a7741ad73486a103c
23,parent,6,base:rbf-1,3.0,9578f3288c8494ebe889b92454cadd846b59e8f496c8c5b77b8b716d6123dd8d,6f5506b269fd3074935bd1eec0f69ab700f1014eeaf0e7c5b0e53023dc3c65ed
23,parent,7,base:rbf-1,0.33,192c65af180f887e58acf98bdeb3d0a7d4fdcc1399c5b9d452d5fd089f952aec,55c9a2ebb4011b80be7050d81c8c717029c15f98512fcb6cce51d87e001426f5
23,parent,8,base:rbf-1,3.3,897e7cd5f1803c472b31f4d43c9be098345c16ef8f8d623a3ec376e3d3a5163e,0217f56160c42d01672d75db96113a11a3f710b30017d3dba047675fa968f538
23,harness,1,base:linear,1.0,6b7bc3b68d34681041131c00ed84502d5397bfd4ee21de376fd7cea8b5e2e975,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
23,harness,2,base:extra-trees,1.0,5a1e80e1d9457f2f4b26896d78e61ace8d17758fceff12594e33a50552c6bf51,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
23,harness,3,base:rbf-1,1.0,a2cd50d74d4699d775638f34c67be81fa863e946e32c88b27fe09e0f735e54de,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
23,harness,4,base:hist-boost,1.0,4650ae9f91ea454ffce4bcf53197b28d13d72c85ed0b6f0bebc30c9bfebb32c4,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
23,harness,5,two:unscaled-c1,0.3,b7870bc60661cb2c4b683cbe5e0d514f1060ec3ae60afc2543a6e92fe35ee855,f11136e30a3c886a807f39ec00807156c572b135ef914cb093d57dbc5fb87ad5
23,harness,6,base:rbf-1,3.0,9578f3288c8494ebe889b92454cadd846b59e8f496c8c5b77b8b716d6123dd8d,6f5506b269fd3074935bd1eec0f69ab700f1014eeaf0e7c5b0e53023dc3c65ed
23,harness,7,two:unscaled-c1,0.33,ff0b62fcd0cd681a60934e48506012b6165007ee539b6fc1fe5999927aff8921,e83b6f5849b261c6f65f7267d10f81596ae5d95455781a03c56047b355e2d2ec
23,harness,8,base:rbf-1,3.3,897e7cd5f1803c472b31f4d43c9be098345c16ef8f8d623a3ec376e3d3a5163e,0217f56160c42d01672d75db96113a11a3f710b30017d3dba047675fa968f538
23,updater,1,base:linear,1.0,6b7bc3b68d34681041131c00ed84502d5397bfd4ee21de376fd7cea8b5e2e975,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
23,updater,2,base:extra-trees,1.0,5a1e80e1d9457f2f4b26896d78e61ace8d17758fceff12594e33a50552c6bf51,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
23,updater,3,base:rbf-1,1.0,a2cd50d74d4699d775638f34c67be81fa863e946e32c88b27fe09e0f735e54de,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
23,updater,4,base:hist-boost,1.0,4650ae9f91ea454ffce4bcf53197b28d13d72c85ed0b6f0bebc30c9bfebb32c4,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
23,updater,5,one:rbf-unscaled,1.0,e490582e858abe4bc807745a76d43ba40339eff576c5b76fe168361bfdfb6054,dd804c636771f2161c3721bf7147812e84b397cbe329c9fbcf9d6b0785a2ead0
23,updater,6,base:rbf-1,3.0,9578f3288c8494ebe889b92454cadd846b59e8f496c8c5b77b8b716d6123dd8d,6f5506b269fd3074935bd1eec0f69ab700f1014eeaf0e7c5b0e53023dc3c65ed
23,updater,7,two:unscaled-c100,1.0,b778c3304fbb1ba50b4f7678f563bb8748d3ad4f00eba17e7a6afa5c22654504,be461f279e1b9ec611172daaca5c6c07b9f9c0de300838234832aba4ff1372eb
23,updater,8,base:rbf-1,3.3,897e7cd5f1803c472b31f4d43c9be098345c16ef8f8d623a3ec376e3d3a5163e,0217f56160c42d01672d75db96113a11a3f710b30017d3dba047675fa968f538
23,fixed,1,base:linear,1.0,6b7bc3b68d34681041131c00ed84502d5397bfd4ee21de376fd7cea8b5e2e975,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
23,fixed,2,base:extra-trees,1.0,5a1e80e1d9457f2f4b26896d78e61ace8d17758fceff12594e33a50552c6bf51,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
23,fixed,3,base:rbf-1,1.0,a2cd50d74d4699d775638f34c67be81fa863e946e32c88b27fe09e0f735e54de,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
23,fixed,4,base:hist-boost,1.0,4650ae9f91ea454ffce4bcf53197b28d13d72c85ed0b6f0bebc30c9bfebb32c4,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
23,fixed,5,base:random-forest,1.0,909a9b2b90262f924699586fab3a30f72c2328e41534d056b7e788eee4d6820f,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
23,fixed,6,base:rbf-10,1.0,997e3389991c68d485b3a296170808b910ea28a204cf3597e184a7ef7f8d2094,13d628007aef6e99b23bbb779ea38ae22e49f3906910542c89aba2a08f66f0a5
23,fixed,7,base:neighbors-5,1.0,ec18cb7317801124382ed67ce8ace9135b5418c91abf23765e5d83ce9b1cc07a,a4821662078480e2996fa850eaade7e28fb3fa0dd4259ee83a7724c8bad7f947
23,fixed,8,base:neighbors-25,1.0,3f3fc82e48ef4db909298029e46e03e5572ee58bed3869c5279c4acd9ae47473,d5ed597863abd27381db3bb000aa27f3299aa58a0c3783b6fdb9cc6c82d238cc
31,memory,1,base:linear,1.0,477f6990e8f956e5a15a0f689b471c27ece2c2b7623d24fbdcfafb9f911d865f,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
31,memory,2,base:extra-trees,1.0,9758b250ebc8c67c9cf558c35bf04c76927299c25cebae62ea56fa9b91dd73cc,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
31,memory,3,base:rbf-1,1.0,4c19b9f1ab81d4bd5b6342e720036ba0cd47c9c3ecb391ff919bc60d5e851377,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
31,memory,4,base:hist-boost,1.0,5f2791739ad7259e2976017f181347770f77265154f4bfd308a8cfa58b0a67e5,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
31,memory,5,one:rbf-unscaled,1.0,c6ecd25055dafc6505c6cf85bbdf7abc87fe347ae83e7c741eb5e3076ce6b70b,dd804c636771f2161c3721bf7147812e84b397cbe329c9fbcf9d6b0785a2ead0
31,memory,6,two:unscaled-c100,1.0,664e7dd599b8c13195855be46763102007def7b2f6e58a387603d933a763d91a,be461f279e1b9ec611172daaca5c6c07b9f9c0de300838234832aba4ff1372eb
31,memory,7,two:unscaled-c1,1.0,6d5b288ed346be39ec485805c20a44ce40d44f337ce9d113cb8c1790a30bb474,77f9c01412c1a5d370ca4fd88ce6bf201b677441c68435d9c7482bf91d54dae9
31,memory,8,base:rbf-10,1.0,86cd928f7df3c0f4af0abf91496c77c3d67d72516b9809d1d94ed81db6c60360,13d628007aef6e99b23bbb779ea38ae22e49f3906910542c89aba2a08f66f0a5
31,parent,1,base:linear,1.0,477f6990e8f956e5a15a0f689b471c27ece2c2b7623d24fbdcfafb9f911d865f,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
31,parent,2,base:extra-trees,1.0,9758b250ebc8c67c9cf558c35bf04c76927299c25cebae62ea56fa9b91dd73cc,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
31,parent,3,base:rbf-1,1.0,4c19b9f1ab81d4bd5b6342e720036ba0cd47c9c3ecb391ff919bc60d5e851377,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
31,parent,4,base:hist-boost,1.0,5f2791739ad7259e2976017f181347770f77265154f4bfd308a8cfa58b0a67e5,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
31,parent,5,base:linear,0.3,35c70f26db0091065a494bd5c65bfd405da613c9d701dcf08a782404c97b7f97,fa0ac2cc213615dd6b06baecec36d4b9c8a650c5de625eeb3249deb7e089e74d
31,parent,6,base:linear,3.0,020eb63d3bd412a67c2e6e50559ec1eeca8104cbacdd6936469cfc5ae133278c,1f07f88b1c76491b929a8d3df7c549f08a5c4ec5b50c9ba86b7a8c6c28b10cf6
31,parent,7,base:linear,0.9,ea2f691fe4fdf0c4d270c3a4ba5aed5539ff8e4023aad631ba9446549eebaabb,0a86a7b15d00d0503c3e772d70a5c9fd5f9e31a6fd794a9be44268cc308d2117
31,parent,8,base:linear,9.0,e17079e927946dd0290cd2e28d9f284610a1d1b6fe14590ae0811c39803afd1d,3272f379bb05e167287e145b92c2c7af4a45cdc6b0a36942be95c2ca73afb268
31,harness,1,base:linear,1.0,477f6990e8f956e5a15a0f689b471c27ece2c2b7623d24fbdcfafb9f911d865f,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
31,harness,2,base:extra-trees,1.0,9758b250ebc8c67c9cf558c35bf04c76927299c25cebae62ea56fa9b91dd73cc,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
31,harness,3,base:rbf-1,1.0,4c19b9f1ab81d4bd5b6342e720036ba0cd47c9c3ecb391ff919bc60d5e851377,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
31,harness,4,base:hist-boost,1.0,5f2791739ad7259e2976017f181347770f77265154f4bfd308a8cfa58b0a67e5,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
31,harness,5,one:rbf-wide,0.3,c5359a68c9c5028bea6f47c05f177793e99e6f97f84ae1807baf46543ed24589,e59beb1b6c1814048919b62634797ed4fd027c3cc833a8db0268761294b294d3
31,harness,6,base:linear,3.0,020eb63d3bd412a67c2e6e50559ec1eeca8104cbacdd6936469cfc5ae133278c,1f07f88b1c76491b929a8d3df7c549f08a5c4ec5b50c9ba86b7a8c6c28b10cf6
31,harness,7,two:unscaled-c1,0.09,b23df626925287c26fabb3248ab4c3ed36c7d73c91aaea43087e760fcd0cd695,07b4a88c38849b17d0374e1ad2f5a27fc624088e840fa43e80eaa18e111cbbed
31,harness,8,one:rbf-wide,0.9,d31a052b9ee3b87136d3f4dea3818b8b78819ff5450f0b09166741116fae7a35,fc40c81edb1c41d96536f21f71aa1837ebec158c04f6e657d32b4fb4346df75a
31,updater,1,base:linear,1.0,477f6990e8f956e5a15a0f689b471c27ece2c2b7623d24fbdcfafb9f911d865f,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
31,updater,2,base:extra-trees,1.0,9758b250ebc8c67c9cf558c35bf04c76927299c25cebae62ea56fa9b91dd73cc,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
31,updater,3,base:rbf-1,1.0,4c19b9f1ab81d4bd5b6342e720036ba0cd47c9c3ecb391ff919bc60d5e851377,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
31,updater,4,base:hist-boost,1.0,5f2791739ad7259e2976017f181347770f77265154f4bfd308a8cfa58b0a67e5,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
31,updater,5,one:rbf-unscaled,1.0,c6ecd25055dafc6505c6cf85bbdf7abc87fe347ae83e7c741eb5e3076ce6b70b,dd804c636771f2161c3721bf7147812e84b397cbe329c9fbcf9d6b0785a2ead0
31,updater,6,base:linear,3.0,020eb63d3bd412a67c2e6e50559ec1eeca8104cbacdd6936469cfc5ae133278c,1f07f88b1c76491b929a8d3df7c549f08a5c4ec5b50c9ba86b7a8c6c28b10cf6
31,updater,7,two:unscaled-c100,1.0,664e7dd599b8c13195855be46763102007def7b2f6e58a387603d933a763d91a,be461f279e1b9ec611172daaca5c6c07b9f9c0de300838234832aba4ff1372eb
31,updater,8,base:linear,9.0,e17079e927946dd0290cd2e28d9f284610a1d1b6fe14590ae0811c39803afd1d,3272f379bb05e167287e145b92c2c7af4a45cdc6b0a36942be95c2ca73afb268
31,fixed,1,base:linear,1.0,477f6990e8f956e5a15a0f689b471c27ece2c2b7623d24fbdcfafb9f911d865f,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
31,fixed,2,base:extra-trees,1.0,9758b250ebc8c67c9cf558c35bf04c76927299c25cebae62ea56fa9b91dd73cc,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
31,fixed,3,base:rbf-1,1.0,4c19b9f1ab81d4bd5b6342e720036ba0cd47c9c3ecb391ff919bc60d5e851377,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
31,fixed,4,base:hist-boost,1.0,5f2791739ad7259e2976017f181347770f77265154f4bfd308a8cfa58b0a67e5,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
